Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2014-12-18,499.6825156037211
2014-12-19,497.4481000809628
2014-12-22,499.24905551869
2014-12-23,493.50441935003624
2014-12-24,488.88329774995145
2014-12-25,488.88329774995157
2014-12-26,484.39232410367964
2014-12-29,487.0485966990356
2014-12-30,490.5895704989407
2014-12-31,489.74134477957097
2015-01-01,489.74134477957097
2015-01-02,489.94215610179583
2015-01-05,485.63115056080875
2015-01-06,483.5618932050915
2015-01-07,495.90791876274466
2015-01-08,507.72503286184354
2015-01-09,508.04461060910404
2015-01-12,505.65883649968964
2015-01-13,511.9760178705804
2015-01-14,510.0167624917508
2015-01-15,500.6789590932045
2015-01-16,498.2347147675712
2015-01-19,496.85696562688935
2015-01-20,501.03432660259404
2015-01-21,505.22155727202386
2015-01-22,513.5904941756813
2015-01-23,520.0126183572675
2015-01-26,517.3471403405961
2015-01-27,515.0542259224776
2015-01-28,515.898070345099
2015-01-29,522.4073617899737
2015-01-30,528.2514153168942
2015-02-02,526.2779515471743
2015-02-03,529.5588674055745
2015-02-04,529.0024425207326
2015-02-05,530.4434623453228
2015-02-06,531.9952086997605
2015-02-09,523.8621480367018
2015-02-10,522.8982180432835
2015-02-11,518.8885930968281
2015-02-12,525.1835681305099
2015-02-13,529.4075646877549
2015-02-16,534.474448373867
2015-02-17,533.801117516219
2015-02-18,534.9885066565222
2015-02-19,537.3294106780804
2015-02-20,535.2112191077472
2015-02-23,537.0307883728306
2015-02-24,537.7473825973087
2015-02-25,536.9536636056506
2015-02-26,540.1002289415164
2015-02-27,542.8481146616003
2015-03-02,545.5708870513339
2015-03-03,539.3265966407565
2015-03-04,544.3715695529967
2015-03-05,550.5144676647968
2015-03-06,546.8871344549312
2015-03-09,545.9880335726816
2015-03-10,538.9166877958072
2015-03-11,542.9204643440679
2015-03-12,544.62897235531
2015-03-13,539.668859320452
2015-03-16,545.2831221848552
2015-03-17,543.7706453839882
2015-03-18,542.0080858248205
2015-03-19,548.970698691077
2015-03-20,546.7404360527255
2015-03-23,548.6842946131868
2015-03-24,547.8409367623559
2015-03-25,549.2008027460728
2015-03-26,546.1523884686125
2015-03-27,546.3811670815284
2015-03-30,556.4088294200237
2015-03-31,556.7811330961238
2015-04-01,560.0263651430462
2015-04-02,559.6254145116043
2015-04-03,559.6254145116043
2015-04-06,559.7769780650998
2015-04-07,565.2325628229669
2015-04-08,570.8436698587991
2015-04-09,568.7079708000518
2015-04-10,567.2754192053744
2015-04-13,568.6784008476786
2015-04-14,567.3422606263339
2015-04-15,569.4937422665095
2015-04-16,569.5006400191553
2015-04-17,572.3196665233296
2015-04-20,575.8896994670735
2015-04-21,571.996094447307
2015-04-22,574.0050207360878
2015-04-23,569.5453242118012
2015-04-24,563.1713243383102
2015-04-27,568.5077257013729
2015-04-28,568.2978156497169
2015-04-29,568.6590988889466
2015-04-30,563.6605274927371
2015-05-01,560.0611044102477
2015-05-04,567.1541413856829
2015-05-05,564.3141871346952
2015-05-06,565.5133565991823
2015-05-07,563.9225452292792
2015-05-08,568.272154393389
2015-05-11,567.6575861448948
2015-05-12,563.7571582583608
2015-05-13,560.9882951815118
2015-05-14,565.76216594742
2015-05-15,569.3773510861146
2015-05-18,571.4123503334927
2015-05-19,572.4054205325075
2015-05-20,571.4478132561719
2015-05-21,569.7819060683531
2015-05-22,568.6720088241491
2015-05-25,564.8990629971362
2015-05-26,557.0318579433472
2015-05-27,561.3040510918048
2015-05-28,558.4708926122262
2015-05-29,560.3820024328979
2015-06-01,566.6837456541717
2015-06-02,563.702778227069
2015-06-03,558.3241305999526
2015-06-04,557.6757076834277
2015-06-05,550.4067688458133
2015-06-08,544.994018194649
2015-06-09,544.6384829309837
2015-06-10,550.7595247517783
2015-06-11,542.6037725409483
2015-06-12,539.6806628345863
2015-06-15,538.1119164520514
2015-06-16,541.9316542571773
2015-06-17,536.760012195618
2015-06-18,532.2445038078919
2015-06-19,532.5443541736648
2015-06-22,536.4609105413193
2015-06-23,537.738415036512
2015-06-24,533.2841475610153
2015-06-25,533.2142313759817
2015-06-26,533.5232451975265
2015-06-29,520.9193684330537
2015-06-30,520.3759283431069
2015-07-01,524.8974849643574
2015-07-02,531.0342809685905
2015-07-03,527.5737636914163
2015-07-06,529.017381114593
2015-07-07,522.3321926284373
2015-07-08,519.8254924495233
2015-07-09,521.3591607408113
2015-07-10,533.4382433734727
2015-07-13,541.0011886603984
