Date,EFM AFRICA SMALL CAP
2020-01-16,1226.7150976752853
2020-01-17,1232.8149037802652
2020-01-20,1224.4060252265717
2020-01-21,1211.3028595490491
2020-01-22,1219.8717171258222
2020-01-23,1209.4867022164867
2020-01-24,1212.2374608499908
2020-01-27,1183.355852129065
2020-01-28,1180.9833471123325
2020-01-29,1190.4713657802258
2020-01-30,1174.7953549978695
2020-01-31,1153.1377542991308
2020-02-03,1148.808851066215
2020-02-04,1161.7999775891192
2020-02-05,1169.0833368783954
2020-02-06,1162.1898546514467
2020-02-07,1146.2312917323632
2020-02-10,1142.9696084914765
2020-02-11,1146.057051628455
2020-02-12,1149.4786659585895
2020-02-13,1152.7254859525403
2020-02-14,1157.646842722371
2020-02-17,1151.6639968809432
2020-02-18,1146.1848951386714
2020-02-19,1149.079232271692
2020-02-20,1134.393848456246
2020-02-21,1138.223135415284
2020-02-24,1105.038659022685
2020-02-25,1086.4296295932859
2020-02-26,1105.322115766169
2020-02-27,1052.3157596235744
2020-02-28,1001.843658925701
2020-03-02,994.6832761751818
2020-03-03,1024.5100971542581
2020-03-04,1035.9250389207295
2020-03-05,1015.9406121374517
2020-03-06,987.167925890805
2020-03-09,920.5266080755794
2020-03-10,924.0013862903232
2020-03-11,922.2771733838979
2020-03-12,854.426227915823
2020-03-13,854.1106239339376
2020-03-16,764.884690853274
2020-03-17,778.754720571581
2020-03-18,722.0940726724959
2020-03-19,699.831070189025
2020-03-20,723.2167030798207
2020-03-23,663.8074311279532
2020-03-24,673.3931031174659
2020-03-25,706.5113671312296
2020-03-26,719.840951980629
2020-03-27,682.8612877077933
2020-03-30,662.3728477679845
2020-03-31,678.8119572094877
2020-04-01,665.262827314218
2020-04-02,667.7308987127935
2020-04-03,651.0813618341394
2020-04-06,659.7833207253299
2020-04-07,695.023817586805
2020-04-08,705.3893877670907
2020-04-09,745.5707117463171
2020-04-10,746.6297538636015
2020-04-13,742.1314731286199
2020-04-14,766.2277009382657
2020-04-15,734.0659854298535
2020-04-16,730.2760853815112
2020-04-17,726.474902810707
2020-04-20,725.4463064548908
2020-04-21,701.3308126159743
2020-04-22,703.7607930107577
2020-04-23,714.4594392712598
2020-04-24,715.6816428843151
2020-04-27,719.1992957579967
2020-04-28,724.216688468227
2020-04-29,746.1921200611898
2020-04-30,736.7966638198076
2020-05-01,719.54277350497
2020-05-04,718.9407508511301
2020-05-05,737.9770442830151
2020-05-06,727.3016123758056
2020-05-07,732.7680203637314
2020-05-08,742.8746658409311
2020-05-11,736.0425173694049
2020-05-12,740.5302921698336
2020-05-13,725.7967686814573
2020-05-14,712.8168509712682
2020-05-15,714.1278947242869
2020-05-18,723.3111098142062
2020-05-19,734.097610581804
2020-05-20,733.454907558623
2020-05-21,740.6500773859268
2020-05-22,737.1991279323707
2020-05-25,737.6661384417739
2020-05-26,747.7956587456671
2020-05-27,753.9046965470183
2020-05-28,755.5823038221325
2020-05-29,737.7887558943282
2020-06-01,753.6890669415451
2020-06-02,784.8882135796225
2020-06-03,807.530173903897
2020-06-04,799.8884898402639
2020-06-05,826.321632310753
2020-06-08,845.0156533965934
2020-06-09,842.8999555566662
2020-06-10,828.8067405755995
2020-06-11,801.3840967369624
2020-06-12,808.6705683056539
2020-06-15,786.8659071840656
2020-06-16,791.7180134132974
2020-06-17,806.2131316213091
2020-06-18,793.6133570708965
2020-06-19,811.169670381358
2020-06-22,801.6247364624587
2020-06-23,801.9993867573522
2020-06-24,801.083367208411
2020-06-25,796.5187747678218
2020-06-26,792.3465680440019
2020-06-29,801.0659632146891
2020-06-30,798.1615594965629
2020-07-01,806.5964211470252
2020-07-02,824.9115962736129
2020-07-03,825.4117786305054
2020-07-06,830.4089544934593
2020-07-07,824.4957341024448
2020-07-08,835.2400327878439
2020-07-09,834.1362117453297
2020-07-10,837.8875713702938
2020-07-13,850.3035775750035
2020-07-14,836.1726063451468
2020-07-15,849.0712639638265
2020-07-16,845.8674117176402
2020-07-17,848.3993461776136
2020-07-20,852.3003033138931
2020-07-21,855.4670556950882
2020-07-22,842.6034965457936
2020-07-23,836.3755156842435
2020-07-24,830.590458684121
2020-07-27,838.4504494062917
2020-07-28,839.5374056244294
2020-07-29,837.6680365842884
2020-07-30,811.1845276971543
2020-07-31,798.1895081001488
2020-08-03,786.7949668090281
2020-08-04,787.9257116147276
2020-08-05,799.0452912318976
2020-08-06,786.8896684572643
2020-08-07,785.0930590381843
2020-08-10,782.843077836447
2020-08-11,785.8590355613346
2020-08-12,785.9571619329671
2020-08-13,784.6998458784755
2020-08-14,783.1773954057138
2020-08-17,777.5816938533254
2020-08-18,777.885228151864
2020-08-19,783.1678436191896
2020-08-20,777.1956886214291
2020-08-21,792.9425079956968
2020-08-24,810.4963142450763
2020-08-25,807.4861105149463
2020-08-26,804.8209387429406
2020-08-27,801.1022223726408
2020-08-28,810.4726151904088
2020-08-31,789.4107044834383
2020-09-01,803.0248855229551
2020-09-02,796.3249647475711
2020-09-03,800.1186889048279
2020-09-04,800.8621316343209
2020-09-07,801.6932174477441
2020-09-08,802.3444954444459
2020-09-09,829.0780845213771
2020-09-10,826.5103283182887
2020-09-11,830.2367827933144
2020-09-14,828.583771969795
2020-09-15,830.576267700206
2020-09-16,840.5944077254217
2020-09-17,842.8393044717913
2020-09-18,828.7051248227876
2020-09-21,797.3196243732704
2020-09-22,802.3970551291794
2020-09-23,794.2254122335145
2020-09-24,795.5184861509738
2020-09-25,785.2380512602971
2020-09-28,800.8521744483629
2020-09-29,810.9806617828449
2020-09-30,825.3042182862354
2020-10-01,835.208620071055
2020-10-02,847.3674541524844
2020-10-05,844.5611768519072
2020-10-06,841.9403944609555
2020-10-07,840.6129682231737
2020-10-08,851.077602916538
2020-10-09,852.382565990717
2020-10-12,852.7913850192353
2020-10-13,846.1581614105324
2020-10-14,849.9347206250663
2020-10-15,844.487948185119
2020-10-16,854.7135904055858
2020-10-19,858.6564852511267
2020-10-20,854.2460998348123
2020-10-21,861.3579314864337
2020-10-22,874.1752224002776
2020-10-23,889.5325065542004
2020-10-26,885.8417154553645
2020-10-27,878.7031426705125
2020-10-28,852.18562682184
2020-10-29,846.5804970238923
2020-10-30,839.7139428178061
2020-11-02,842.3568393909579
2020-11-03,861.5199302892987
2020-11-04,872.1688595564685
2020-11-05,886.3714330579165
2020-11-06,898.075128545625
2020-11-09,939.0700379491749
2020-11-10,940.6972996185624
2020-11-11,956.1092740837688
2020-11-12,944.5252916557394
2020-11-13,938.6698670278164
2020-11-16,951.0025121053009
2020-11-17,954.4506623905968
2020-11-18,962.0537432892841
2020-11-19,954.0270474656173
2020-11-20,952.7934197142968
2020-11-23,941.5947444873208
2020-11-24,955.272860896387
2020-11-25,970.2744971542606
2020-11-26,976.5304289184149
2020-11-27,966.7320030788246
2020-11-30,937.4990636450291
2020-12-01,950.2320882690724
2020-12-02,953.8262368725078
2020-12-03,953.3543353138562
2020-12-04,971.391409759062
2020-12-07,971.3304814067743
2020-12-08,980.985814371483
2020-12-09,993.3141805531689
2020-12-10,980.877485646257
2020-12-11,983.8381964162227
2020-12-14,992.5027051874962
2020-12-15,1002.9484449911771
2020-12-16,1003.2575442157022
2020-12-17,1016.101688254551
2020-12-18,1025.8927197883713
2020-12-21,993.9096892156049
2020-12-22,1004.1859190279781
2020-12-23,1012.6257158310132
2020-12-24,1016.0373482669289
2020-12-25,1015.2684160423429
2020-12-28,1009.4772156228445
2020-12-29,1006.4868799923648
2020-12-30,1002.8890659549862
2020-12-31,1004.2225180166847
2021-01-01,1004.222518016685
2021-01-04,1005.2578763917222
2021-01-05,970.5783531030239
2021-01-06,972.1484234646515
2021-01-07,970.1157534670838
2021-01-08,990.1337801014629
2021-01-11,981.8828946045373
2021-01-12,989.1302992448605
2021-01-13,1010.2305262846088
2021-01-14,1020.4402657864488
2021-01-15,1014.5437821738517
2021-01-18,1026.5643542570217
2021-01-19,1053.411218755393
2021-01-20,1060.9876429246567
2021-01-21,1054.8751989960972
2021-01-22,1021.8045846446869
2021-01-25,1023.2971744376138
2021-01-26,1037.74379349159
2021-01-27,1035.6696083363527
2021-01-28,1036.880764086906
2021-01-29,1042.5506410910568
2021-02-01,1042.3439631391261
2021-02-02,1061.7585884310552
2021-02-03,1068.1248648532483
2021-02-04,1083.249440398072
2021-02-05,1111.1654330170168
2021-02-08,1109.3035395599677
2021-02-09,1122.3271501767751
2021-02-10,1123.1752179938492
2021-02-11,1121.8010885909564
2021-02-12,1131.8172802137558
2021-02-15,1138.031895052854
2021-02-16,1124.3011185894536
2021-02-17,1105.2938962018595
2021-02-18,1099.8451725375287
2021-02-19,1096.1627315840256
2021-02-22,1103.8913032417386
2021-02-23,1103.378055176174
2021-02-24,1110.827291796039
2021-02-25,1085.8528733196179
2021-02-26,1071.5364609488156
2021-03-01,1104.544451498054
2021-03-02,1100.046447867143
2021-03-03,1107.115974188758
2021-03-04,1105.728831603132
2021-03-05,1098.3533825741063
2021-03-08,1103.0260751657377
2021-03-09,1111.1801548391882
2021-03-10,1135.6571336282752
2021-03-11,1142.654368203167
2021-03-12,1141.9813871268418
2021-03-15,1152.082743549475
2021-03-16,1160.0097296751235
2021-03-17,1156.991594098339
2021-03-18,1160.4499955879717
2021-03-19,1147.8971820373133
2021-03-22,1146.2370840764386
2021-03-23,1136.9570580636293
2021-03-24,1131.5861640943413
2021-03-25,1123.8893257287423
2021-03-26,1143.3313881542335
2021-03-29,1161.4192338052549
2021-03-30,1183.461830108973
2021-03-31,1174.5311512990918
2021-04-01,1189.3197316323133
2021-04-02,1189.2308650884154
2021-04-05,1189.5123424743424
2021-04-06,1198.452861170072
2021-04-07,1199.9514212313932
2021-04-08,1196.326881064964
2021-04-09,1189.9445232069752
2021-04-12,1189.7403139926305
2021-04-13,1187.571154211542
