Date,AC ASIA ex JAPAN SMALL CAP
2019-07-08,1549.119278584903
2019-07-09,1544.0945504050285
2019-07-10,1542.3546673094766
2019-07-11,1556.8736716137812
2019-07-12,1555.6732342197274
2019-07-15,1554.6014557652263
2019-07-16,1563.8782466613625
2019-07-17,1556.2156449898432
2019-07-18,1550.60190373424
2019-07-19,1556.4170315213657
2019-07-22,1549.4458030520564
2019-07-23,1559.3436090486373
2019-07-24,1555.1577787777567
2019-07-25,1553.4461775010673
2019-07-26,1552.5201203504946
2019-07-29,1537.068472663615
2019-07-30,1528.391075582582
2019-07-31,1529.5442656134724
2019-08-01,1525.2919746177179
2019-08-02,1493.9808581981883
2019-08-05,1434.6925532661394
2019-08-06,1430.3147689571908
2019-08-07,1429.767559893509
2019-08-08,1453.5639089137453
2019-08-09,1450.3616534519376
2019-08-12,1444.6091793016365
2019-08-13,1426.352311271269
2019-08-14,1440.3172698368192
2019-08-15,1440.0400038413034
2019-08-16,1447.7525900744479
2019-08-19,1465.1527534179268
2019-08-20,1467.7541655566795
2019-08-21,1472.419778308927
2019-08-22,1466.5295718600514
2019-08-23,1460.3385229538762
2019-08-26,1435.7171058761626
2019-08-27,1446.3382244168495
2019-08-28,1454.1604299586631
2019-08-29,1455.3908531527845
2019-08-30,1476.781625471995
2019-09-02,1489.5753951348677
2019-09-03,1476.801392661211
2019-09-04,1488.4019307626222
2019-09-05,1495.0960433886592
2019-09-06,1499.2810914786196
2019-09-09,1499.0717081696482
2019-09-10,1501.8171254994656
2019-09-11,1518.511252605914
2019-09-12,1523.7453128906775
2019-09-13,1524.2217720430451
2019-09-16,1536.883158455461
2019-09-17,1517.1709251140578
2019-09-18,1522.1245444197223
2019-09-19,1515.8789544863496
2019-09-20,1539.934543397924
2019-09-23,1542.3337860212637
2019-09-24,1538.3156388388522
2019-09-25,1528.1769711232616
2019-09-26,1531.737487515353
2019-09-27,1521.159111723247
2019-09-30,1523.627776983276
2019-10-01,1520.7113006308505
2019-10-02,1509.4624433880347
2019-10-03,1506.0065613475085
2019-10-04,1504.670632564392
2019-10-07,1504.3499267627662
2019-10-08,1514.973019339586
2019-10-09,1509.0908680775258
2019-10-10,1502.011725909546
2019-10-11,1507.3843958502553
2019-10-14,1524.5262280452578
2019-10-15,1523.701638626357
2019-10-16,1523.7819031689298
2019-10-17,1522.8991272941657
2019-10-18,1525.3546031991827
2019-10-21,1528.6059333284481
2019-10-22,1536.6928331804054
2019-10-23,1537.7841821282882
2019-10-24,1545.2823533105143
2019-10-25,1540.7794308766963
2019-10-28,1547.3313827823326
2019-10-29,1545.431875515396
2019-10-30,1543.0742879006661
2019-10-31,1545.6045053443722
2019-11-01,1546.0378725216997
2019-11-04,1563.8860974004492
2019-11-05,1580.5211817365491
2019-11-06,1576.2656203982194
2019-11-07,1582.6283537382299
2019-11-08,1583.3865446512134
2019-11-11,1562.909551561554
2019-11-12,1574.3682096825364
2019-11-13,1558.9066315059627
2019-11-14,1557.7513948206058
2019-11-15,1555.3541700012079
2019-11-18,1556.0261887412314
2019-11-19,1558.2788725601465
2019-11-20,1551.3332466405918
2019-11-21,1535.5358440791722
2019-11-22,1543.3612922981995
2019-11-25,1558.7244452233515
2019-11-26,1562.7418392220102
2019-11-27,1567.4276792500348
2019-11-28,1562.7671934807784
2019-11-29,1552.4405693444999
2019-12-02,1542.048792863352
2019-12-03,1535.840329613019
2019-12-04,1533.0653894335487
2019-12-05,1536.2596550863652
2019-12-06,1546.1668745328286
2019-12-09,1542.6464448627685
2019-12-10,1536.8605149933999
2019-12-11,1540.9390574353404
2019-12-12,1549.298143634376
2019-12-13,1559.3931357459765
2019-12-16,1562.2740797543752
2019-12-17,1569.9159700664832
2019-12-18,1572.0930097434166
2019-12-19,1574.1035196463881
2019-12-20,1577.8050829710912
2019-12-23,1577.3559823624958
2019-12-24,1575.7493574994019
2019-12-25,1578.4519086199787
2019-12-26,1583.357758609086
2019-12-27,1586.7084692249127
2019-12-30,1592.2850575183497
2019-12-31,1591.65889540828
2020-01-01,1592.8955285535985
2020-01-02,1606.4506997782341
2020-01-03,1602.7710570444024
2020-01-06,1573.9869005873873
2020-01-07,1589.3266284666847
2020-01-08,1573.5870199194947
2020-01-09,1606.47675066642
2020-01-10,1611.5748592383443
2020-01-13,1625.164385148796
2020-01-14,1632.3558844728284
2020-01-15,1631.0375657582347
2020-01-16,1638.4406203451229
2020-01-17,1649.4619095941755
2020-01-20,1647.6176228733411
2020-01-21,1626.6321084993617
2020-01-22,1636.4736681539455
2020-01-23,1633.5661012464382
2020-01-24,1640.2481706426897
2020-01-27,1636.1509000286649
2020-01-28,1620.601315078012
2020-01-29,1611.610914153747
2020-01-30,1555.357908901399
2020-01-31,1540.6524954521597
2020-02-03,1525.1452938711661
2020-02-04,1555.4101543739987
2020-02-05,1569.2447666980893
2020-02-06,1597.9727847805966
2020-02-07,1588.4504242216096
2020-02-10,1587.5603050624636
2020-02-11,1603.5328372387378
2020-02-12,1620.4291146614555
2020-02-13,1623.9710115340758
2020-02-14,1625.2909051554923
2020-02-17,1627.120224607884
2020-02-18,1614.110170799714
2020-02-19,1627.7789870717763
2020-02-20,1622.948404929638
2020-02-21,1597.3385733341033
2020-02-24,1555.7357151267124
2020-02-25,1562.53948161996
2020-02-26,1548.4976200583696
2020-02-27,1518.0814681360057
2020-02-28,1484.4920929098864
2020-03-02,1473.9443649702448
2020-03-03,1482.7211140407235
2020-03-04,1494.6656550962593
2020-03-05,1506.895377208884
2020-03-06,1462.9232077654553
2020-03-09,1376.3380555192425
2020-03-10,1395.859559129938
2020-03-11,1386.5442679456426
2020-03-12,1317.5135457331653
2020-03-13,1279.521030098713
2020-03-16,1202.740972102525
2020-03-17,1192.643878292596
2020-03-18,1159.6604562525683
2020-03-19,1086.2362905006762
2020-03-20,1156.2215842692017
2020-03-23,1072.3122929262054
2020-03-24,1117.1088439938173
2020-03-25,1168.0027770229117
2020-03-26,1167.4601058117673
2020-03-27,1178.9385097923443
2020-03-30,1174.5072519014705
2020-03-31,1205.890919153918
2020-04-01,1194.0872100623076
2020-04-02,1208.3014422496399
2020-04-03,1209.7240567419435
2020-04-06,1235.065123241449
2020-04-07,1262.9039270150515
2020-04-08,1269.815372170446
2020-04-09,1280.9302764559015
2020-04-10,1284.5794604819139
2020-04-13,1283.4736415606658
2020-04-14,1298.7452282092045
2020-04-15,1310.416388058321
2020-04-16,1315.251810907707
2020-04-17,1335.4388982067917
2020-04-20,1344.2530020566865
2020-04-21,1311.6564343719751
2020-04-22,1326.0809079670973
2020-04-23,1340.6691317774532
2020-04-24,1329.2051111270546
2020-04-27,1351.0433405500783
2020-04-28,1360.3896019729784
2020-04-29,1373.989002026267
2020-04-30,1378.7141233607717
2020-05-01,1370.4101296806066
2020-05-04,1347.590053516203
2020-05-05,1362.4419300350232
2020-05-06,1375.6222487067093
2020-05-07,1385.8493569288069
2020-05-08,1388.851074761665
2020-05-11,1403.4316148553278
2020-05-12,1389.9077406365316
2020-05-13,1400.2524841028653
2020-05-14,1388.188809626458
2020-05-15,1392.4045003921983
2020-05-18,1381.3143005535692
2020-05-19,1389.0422139274208
2020-05-20,1391.5820285479972
2020-05-21,1403.312799319182
2020-05-22,1381.4418912910212
2020-05-25,1391.3947661189052
2020-05-26,1401.4572746854412
2020-05-27,1402.8687065341303
2020-05-28,1384.8978953564322
2020-05-29,1382.5021932049815
2020-06-01,1416.997228797164
2020-06-02,1427.699905752714
2020-06-03,1439.5990603209334
2020-06-04,1430.0059232450747
2020-06-05,1460.294855711101
2020-06-08,1474.5845189687589
2020-06-09,1471.7609325037402
2020-06-10,1483.7205180393694
2020-06-11,1455.7087726810032
2020-06-12,1462.4918991682105
2020-06-15,1420.5116011461305
2020-06-16,1467.0864864650914
2020-06-17,1474.165775602401
2020-06-18,1484.7832930706893
2020-06-19,1493.168089531017
2020-06-22,1483.6344417459484
2020-06-23,1480.939833145952
2020-06-24,1492.5698398996417
2020-06-25,1494.529975718662
2020-06-26,1496.8042220099537
2020-06-29,1477.1395457851622
2020-06-30,1486.8438713000462
2020-07-01,1488.743454174743
2020-07-02,1521.1748800714558
2020-07-03,1534.6869839309588
2020-07-06,1555.8248596590356
2020-07-07,1553.9612807035653
2020-07-08,1563.8326863379632
2020-07-09,1579.6064296404693
2020-07-10,1558.4880414992454
2020-07-13,1566.8999716810215
2020-07-14,1543.65168151921
2020-07-15,1544.1024151150496
2020-07-16,1523.5771979350461
2020-07-17,1532.9858405320892
2020-07-20,1543.655691428532
2020-07-21,1561.069182603664
2020-07-22,1547.9328202849458
2020-07-23,1559.994715593923
2020-07-24,1528.3719221272438
2020-07-27,1508.7583422235912
2020-07-28,1520.096635029977
2020-07-29,1525.3055261134841
2020-07-30,1526.4822118811107
2020-07-31,1531.207345903598
2020-08-03,1544.3905592969088
2020-08-04,1563.6814415284875
2020-08-05,1569.9696258666347
2020-08-06,1585.90310283707
2020-08-07,1586.4570080177152
