Date,BAHRAIN IMI
2004-07-27,604.5891744500343
2004-07-28,610.426740248872
2004-07-29,610.2701492036846
2004-07-30,611.8161635357345
2004-08-02,606.533081694379
2004-08-03,603.2721278902761
2004-08-04,603.104115163967
2004-08-05,604.3390351814509
2004-08-06,593.9359728585231
2004-08-09,598.472929913877
2004-08-10,596.244306726523
2004-08-11,605.0180458402585
2004-08-12,610.4233488495098
2004-08-13,604.39447626828
2004-08-16,614.5683093915123
2004-08-17,622.2056688279657
2004-08-18,638.5021127475156
2004-08-19,652.8578733702601
2004-08-20,654.6058194837015
2004-08-23,668.8102230670515
2004-08-24,665.2257812956101
2004-08-25,662.8308717573724
2004-08-26,671.9107378465367
2004-08-27,674.9530786609458
2004-08-30,687.562351426074
2004-08-31,683.3734117951334
2004-09-01,682.978211470885
2004-09-02,687.9702352916079
2004-09-03,693.7920268044252
2004-09-06,693.5999281818596
2004-09-07,690.6389627351589
2004-09-08,693.6922001755847
2004-09-09,686.906094814327
2004-09-10,679.6440452615387
2004-09-13,697.1764271696625
2004-09-14,703.2202356399769
2004-09-15,726.3028142432586
2004-09-16,726.1677366327477
2004-09-17,724.6156497280288
2004-09-20,722.3750692757103
2004-09-21,719.0359845431873
2004-09-22,718.796453487967
2004-09-23,707.7012812037631
2004-09-24,709.3742656875542
2004-09-27,702.1312041413248
2004-09-28,707.5578272309266
2004-09-29,710.6787550483316
2004-09-30,703.6035322899794
2004-10-01,705.0511009755571
2004-10-04,718.9518481344361
2004-10-05,717.4556902329723
2004-10-06,715.0431708053753
2004-10-07,716.3810580616788
2004-10-08,708.8799878230237
2004-10-11,715.2613471178513
2004-10-12,731.7261686515108
2004-10-13,746.2834860926675
2004-10-14,743.5193346000804
2004-10-15,738.2772001254734
2004-10-18,731.639157877667
2004-10-19,732.3221133988918
2004-10-20,723.4893343096694
2004-10-21,727.1405724714751
2004-10-22,725.758996748931
2004-10-25,735.8182968756345
2004-10-26,725.7676186581158
2004-10-27,726.4994745030298
2004-10-28,730.3860450402944
2004-10-29,731.2473154837207
2004-11-01,734.0183265726139
2004-11-02,737.6493586790479
2004-11-03,731.8290715631864
2004-11-04,727.1708154895841
2004-11-05,725.537546415565
2004-11-08,726.0860724856599
2004-11-09,733.4999680080159
2004-11-10,730.0755775036945
2004-11-11,728.0976641302185
2004-11-12,725.9864201785552
2004-11-15,725.6631876336785
2004-11-16,727.6431842461603
2004-11-17,720.2067606643111
2004-11-18,718.2455327736495
2004-11-19,714.395382504158
2004-11-22,713.4659926403407
2004-11-23,712.4269738396864
2004-11-24,706.8327421758494
2004-11-25,706.2994176081972
2004-11-26,705.2074765779583
2004-11-29,707.272557762858
2004-11-30,707.3647578538876
2004-12-01,710.7852791335166
2004-12-02,714.4594432462188
2004-12-03,709.0624570626155
2004-12-06,708.5316666064505
2004-12-07,707.7484005296772
2004-12-08,716.0173323257605
2004-12-09,716.2411170863356
2004-12-10,718.1370096254184
2004-12-13,713.9771585394722
2004-12-14,711.5174544073428
2004-12-15,704.2236586448704
2004-12-16,711.3790565236991
2004-12-17,713.1234219482518
2004-12-20,706.8126095134937
2004-12-21,711.8555854450283
2004-12-22,710.4627228313697
2004-12-23,703.5985066303559
2004-12-24,701.7794153851435
2004-12-27,696.0175308606567
2004-12-28,696.0843084412338
2004-12-29,696.5471804926457
2004-12-30,699.8697404512917
2004-12-31,700.1573290070887
2005-01-03,710.9668076193334
2005-01-04,720.421316715352
2005-01-05,721.422069652078
2005-01-06,735.4962110229695
2005-01-07,742.5143584284004
2005-01-10,786.9080947345321
2005-01-11,775.2529205093123
2005-01-12,768.9170927443482
2005-01-13,775.2757819990165
2005-01-14,781.6700532163899
2005-01-17,775.4942138322009
2005-01-18,780.3073973741205
2005-01-19,779.7087037021412
2005-01-20,784.6149930282472
