Date,USA ESG SELECT
2017-11-03,262.40668479277724
2017-11-06,261.7342044099342
2017-11-07,261.6819905098928
2017-11-08,262.2175646571777
2017-11-09,260.7726290898956
2017-11-10,260.6726171503435
2017-11-13,261.1370131792323
2017-11-14,261.42314617072634
2017-11-15,259.7152433532675
2017-11-16,262.385513991431
2017-11-17,261.74789696571173
2017-11-20,262.07051910694923
2017-11-21,263.08676885113607
2017-11-22,262.75350965128797
2017-11-23,262.75350965128797
2017-11-24,263.00639055384556
2017-11-27,263.42432200131157
2017-11-28,265.8102724279172
2017-11-29,265.4629634356569
2017-11-30,267.28376622422707
2017-12-01,267.0603389854309
2017-12-04,266.9900707092342
2017-12-05,265.7787759689457
2017-12-06,265.58249620100764
2017-12-07,266.1486077139006
2017-12-08,267.4925676872818
2017-12-11,268.4892821950169
2017-12-12,268.3759605924003
2017-12-13,268.60081958021885
2017-12-14,267.5846890878917
2017-12-15,270.3548528766827
2017-12-18,271.6276774643298
2017-12-19,270.8683593132351
2017-12-20,270.7656874561942
2017-12-21,271.0098682302992
2017-12-22,271.0350883768473
2017-12-25,271.0350883768473
2017-12-26,270.7922962247968
2017-12-27,271.13563360773475
2017-12-28,271.58231363824615
2017-12-29,270.37713733729555
2018-01-01,270.37713733729555
2018-01-02,271.87790820054084
2018-01-03,273.2840238138258
2018-01-04,274.80237189748925
2018-01-05,276.597088471561
2018-01-08,277.8948591271733
2018-01-09,278.34836494867284
2018-01-10,277.3175863160793
2018-01-11,279.03949643975386
2018-01-12,281.31560056964304
2018-01-15,281.31560056964304
2018-01-16,280.647734787454
2018-01-17,283.81119073624336
2018-01-18,282.6654731309847
2018-01-19,285.3397479537139
2018-01-22,287.45655967345454
2018-01-23,287.62823335384917
2018-01-24,287.1290546293784
2018-01-25,287.2389610007087
2018-01-26,290.63155232386737
2018-01-29,288.4537413314822
2018-01-30,285.4537767230542
2018-01-31,285.4831210902933
2018-02-01,285.26551005032155
2018-02-02,279.0494330244739
2018-02-05,268.4941745430256
2018-02-06,272.464965324812
2018-02-07,271.0944615549664
2018-02-08,261.5085604308389
2018-02-09,265.74496695796284
2018-02-12,269.0917893568576
2018-02-13,269.1837684587725
2018-02-14,272.82372607686483
2018-02-15,276.45747423078626
2018-02-16,276.88309618261377
2018-02-19,276.88309618261377
2018-02-20,275.62371069711156
2018-02-21,273.81410246645
2018-02-22,274.3959716143833
2018-02-23,278.85229102096105
2018-02-26,281.9392785039478
2018-02-27,278.58859513492683
2018-02-28,275.91205751903095
2018-03-01,272.1552850453231
2018-03-02,273.4555708934558
2018-03-05,276.33226606672474
2018-03-06,277.34355176183345
2018-03-07,277.7703499208108
2018-03-08,279.1373578778746
2018-03-09,283.66697553727664
2018-03-12,283.28693783624146
2018-03-13,281.69927843529877
