Date,AC ASIA PACIFIC ex JAPAN SMALL VALUE
1999-11-15,386.2731882399435
1999-11-16,386.46489091991685
1999-11-17,379.2312718995021
1999-11-18,381.40283417738254
1999-11-19,383.00683057630386
1999-11-22,382.11974817857225
1999-11-23,382.3037035748252
1999-11-24,382.4834013775899
1999-11-25,380.0239800739276
1999-11-26,380.10055425153956
1999-11-29,382.0997343097471
1999-11-30,384.40389000820505
1999-12-01,384.179458570663
1999-12-02,386.8060401513477
1999-12-03,388.7117698352779
1999-12-06,381.85122996008744
1999-12-07,380.0599408406986
1999-12-08,380.3958334796615
1999-12-09,383.9052325420094
1999-12-10,387.1497245198812
1999-12-13,391.1592544394583
1999-12-14,392.70307205877936
1999-12-15,389.6301998989562
1999-12-16,385.6873099465376
1999-12-17,388.17976753988415
1999-12-20,388.86801651173175
1999-12-21,386.13454456690846
1999-12-22,388.1736558027643
1999-12-23,385.2523266826228
1999-12-24,386.377675652043
1999-12-27,388.6205724819208
1999-12-28,390.63039978293546
1999-12-29,393.297141920034
1999-12-30,397.7446040017188
1999-12-31,397.79916973636875
2000-01-03,400.76545030926894
2000-01-04,397.6674844494485
2000-01-05,385.93296349010353
2000-01-06,380.08494991858026
2000-01-07,387.09609935893667
2000-01-10,393.5694723835264
2000-01-11,387.5625263154985
2000-01-12,390.38941991737863
2000-01-13,390.57988381363396
2000-01-14,396.1614211858144
2000-01-17,400.35051995741065
2000-01-18,397.1330824185727
2000-01-19,392.00567364866004
2000-01-20,392.3689473357803
2000-01-21,393.5912619345119
2000-01-24,395.61244804977366
2000-01-25,391.3939823595753
2000-01-26,394.91994417703745
2000-01-27,405.9241825663286
2000-01-28,406.68291629388693
2000-01-31,404.5521471385423
2000-02-01,407.6832204093742
2000-02-02,409.8292274621382
2000-02-03,405.34094942168053
2000-02-04,408.4083763054695
2000-02-07,410.6169410356287
2000-02-08,405.67338938820933
2000-02-09,405.5228178936345
2000-02-10,407.84330829208176
2000-02-11,405.1768509834097
2000-02-14,403.6968425210702
2000-02-15,401.44278947602766
2000-02-16,404.5730251343786
