Date,KOKUSAI MINIMUM VOLATILITY (JPY)
1998-06-18,986.40405377
1998-06-19,985.30963774
1998-06-22,981.26178256
1998-06-23,988.35594509
1998-06-24,990.70892242
1998-06-25,997.24895866
1998-06-26,994.95723655
1998-06-29,995.33781354
1998-06-30,999.53924127
1998-07-01,1006.42249602
1998-07-02,1008.67921062
1998-07-03,1012.27502876
1998-07-06,1017.49695751
1998-07-07,1014.17931209
1998-07-08,1016.43176222
1998-07-09,1007.85620344
1998-07-10,1005.80412203
1998-07-13,1009.39400248
1998-07-14,1022.69130037
1998-07-15,1023.77674911
1998-07-16,1027.24246169
1998-07-17,1033.41606256
1998-07-20,1036.53518412
1998-07-21,1027.63527307
1998-07-22,1022.98223724
1998-07-23,1007.28403727
1998-07-24,1008.02478156
1998-07-27,1002.08690539
1998-07-28,998.57821292
1998-07-29,995.02132524
1998-07-30,1003.81063691
1998-07-31,989.4914527
1998-08-03,983.85686112
1998-08-04,970.60110566
1998-08-05,963.96949678
1998-08-06,961.90268677
1998-08-07,970.10989047
1998-08-10,960.52873336
1998-08-11,945.43671782
1998-08-12,960.79706152
1998-08-13,951.47678325
1998-08-14,950.7373442
1998-08-17,955.97218675
1998-08-18,971.43743402
1998-08-19,972.66114595
1998-08-20,970.56910235
1998-08-21,951.82016365
1998-08-24,955.71146766
1998-08-25,963.39660999
1998-08-26,949.88409267
1998-08-27,925.24136376
1998-08-28,924.75051374
1998-08-31,905.5127567
1998-09-01,910.50876409
1998-09-02,917.51600912
1998-09-03,917.6335075
1998-09-04,921.57889873
1998-09-07,930.30154514
1998-09-08,949.99777357
1998-09-09,944.63880921
1998-09-10,929.25199844
1998-09-11,936.74591521
1998-09-14,951.19508746
1998-09-15,955.90028854
1998-09-16,959.79532193
1998-09-17,941.01284848
1998-09-18,935.08221777
1998-09-21,923.53712285
1998-09-22,934.84269595
1998-09-23,953.80364315
1998-09-24,949.10527427
1998-09-25,946.85242271
1998-09-28,952.19341769
1998-09-29,953.60478925
1998-09-30,931.24866274
1998-10-01,911.00323504
1998-10-02,911.63322456
1998-10-05,908.77058891
1998-10-06,923.22754889
1998-10-07,928.3524026
1998-10-08,915.26275172
1998-10-09,914.98617794
1998-10-12,929.84662365
1998-10-13,935.21238597
1998-10-14,943.88655058
1998-10-15,967.81104179
1998-10-16,973.80918033
1998-10-19,968.88348981
1998-10-20,979.26889897
1998-10-21,971.96913003
1998-10-22,974.67645917
1998-10-23,969.10028139
1998-10-26,969.77925914
1998-10-27,974.18258651
1998-10-28,969.76582209
1998-10-29,978.309321
1998-10-30,985.92052802
1998-11-02,1001.79318357
1998-11-03,1002.90187861
1998-11-04,1006.96020036
1998-11-05,1008.47572831
1998-11-06,1012.01597235
1998-11-09,1000.61660501
1998-11-10,996.09339305
1998-11-11,997.09817047
1998-11-12,993.69095102
1998-11-13,997.31540668
1998-11-16,1012.51351347
1998-11-17,1010.87451777
1998-11-18,1011.14080303
1998-11-19,1013.94076634
1998-11-20,1022.26689815
1998-11-23,1031.35877687
1998-11-24,1028.14695743
1998-11-25,1026.50610659
1998-11-26,1033.13295728
1998-11-27,1036.47034491
1998-11-30,1021.11893076
1998-12-01,1014.0519318
1998-12-02,1010.79242896
1998-12-03,1008.64316164
1998-12-04,1019.89418197
1998-12-07,1024.55706506
1998-12-08,1025.72745597
1998-12-09,1029.94712771
1998-12-10,1026.96366357
1998-12-11,1026.70330122
1998-12-14,1018.12021637
1998-12-15,1023.7996061
1998-12-16,1026.20468777
1998-12-17,1036.95238568
1998-12-18,1039.93929546
1998-12-21,1049.02645066
1998-12-22,1046.83062713
1998-12-23,1059.97851591
1998-12-24,1057.75558212
1998-12-25,1057.75558212
1998-12-28,1059.51405228
1998-12-29,1070.42501745
1998-12-30,1063.54287683
1998-12-31,1066.689784
1999-01-01,1066.68999269
1999-01-04,1078.77742539
1999-01-05,1088.38322583
1999-01-06,1102.94387052
1999-01-07,1095.02687121
1999-01-08,1093.71802655
1999-01-11,1080.50770911
1999-01-12,1066.6880022
1999-01-13,1055.28642743
1999-01-14,1047.9105826
1999-01-15,1057.31669425
1999-01-18,1063.42866275
1999-01-19,1065.39372056
1999-01-20,1065.09647351
1999-01-21,1055.66650595
1999-01-22,1043.66269218
1999-01-25,1044.80300826
1999-01-26,1051.36008516
1999-01-27,1045.86598989
1999-01-28,1050.19616456
1999-01-29,1049.83190199
1999-02-01,1048.26513393
1999-02-02,1044.76472793
1999-02-03,1044.48370189
1999-02-04,1040.87443894
1999-02-05,1038.14032337
1999-02-08,1034.2359442
1999-02-09,1023.49768995
1999-02-10,1020.85672543
1999-02-11,1030.51163246
1999-02-12,1026.15164106
1999-02-15,1024.79466499
1999-02-16,1026.84054719
1999-02-17,1021.87159387
1999-02-18,1025.65086568
1999-02-19,1023.65860637
1999-02-22,1037.3616992
1999-02-23,1034.07227252
1999-02-24,1030.46800326
1999-02-25,1025.77810006
1999-02-26,1017.83512573
1999-03-01,1010.0317881
1999-03-02,1009.27251733
1999-03-03,1007.67766924
1999-03-04,1012.04222939
1999-03-05,1029.84969216
1999-03-08,1030.58938705
1999-03-09,1028.2792018
1999-03-10,1033.84037147
1999-03-11,1038.86981938
1999-03-12,1047.11989616
1999-03-15,1047.65496207
1999-03-16,1047.97648145
1999-03-17,1046.68360866
1999-03-18,1047.88352648
1999-03-19,1040.40809477
1999-03-22,1041.27838488
1999-03-23,1023.42507716
1999-03-24,1022.89609179
1999-03-25,1031.24539646
1999-03-26,1020.26769643
1999-03-29,1028.61218711
1999-03-30,1024.50637451
1999-03-31,1024.78218145
1999-04-01,1028.59472648
1999-04-02,1027.50376044
1999-04-05,1032.29685621
1999-04-06,1032.8348296
1999-04-07,1037.56702329
1999-04-08,1048.97814666
1999-04-09,1049.65497284
1999-04-12,1058.36044202
1999-04-13,1058.06238563
1999-04-14,1056.3640282
1999-04-15,1056.84842381
1999-04-16,1057.59885018
1999-04-19,1064.16962322
1999-04-20,1058.48827825
1999-04-21,1066.15930573
1999-04-22,1072.7234024
1999-04-23,1074.18219976
1999-04-26,1074.20680005
1999-04-27,1084.59636814
1999-04-28,1085.34677936
1999-04-29,1082.1466396
1999-04-30,1080.05176023
1999-05-03,1093.15374937
1999-05-04,1090.49343729
1999-05-05,1094.95151582
1999-05-06,1093.78656679
1999-05-07,1093.14657203
1999-05-10,1091.16798303
1999-05-11,1093.3342714
1999-05-12,1087.83194447
1999-05-13,1092.03557107
1999-05-14,1080.815029
1999-05-17,1071.20931327
1999-05-18,1068.69263321
1999-05-19,1075.96459813
1999-05-20,1079.74195331
1999-05-21,1076.72495782
1999-05-24,1069.27555181
1999-05-25,1060.48728357
1999-05-26,1060.76471904
1999-05-27,1045.69184164
1999-05-28,1052.22199773
1999-05-31,1052.2812148
1999-06-01,1051.49600754
1999-06-02,1052.08784096
1999-06-03,1057.08505718
1999-06-04,1064.89473601
1999-06-07,1069.13453445
1999-06-08,1071.12943924
1999-06-09,1070.86988584
1999-06-10,1063.35563789
1999-06-11,1061.28530636
1999-06-14,1063.23588495
1999-06-15,1065.55076483
1999-06-16,1069.5705338
1999-06-17,1072.0083602
1999-06-18,1075.36101109
1999-06-21,1072.5357522
1999-06-22,1068.62094968
1999-06-23,1057.39466075
1999-06-24,1051.18519331
1999-06-25,1051.86445249
1999-06-28,1053.27014358
1999-06-29,1057.97703953
1999-06-30,1061.81941568
1999-07-01,1069.04704545
1999-07-02,1072.61252186
1999-07-05,1077.1387513
1999-07-06,1075.85969438
1999-07-07,1074.68106794
1999-07-08,1068.44932435
1999-07-09,1072.77470717
1999-07-12,1070.38135898
1999-07-13,1065.48272633
1999-07-14,1068.2237303
1999-07-15,1078.11646274
1999-07-16,1076.57681457
1999-07-19,1070.97744642
1999-07-20,1069.03550297
1999-07-21,1071.38798467
1999-07-22,1065.19260008
1999-07-23,1059.48703306
1999-07-26,1061.38781424
1999-07-27,1064.07134683
1999-07-28,1064.85790837
1999-07-29,1055.00286106
1999-07-30,1056.55998488
1999-08-02,1053.49499666
1999-08-03,1052.80726542
1999-08-04,1051.1614166
1999-08-05,1050.87185286
1999-08-06,1046.59991731
1999-08-09,1046.07112768
1999-08-10,1036.05300023
1999-08-11,1038.48913858
1999-08-12,1043.01836266
1999-08-13,1052.43734193
1999-08-16,1054.98734998
1999-08-17,1055.25642674
1999-08-18,1052.84809694
1999-08-19,1050.68520286
1999-08-20,1059.26215265
