Date,EUROPE MINIMUM VOLATILITY (EUR)
1997-07-04,868.1755667
1997-07-07,876.11968708
1997-07-08,870.5614754
1997-07-09,874.96574237
1997-07-10,873.99191955
1997-07-11,872.49341896
1997-07-14,872.05291993
1997-07-15,869.82246106
1997-07-16,880.42774176
1997-07-17,878.77735783
1997-07-18,870.50515181
1997-07-21,861.44637547
1997-07-22,868.36201988
1997-07-23,878.96879969
1997-07-24,869.71279642
1997-07-25,864.72285245
1997-07-28,861.54300149
1997-07-29,861.24219491
1997-07-30,864.0588531
1997-07-31,866.20517871
1997-08-01,856.51366467
1997-08-04,845.86558295
1997-08-05,843.96389643
1997-08-06,848.23471137
1997-08-07,858.82831081
1997-08-08,855.74725507
1997-08-11,854.15773868
1997-08-12,854.63791206
1997-08-13,846.35736303
1997-08-14,843.75108145
1997-08-15,842.08408094
1997-08-18,833.65882756
1997-08-19,843.76807474
1997-08-20,845.65045764
1997-08-21,848.15845411
1997-08-22,838.77713331
1997-08-25,837.27128413
1997-08-26,836.77452365
1997-08-27,836.15016781
1997-08-28,830.28524747
1997-08-29,825.28451347
1997-09-01,829.06110025
1997-09-02,837.0753999
1997-09-03,841.30778203
1997-09-04,838.15802395
1997-09-05,845.89435009
1997-09-08,841.94914701
1997-09-09,841.48090539
1997-09-10,834.88472804
1997-09-11,825.38308388
1997-09-12,833.82994362
1997-09-15,839.84517015
1997-09-16,847.72347109
1997-09-17,857.70041549
1997-09-18,866.02283466
1997-09-19,865.49676769
1997-09-22,868.01226854
1997-09-23,866.69392221
1997-09-24,877.72692183
1997-09-25,878.73129538
1997-09-26,881.92072324
1997-09-29,885.89769219
1997-09-30,890.39046885
1997-10-01,897.36141536
1997-10-02,902.68635717
1997-10-03,911.49056354
1997-10-06,909.92413426
1997-10-07,911.51524321
1997-10-08,908.80804485
1997-10-09,899.86619436
1997-10-10,891.41259149
1997-10-13,904.36308266
1997-10-14,902.58650641
1997-10-15,901.1268029
1997-10-16,899.8630071
1997-10-17,884.57704407
1997-10-20,884.65516475
1997-10-21,889.81195778
1997-10-22,885.41015091
1997-10-23,863.45321286
1997-10-24,865.90522047
1997-10-27,851.39661681
1997-10-28,835.92264637
1997-10-29,862.09333352
1997-10-30,855.8437459
1997-10-31,864.13806787
1997-11-03,873.50988564
1997-11-04,873.52538422
1997-11-05,876.36851697
1997-11-06,872.16934862
1997-11-07,861.69426678
1997-11-10,863.91545074
1997-11-11,865.68248994
1997-11-12,856.36353806
1997-11-13,857.51069342
1997-11-14,859.01726037
1997-11-17,874.38466708
1997-11-18,879.45623749
1997-11-19,875.63722271
1997-11-20,889.80946723
1997-11-21,891.63549425
1997-11-24,884.52782336
1997-11-25,877.83825243
1997-11-26,878.14608809
1997-11-27,879.82070278
1997-11-28,877.7359889
1997-12-01,890.04540382
1997-12-02,894.89710843
1997-12-03,896.42750909
1997-12-04,903.34279671
1997-12-05,902.74473373
1997-12-08,903.28993349
1997-12-09,898.21192684
1997-12-10,896.82890519
1997-12-11,888.29858026
1997-12-12,892.57354782
1997-12-15,891.04144866
1997-12-16,896.97266478
1997-12-17,908.36614069
1997-12-18,907.35203011
1997-12-19,895.35888038
1997-12-22,892.89807572
1997-12-23,900.29033057
1997-12-24,900.75503057
1997-12-25,900.75503057
1997-12-26,900.90147939
1997-12-29,915.93450089
1997-12-30,915.25631283
1997-12-31,913.75933307
1998-01-01,913.75933307
1998-01-02,920.12706573
1998-01-05,928.23569693
1998-01-06,923.6727945
1998-01-07,922.10961211
1998-01-08,920.14252246
1998-01-09,906.82488358
1998-01-12,888.71669728
1998-01-13,902.73064555
1998-01-14,908.23689121
1998-01-15,910.28429305
1998-01-16,922.25447129
1998-01-19,929.70073822
1998-01-20,932.87315284
1998-01-21,936.41181113
1998-01-22,944.43610498
1998-01-23,951.60063423
1998-01-26,951.07727584
1998-01-27,956.19710344
1998-01-28,957.30274604
1998-01-29,953.4370066
1998-01-30,956.52609334
1998-02-02,972.09550822
1998-02-03,977.23709934
1998-02-04,979.55233036
1998-02-05,992.57209617
1998-02-06,993.71207336
1998-02-09,986.9167247
1998-02-10,988.22944024
1998-02-11,988.13795554
1998-02-12,985.06962927
1998-02-13,980.0962564
1998-02-16,987.06763054
1998-02-17,993.71358722
1998-02-18,998.82963336
1998-02-19,992.47737735
1998-02-20,996.22275958
1998-02-23,1011.5482854
1998-02-24,1005.41201008
1998-02-25,1012.58165557
1998-02-26,1018.93949827
1998-02-27,1019.5080737
