Date,NIGERIA SMALL CAP
2011-08-15,745.9443176693392
2011-08-16,750.2513658359177
2011-08-17,754.0603421007629
2011-08-18,762.6362404827596
2011-08-19,751.7497725336527
2011-08-22,736.0113597856198
2011-08-23,725.0211642310053
2011-08-24,728.4383341845403
2011-08-25,722.7937185658013
2011-08-26,716.0802643683525
2011-08-29,691.9816957956529
2011-08-30,696.8478850167883
2011-08-31,698.7691384606014
2011-09-01,697.6230116334408
2011-09-02,709.959424747329
2011-09-05,713.1479416283012
2011-09-06,710.5879919409036
2011-09-07,705.7301088202032
2011-09-08,704.8038879439883
2011-09-09,722.0103399784025
2011-09-12,724.9109841992114
2011-09-13,714.7096042721525
2011-09-14,699.4600528139633
2011-09-15,686.4279337250993
2011-09-16,696.0351320076101
2011-09-19,694.8616277463676
2011-09-20,690.2644444021814
