Date,CHINA A INTERNATIONAL MOMENTUM
2009-08-24,1412.432686161769
2009-08-25,1363.4033650953995
2009-08-26,1397.0404189058606
2009-08-27,1377.4325281523666
2009-08-28,1328.0413729017082
2009-08-31,1220.6690015794863
2009-09-01,1215.524660321719
2009-09-02,1241.9565175684827
2009-09-03,1328.108270493975
2009-09-04,1343.4297486150272
2009-09-07,1351.6122944736699
2009-09-08,1400.5524339609076
2009-09-09,1423.5214286494993
2009-09-10,1403.717571874778
2009-09-11,1435.7074282515205
2009-09-14,1457.981254734441
2009-09-15,1471.6487925148554
2009-09-16,1460.0077871687374
2009-09-17,1479.8217029562788
2009-09-18,1418.6552869256482
2009-09-21,1426.9512589163312
2009-09-22,1390.381334165993
2009-09-23,1346.808040565111
2009-09-24,1352.6889131861553
2009-09-25,1331.8364052327906
2009-09-28,1281.5510777504107
2009-09-29,1287.8166760479794
2009-09-30,1310.6270611567422
2009-10-01,1310.6270611567422
2009-10-02,1310.6270611567422
2009-10-05,1310.6270611567422
2009-10-06,1310.6270611567422
2009-10-07,1310.6270611567422
2009-10-08,1310.6270611567422
2009-10-09,1400.7610151271701
2009-10-12,1394.1345528004947
2009-10-13,1418.678228917933
2009-10-14,1437.3392421805495
2009-10-15,1445.3396826355986
2009-10-16,1456.5375223262595
2009-10-19,1509.6715144356317
2009-10-20,1525.593008015273
2009-10-21,1517.7684984419845
2009-10-22,1501.4814429327444
2009-10-23,1541.6086169114633
2009-10-26,1543.1000605830195
2009-10-27,1482.6873843744138
2009-10-28,1496.0393588328866
2009-10-29,1452.1741105286478
2009-10-30,1469.4142001591767
2009-11-02,1521.018707626802
2009-11-03,1533.7701339087141
2009-11-04,1540.6568992841778
2009-11-05,1542.8237773066526
2009-11-06,1556.199639413103
2009-11-09,1559.8770689501418
2009-11-10,1565.9461328246946
2009-11-11,1551.86513976389
2009-11-12,1549.4826431449249
2009-11-13,1553.9562017030835
2009-11-16,1628.810966943211
2009-11-17,1625.389096739466
2009-11-18,1630.7175449261392
2009-11-19,1631.5339636592623
2009-11-20,1616.6604302235542
2009-11-23,1635.4596270188854
2009-11-24,1590.3840962033266
2009-11-25,1635.7080165495672
2009-11-26,1587.0562604152292
2009-11-27,1524.4096276215862
2009-11-30,1588.288626473431
2009-12-01,1609.2842288006877
2009-12-02,1631.0037104118378
2009-12-03,1625.049211440905
2009-12-04,1633.6240411316467
2009-12-07,1639.3722071336829
2009-12-08,1622.9946119232536
2009-12-09,1600.93217704579
2009-12-10,1610.2013664480398
2009-12-11,1610.5912211891332
2009-12-14,1622.3610824662107
2009-12-15,1619.2179464560581
2009-12-16,1603.4226838843988
2009-12-17,1567.5402265542916
2009-12-18,1521.0516372487232
2009-12-21,1523.2547382798177
2009-12-22,1478.480122207206
2009-12-23,1497.0521960970818
2009-12-24,1567.9865368304227
2009-12-25,1561.3271839691893
2009-12-28,1580.7096604628096
2009-12-29,1586.7094280780418
2009-12-30,1598.8347627987025
2009-12-31,1600.535122499553
2010-01-01,1600.535122499553
2010-01-04,1579.8470279933829
2010-01-05,1584.4569070661628
2010-01-06,1577.2162542519252
2010-01-07,1543.5626830861574
2010-01-08,1532.9694545185334
2010-01-11,1517.7985963625706
2010-01-12,1538.8820008971736
2010-01-13,1481.1965576828318
2010-01-14,1505.8708281361671
2010-01-15,1510.4810342036844
2010-01-18,1518.7976937064866
2010-01-19,1522.0618525129187
2010-01-20,1469.4145195985195
2010-01-21,1458.6184196783588
2010-01-22,1429.5087965888308
2010-01-25,1420.171911699049
2010-01-26,1384.9772173266072
2010-01-27,1366.146893229032
2010-01-28,1374.5827011838517
2010-01-29,1368.644364190173
2010-02-01,1340.5177497215818
2010-02-02,1345.5533448090375
2010-02-03,1395.3839735100105
2010-02-04,1383.3312098196022
2010-02-05,1350.4461803911934
2010-02-08,1353.701143191005
2010-02-09,1359.3161449368201
2010-02-10,1382.7771178783757
2010-02-11,1389.2088545640997
2010-02-12,1407.5955578776905
2010-02-15,1407.5955578776902
2010-02-16,1407.59555787769
2010-02-17,1407.5955578776898
2010-02-18,1407.5955578776895
2010-02-19,1407.5955578776893
2010-02-22,1393.9168693356082
2010-02-23,1375.5914441277625
2010-02-24,1398.6806411151347
2010-02-25,1420.3153916419026
2010-02-26,1415.0680961090388
2010-03-01,1435.6042539371463
2010-03-02,1421.062238909303
2010-03-03,1429.1025164401685
2010-03-04,1398.9338178756168
2010-03-05,1401.177826364207
2010-03-08,1413.6034223144195
2010-03-09,1423.7087596161311
2010-03-10,1414.5764825437655
2010-03-11,1408.7654053884257
2010-03-12,1386.3972278739423
2010-03-15,1355.6638942282523
2010-03-16,1363.3393869066922
2010-03-17,1396.2795149765088
2010-03-18,1393.885932740349
2010-03-19,1408.7710731902869
2010-03-22,1412.8871790739522
2010-03-23,1407.0689564521676
2010-03-24,1406.6472095023294
2010-03-25,1383.4403704742083
2010-03-26,1403.4451980907284
2010-03-29,1445.9144720361348
2010-03-30,1452.3884766813449
2010-03-31,1437.8124497457945
2010-04-01,1459.6271343886647
2010-04-02,1473.912475270741
2010-04-05,1473.912475270741
2010-04-06,1475.9460451902148
2010-04-07,1466.6792579832152
2010-04-08,1437.17039397169
2010-04-09,1454.120465340402
2010-04-12,1436.9793033091105
2010-04-13,1451.5796301008493
2010-04-14,1466.090762769188
2010-04-15,1464.0748837265307
2010-04-16,1446.4939819243268
2010-04-19,1364.4389670392425
2010-04-20,1359.0396832921238
2010-04-21,1390.2747596483284
2010-04-22,1383.9753805789214
2010-04-23,1377.5630597895104
2010-04-26,1363.5580602206733
2010-04-27,1333.2428335302532
2010-04-28,1337.6330389350185
2010-04-29,1321.0590682184043
2010-04-30,1319.426627901242
2010-05-03,1319.426627901242
2010-05-04,1306.8707494522585
2010-05-05,1312.0026030400809
2010-05-06,1243.640111665616
2010-05-07,1211.316984552089
2010-05-10,1224.7066560046283
2010-05-11,1207.4253154506396
2010-05-12,1212.0068555524258
2010-05-13,1248.9287992439627
2010-05-14,1238.4555893217052
2010-05-17,1174.6196957016189
2010-05-18,1201.7710220959555
2010-05-19,1202.6418753538335
2010-05-20,1189.3249493361332
2010-05-21,1211.584532813287
2010-05-24,1260.9918781775805
2010-05-25,1236.8808960699644
2010-05-26,1234.826835284054
2010-05-27,1264.0353594322257
2010-05-28,1264.6604255878774
2010-05-31,1230.0332657133724
2010-06-01,1218.4536121198066
2010-06-02,1224.4561346443434
2010-06-03,1216.3702824519842
2010-06-04,1219.4148811506
2010-06-07,1204.8849797351165
2010-06-08,1212.366326884377
2010-06-09,1245.625867221842
2010-06-10,1234.898555723518
2010-06-11,1234.747581382871
2010-06-14,1234.7475813828707
2010-06-15,1234.7475813828705
2010-06-16,1234.7475813828703
2010-06-17,1215.0808170499363
2010-06-18,1193.996408607433
2010-06-21,1235.8381998237373
2010-06-22,1231.556644273144
2010-06-23,1218.417855338441
2010-06-24,1222.4278787418687
2010-06-25,1214.1374289547414
2010-06-28,1199.8488004512658
2010-06-29,1142.3014365217232
2010-06-30,1143.6730804444605
2010-07-01,1120.9005973551443
2010-07-02,1115.1570141534128
2010-07-05,1105.031232681594
2010-07-06,1132.1615054845083
2010-07-07,1141.8682413039403
2010-07-08,1143.2691932354805
2010-07-09,1180.5190661567685
2010-07-12,1185.1096655658232
2010-07-13,1173.7937844654846
2010-07-14,1175.8492171048251
2010-07-15,1156.4857579448712
2010-07-16,1165.7260322876066
2010-07-19,1199.1135258917495
2010-07-20,1230.7933298349176
2010-07-21,1235.4301146323096
2010-07-22,1250.6841552575033
2010-07-23,1253.8807802962879
2010-07-26,1270.935951866075
2010-07-27,1264.4280127564632
2010-07-28,1294.0214388176878
2010-07-29,1292.534302598521
2010-07-30,1287.0884012066283
2010-08-02,1311.8292665641286
2010-08-03,1291.5045273444148
2010-08-04,1299.857851720408
2010-08-05,1300.3716259152195
2010-08-06,1320.8629792725783
2010-08-09,1333.93022134547
2010-08-10,1294.417257626905
2010-08-11,1304.6264919984408
2010-08-12,1288.857875691319
2010-08-13,1304.2444813864436
2010-08-16,1332.34313225702
2010-08-17,1344.3151594879077
2010-08-18,1341.6566835084955
2010-08-19,1346.2315006170388
2010-08-20,1312.1171013606063
2010-08-23,1310.9868507954677
2010-08-24,1320.0097188455725
2010-08-25,1295.989493542449
2010-08-26,1300.2871691438731
2010-08-27,1307.9329703171109
2010-08-30,1341.7265043054558
2010-08-31,1340.6419705171347
2010-09-01,1328.7406427670444
2010-09-02,1348.0405798388304
2010-09-03,1353.6003259489898
2010-09-06,1375.146248205419
2010-09-07,1374.3264700656332
2010-09-08,1388.4807690159453
2010-09-09,1373.4597032981421
2010-09-10,1393.1837066109288
2010-09-13,1409.185447519013
2010-09-14,1416.372338401842
2010-09-15,1395.137443043766
2010-09-16,1377.545928943047
2010-09-17,1387.0058314994487
2010-09-20,1387.8556853991738
2010-09-21,1392.8645851234412
2010-09-22,1392.8645851234414
2010-09-23,1392.8645851234417
2010-09-24,1392.8645851234419
2010-09-27,1427.898223213709
2010-09-28,1423.5916328104825
2010-09-29,1414.2441112199238
2010-09-30,1443.1673484168189
2010-10-01,1443.1673484168189
2010-10-04,1443.1673484168189
2010-10-05,1443.1673484168189
2010-10-06,1443.1673484168189
2010-10-07,1443.1673484168189
2010-10-08,1512.8874305465993
2010-10-11,1525.6364362273669
2010-10-12,1554.6450947247247
2010-10-13,1572.8894572546824
2010-10-14,1577.9632945377584
2010-10-15,1630.5152363780717
2010-10-18,1598.2629977625506
2010-10-19,1648.3774760684983
2010-10-20,1685.0554209837644
2010-10-21,1682.5716389393922
2010-10-22,1686.6322578891425
2010-10-25,1741.583836899392
2010-10-26,1735.2590495510806
2010-10-27,1693.2577796078945
2010-10-28,1683.7038659467332
2010-10-29,1683.0943175157063
2010-11-01,1731.1858464837949
2010-11-02,1712.9213694321656
2010-11-03,1678.5139880669424
2010-11-04,1717.5884978395943
2010-11-05,1739.6811369385682
2010-11-08,1743.4528456908322
2010-11-09,1760.025294192144
2010-11-10,1767.7086473206332
2010-11-11,1767.9749012623124
2010-11-12,1658.4115991503963
2010-11-15,1678.1675566958447
2010-11-16,1608.0588077326886
2010-11-17,1559.878739924118
2010-11-18,1588.3093955392353
2010-11-19,1609.7678856908458
2010-11-22,1607.9392876357206
2010-11-23,1579.2282915463377
2010-11-24,1618.1699360920309
2010-11-25,1633.4466880673394
2010-11-26,1623.9878272936473
2010-11-29,1623.5510762379909
2010-11-30,1592.6251916983404
2010-12-01,1577.0522380795592
2010-12-02,1577.7451965662783
2010-12-03,1563.825566644352
2010-12-06,1555.2467674326995
2010-12-07,1582.857296769573
2010-12-08,1578.7704310644272
2010-12-09,1547.1459490566879
2010-12-10,1566.5004578603896
2010-12-13,1618.4553360950545
2010-12-14,1627.9869930220664
2010-12-15,1617.6329312353835
2010-12-16,1612.172119219352
2010-12-17,1606.5941487395012
2010-12-20,1569.6289508323869
2010-12-21,1587.3241647426275
2010-12-22,1575.6723664236622
2010-12-23,1555.0701006659583
2010-12-24,1536.7691632257443
2010-12-27,1505.9442015047073
2010-12-28,1486.9962673896523
2010-12-29,1509.514330229475
2010-12-30,1526.8302607755083
2010-12-31,1567.6490902956318
2011-01-03,1567.6490902956318
2011-01-04,1583.1965636994241
2011-01-05,1566.0630934706246
2011-01-06,1554.3039158683084
2011-01-07,1540.346404602765
2011-01-10,1501.850362811552
2011-01-11,1496.6449972932514
2011-01-12,1502.2201393185655
2011-01-13,1514.3980944310315
2011-01-14,1496.9727561931043
2011-01-17,1436.765627340233
2011-01-18,1443.8360056259462
2011-01-19,1485.6145529593753
2011-01-20,1429.361039437006
2011-01-21,1431.136998679596
2011-01-24,1401.6416693228848
2011-01-25,1389.4234837361196
2011-01-26,1414.324212287282
2011-01-27,1448.1032231341023
2011-01-28,1472.3771803541017
2011-01-31,1499.5273197172783
2011-02-01,1499.4123575443632
2011-02-02,1499.4123575443632
2011-02-03,1499.4123575443632
2011-02-04,1499.4123575443632
2011-02-07,1499.4123575443632
2011-02-08,1499.4123575443632
2011-02-09,1474.4907537100346
2011-02-10,1511.4425459654767
2011-02-11,1524.388948057434
2011-02-14,1568.835694919423
2011-02-15,1575.0779650451364
2011-02-16,1599.2968128040761
2011-02-17,1594.4360260429567
2011-02-18,1577.4212643289025
2011-02-21,1605.8982191144044
2011-02-22,1556.3523860280402
2011-02-23,1563.7914915479569
2011-02-24,1572.9730244183586
2011-02-25,1574.721889601188
2011-02-28,1604.2060637917632
2011-03-01,1609.4009761954608
2011-03-02,1604.840444855282
2011-03-03,1577.8255117084434
2011-03-04,1595.8631307909232
2011-03-07,1623.0450867825232
2011-03-08,1623.4326896382565
2011-03-09,1624.02712670285
2011-03-10,1603.1041997097473
2011-03-11,1591.8947687867687
2011-03-14,1599.3671634869866
2011-03-15,1571.9458428676326
2011-03-16,1591.7546257281103
2011-03-17,1567.241705036676
2011-03-18,1584.248882090447
2011-03-21,1574.19076894722
2011-03-22,1569.9918052182577
2011-03-23,1588.413221990652
2011-03-24,1578.7591498781194
2011-03-25,1594.472272438042
2011-03-28,1583.7319558087127
2011-03-29,1551.654387445025
2011-03-30,1558.5911673172961
2011-03-31,1558.1898251562573
2011-04-01,1565.8450742682573
2011-04-04,1565.8450742682573
2011-04-05,1565.8450742682573
2011-04-06,1568.8400073271837
2011-04-07,1576.3900944265856
2011-04-08,1601.8813989673868
2011-04-11,1593.8863944946186
2011-04-12,1588.7490118941525
2011-04-13,1604.6665647125988
2011-04-14,1593.5372384103982
2011-04-15,1584.4043846713942
2011-04-18,1579.5518559091079
2011-04-19,1556.1196748463503
2011-04-20,1572.0605325395306
2011-04-21,1587.127500269998
2011-04-22,1591.2868147323009
2011-04-25,1565.3243213855867
2011-04-26,1550.4525477149577
2011-04-27,1542.3043396490673
2011-04-28,1505.1483283025127
2011-04-29,1536.7897828848045
2011-05-02,1536.7897828848045
2011-05-03,1544.925708766527
2011-05-04,1509.8188638354334
2011-05-05,1505.6827134156028
2011-05-06,1512.6170339084822
2011-05-09,1518.773787292993
