Date,AC AMERICAS IMI VALUE
2014-11-18,1411.663410120032
2014-11-19,1408.1345539365743
2014-11-20,1412.8304027638399
2014-11-21,1436.7029371822982
2014-11-24,1433.4434166445037
2014-11-25,1426.7933536042847
2014-11-26,1424.7275249053566
2014-11-27,1427.8160132426626
2014-11-28,1419.0754464998338
2014-12-01,1410.887216270307
2014-12-02,1427.5360105929788
2014-12-03,1443.729811389245
2014-12-04,1424.7988515745883
2014-12-05,1443.4633036013624
2014-12-08,1430.7854810021124
2014-12-09,1414.613977407213
2014-12-10,1390.1905258712973
2014-12-11,1398.730918054095
2014-12-12,1365.1739599069017
2014-12-15,1357.534782614697
2014-12-16,1342.9233478829633
2014-12-17,1385.1004745837997
2014-12-18,1429.3052365655258
2014-12-19,1438.6071457931453
2014-12-22,1445.2974207818154
2014-12-23,1461.7626447616378
2014-12-24,1459.6238785484543
2014-12-25,1459.6238785484543
2014-12-26,1464.8926343849018
2014-12-29,1465.8008764049957
2014-12-30,1462.2488560376685
2014-12-31,1455.3559953108713
2015-01-01,1455.3559953108713
2015-01-02,1463.3861629714154
2015-01-05,1447.3589126286759
2015-01-06,1438.3964044036209
2015-01-07,1466.2947664220844
2015-01-08,1492.0497172360404
2015-01-09,1474.115465674789
2015-01-12,1465.0403571208517
2015-01-13,1465.0317161097794
2015-01-14,1455.2640488206741
2015-01-15,1469.8336522071822
2015-01-16,1501.5247502717032
2015-01-19,1483.6071041358339
2015-01-20,1489.1128964988052
2015-01-21,1494.101325945903
2015-01-22,1539.2022080481556
2015-01-23,1548.9275292296902
2015-01-26,1552.3320255860083
2015-01-27,1516.081022759604
2015-01-28,1497.7495596781828
2015-01-29,1508.8207706041985
2015-01-30,1492.8769077418997
2015-02-02,1507.5738448820853
2015-02-03,1519.7669100006078
2015-02-04,1514.8689408264845
2015-02-05,1531.4341228875
2015-02-06,1537.7023155130134
2015-02-09,1533.8903500967847
2015-02-10,1545.2619720784558
2015-02-11,1543.1487847462784
2015-02-12,1550.8162277450094
2015-02-13,1553.2872379498901
2015-02-16,1552.6083538104187
2015-02-17,1555.7902795802831
2015-02-18,1558.6187053421747
2015-02-19,1548.680829196038
2015-02-20,1558.106074935106
2015-02-23,1557.4171690838914
2015-02-24,1565.0914520818435
2015-02-25,1561.8415193427209
2015-02-26,1577.9892350234622
2015-02-27,1574.9740471022417
2015-03-02,1582.612229842932
2015-03-03,1577.9337991944465
2015-03-04,1585.2498691062451
2015-03-05,1591.9103687697109
2015-03-06,1591.0988094283334
2015-03-09,1597.3930946087278
2015-03-10,1591.975069340023
2015-03-11,1612.7808775478547
2015-03-12,1624.540852804632
2015-03-13,1628.6423179154597
2015-03-16,1638.0524685884911
2015-03-17,1628.8692956255964
2015-03-18,1643.4485660701994
2015-03-19,1634.7177189835652
2015-03-20,1627.752838044801
2015-03-23,1610.1946800858707
2015-03-24,1603.2345805750663
2015-03-25,1571.1894572128888
2015-03-26,1575.6926460295554
2015-03-27,1580.590209450157
2015-03-30,1608.0274436476936
2015-03-31,1611.4901808700843
2015-04-01,1606.2328368203446
2015-04-02,1594.5713550211294
2015-04-03,1594.5713550211294
2015-04-06,1585.5323538036375
2015-04-07,1606.7203533366394
2015-04-08,1616.6903868219097
2015-04-09,1638.7010272213986
2015-04-10,1657.4170213931636
2015-04-13,1659.3606935019545
2015-04-14,1646.3959604040588
2015-04-15,1671.252729184024
2015-04-16,1657.3955025678206
2015-04-17,1630.1480927273783
2015-04-20,1646.1245712025536
2015-04-21,1641.2412544052977
2015-04-22,1651.6180971297836
2015-04-23,1645.3103254190505
2015-04-24,1639.482726790772
2015-04-27,1631.5027938728065
2015-04-28,1627.6925902468804
2015-04-29,1598.551218697649
2015-04-30,1576.5906129711393
2015-05-01,1585.4969126504432
2015-05-04,1600.233321779653
2015-05-05,1581.780594323118
2015-05-06,1551.977575905405
2015-05-07,1566.6407823544157
2015-05-08,1592.3805205574533
2015-05-11,1594.5735596332115
2015-05-12,1577.4530237043841
2015-05-13,1563.1590339143133
2015-05-14,1573.0937549391579
2015-05-15,1566.0127641600352
2015-05-18,1579.0931590843081
2015-05-19,1610.79897236384
2015-05-20,1614.1823959097483
2015-05-21,1613.6973121675937
2015-05-22,1621.3651806495266
2015-05-25,1621.3116974960863
2015-05-26,1622.4236953312193
2015-05-27,1637.490393561902
2015-05-28,1630.6411087498184
2015-05-29,1615.728809017179
2015-06-01,1626.1345060774818
2015-06-02,1593.343481763066
2015-06-03,1576.4535898476247
2015-06-04,1559.3710442551703
