Date,AC ASIA ex JAPAN IMI VALUE
2000-01-06,582.0840165968698
2000-01-07,593.7280927258751
2000-01-10,604.1042272803411
2000-01-11,595.6592207566348
2000-01-12,599.5055515762376
2000-01-13,599.3993087341198
2000-01-14,607.6138340214102
2000-01-17,618.041202504595
2000-01-18,613.2074116775872
2000-01-19,597.1943258537005
2000-01-20,601.5207807369902
2000-01-21,599.1414518409176
2000-01-24,603.2178467632847
2000-01-25,592.3133918040938
2000-01-26,599.7279161194938
2000-01-27,615.5283576146758
2000-01-28,627.3491408466354
2000-01-31,621.4562999705586
2000-02-01,624.5606292323947
2000-02-02,628.5056749780921
2000-02-03,620.6883310911605
2000-02-04,625.6988537316389
2000-02-07,628.7528871951592
2000-02-08,619.3416955497692
2000-02-09,618.7568001078182
2000-02-10,622.0194240348063
2000-02-11,624.5021762477926
2000-02-14,620.2337824042668
2000-02-15,608.5856792829004
2000-02-16,611.947648619418
2000-02-17,620.061596540269
2000-02-18,611.1618956543266
2000-02-21,599.4614061017598
2000-02-22,574.8163582776639
2000-02-23,581.0370169570843
2000-02-24,583.989134607197
2000-02-25,590.8350834496191
2000-02-28,590.4228571328896
2000-02-29,592.1471084098317
2000-03-01,588.0297746341001
2000-03-02,591.2077460129155
2000-03-03,591.8660305766671
2000-03-06,597.0685239052417
2000-03-07,600.2976436497861
2000-03-08,600.7147660017677
2000-03-09,587.8144196376347
2000-03-10,589.6406870612657
2000-03-13,566.1639526516312
2000-03-14,568.9936681441638
2000-03-15,559.068877947087
2000-03-16,555.2065795194914
2000-03-17,570.6842957756218
2000-03-20,565.3003791719306
2000-03-21,571.2545370224326
2000-03-22,583.670207300569
2000-03-23,582.3915023654288
2000-03-24,586.3546412164193
2000-03-27,596.2136711025936
2000-03-28,599.5147518134022
2000-03-29,606.0234373631268
2000-03-30,598.0031368969258
2000-03-31,595.5205329500959
2000-04-03,587.6864215514007
2000-04-04,583.7064065053461
2000-04-05,575.8908744661268
2000-04-06,578.1181867620916
2000-04-07,587.4759910804543
2000-04-10,591.7004542921117
2000-04-11,585.9703720680062
2000-04-12,591.1727842333808
2000-04-13,587.7224156418098
2000-04-14,583.7227866902689
2000-04-17,542.9268975792785
2000-04-18,559.5417234005689
2000-04-19,566.1771574714448
2000-04-20,565.7946295192187
2000-04-21,567.7489417098179
2000-04-24,558.8994888247835
2000-04-25,565.2076709473897
2000-04-26,561.0175275246863
2000-04-27,566.079033522155
2000-04-28,573.6038540375463
2000-05-01,574.2751364191452
2000-05-02,569.8045159268204
2000-05-03,575.0882052389559
2000-05-04,574.1745085222053
2000-05-05,578.4698078781727
2000-05-08,570.9936478349758
2000-05-09,563.7821457672993
2000-05-10,551.7337852379895
