Date,ACWI IMI GROWTH
2013-07-17,1184.2007296576012
2013-07-18,1188.0672555413917
2013-07-19,1183.9420117976968
2013-07-22,1183.7300629474723
2013-07-23,1180.678194406919
2013-07-24,1178.0471724245692
2013-07-25,1178.6613342617384
2013-07-26,1174.3103182398768
2013-07-29,1168.801307861637
2013-07-30,1172.135466425131
2013-07-31,1167.9383190730555
2013-08-01,1186.47137116464
2013-08-02,1189.4546042998438
2013-08-05,1193.0521721397677
2013-08-06,1183.9636589548672
2013-08-07,1174.7642458060254
2013-08-08,1175.151751054467
2013-08-09,1177.7541359428735
2013-08-12,1182.0956254899702
2013-08-13,1191.343120072556
2013-08-14,1188.8071747662566
2013-08-15,1175.0398270606545
2013-08-16,1168.4797206463072
2013-08-19,1162.1144301074737
2013-08-20,1154.5397259776985
2013-08-21,1151.7447056639428
2013-08-22,1159.7620704099284
2013-08-23,1161.895693751825
2013-08-26,1163.7662413572843
2013-08-27,1144.822786012592
2013-08-28,1144.7959709124602
2013-08-29,1158.800700140212
2013-08-30,1156.7288205109062
2013-09-02,1163.6809239691063
2013-09-03,1171.0895879920859
2013-09-04,1175.576360924771
2013-09-05,1184.5347109948675
2013-09-06,1185.1048286050054
2013-09-09,1189.5513272243124
2013-09-10,1199.4458911099314
2013-09-11,1200.3101265369644
2013-09-12,1197.9952529830168
2013-09-13,1202.5590700456946
2013-09-16,1204.0128513897916
2013-09-17,1205.5372893080892
2013-09-18,1215.8250092982719
2013-09-19,1210.3585317285058
2013-09-20,1206.2191926561504
2013-09-23,1204.5143491150382
2013-09-24,1203.057770310261
2013-09-25,1198.9603881696416
2013-09-26,1205.3198952949815
2013-09-27,1198.9636031889447
2013-09-30,1191.4312277987788
2013-10-01,1201.065462672031
2013-10-02,1193.0768474323522
2013-10-03,1185.3683593974915
2013-10-04,1190.6798771432009
2013-10-07,1183.818399560245
2013-10-08,1171.2140075748487
2013-10-09,1173.4289420591479
2013-10-10,1191.874656656854
2013-10-11,1197.7456909177154
2013-10-14,1199.290613283641
2013-10-15,1203.746880879669
2013-10-16,1212.7812058984875
2013-10-17,1208.2434612589875
2013-10-18,1217.0095602796703
2013-10-21,1220.3255793594421
2013-10-22,1219.1295849702904
2013-10-23,1212.0974192925187
2013-10-24,1215.2895356475096
2013-10-25,1214.7190329564276
2013-10-28,1217.3764572033265
2013-10-29,1220.230392575001
2013-10-30,1218.5034060014964
2013-10-31,1228.1253869477414
2013-11-01,1233.3605665352607
2013-11-04,1234.853565113741
2013-11-05,1234.6609314480736
2013-11-06,1232.5738808494355
2013-11-07,1231.0113877595852
2013-11-08,1237.9982689546719
2013-11-11,1235.9704205083945
2013-11-12,1232.5954246234915
2013-11-13,1237.4521953662506
2013-11-14,1242.407087751968
2013-11-15,1248.385630103493
2013-11-18,1245.042811755629
2013-11-19,1240.2638562358045
2013-11-20,1242.0158983766332
2013-11-21,1244.6673201411056
2013-11-22,1244.881981727895
2013-11-25,1248.169160654013
2013-11-26,1244.30713615952
2013-11-27,1246.0298011586412
2013-11-28,1247.1470349055633
2013-11-29,1247.0704335937533
2013-12-02,1246.9430183873624
2013-12-03,1237.5751061746464
2013-12-04,1233.7415658798898
2013-12-05,1223.9986597467796
2013-12-06,1229.4502177478018
2013-12-09,1230.7623485633987
2013-12-10,1224.0462409503607
2013-12-11,1212.3006764451004
2013-12-12,1206.6822525119599
2013-12-13,1208.875890990183
2013-12-16,1213.3411910626482
2013-12-17,1212.5403846380045
2013-12-18,1223.2205083733459
2013-12-19,1233.852040905566
2013-12-20,1240.2927137923793
2013-12-23,1246.2319459733767
2013-12-24,1250.9938398458871
2013-12-25,1251.122516388881
2013-12-26,1252.7245028111292
2013-12-27,1250.415274915344
2013-12-30,1249.5921872776694
2013-12-31,1256.7111119298074
2014-01-01,1256.739348351631
2014-01-02,1256.9940406736898
2014-01-03,1260.4793079118617
2014-01-06,1252.5054118886276
2014-01-07,1260.6100733256676
2014-01-08,1265.073930450374
2014-01-09,1262.286234394514
2014-01-10,1261.9955991114048
2014-01-13,1256.9305306580154
2014-01-14,1259.3179076985778
2014-01-15,1273.3140635585378
2014-01-16,1271.9121383951938
2014-01-17,1274.0997893517692
2014-01-20,1273.5169893787413
2014-01-21,1278.4847016688557
2014-01-22,1280.0315299331144
2014-01-23,1259.6462461417223
2014-01-24,1233.442162678015
2014-01-27,1220.8946306024561
2014-01-28,1227.221011811276
2014-01-29,1222.9373590110386
2014-01-30,1234.5370924188264
2014-01-31,1236.369752872796
2014-02-03,1212.9525008426265
2014-02-04,1212.4403417806589
2014-02-05,1211.7438367941713
2014-02-06,1222.2461817499702
2014-02-07,1235.6640098773325
2014-02-10,1237.2063192965718
2014-02-11,1247.1815179432065
2014-02-12,1259.196773178833
2014-02-13,1256.0527565065547
2014-02-14,1259.271836425564
2014-02-17,1261.2010765180871
2014-02-18,1262.3818547342441
2014-02-19,1257.5306056102681
2014-02-20,1260.6921607823774
2014-02-21,1261.9145474790346
2014-02-24,1270.5944750771039
2014-02-25,1271.796297241696
2014-02-26,1276.3708989549975
2014-02-27,1279.2800119153726
2014-02-28,1271.3740720640885
2014-03-03,1259.1405705099319
2014-03-04,1279.5832404825449
2014-03-05,1281.834467335453
2014-03-06,1278.6239101481153
2014-03-07,1272.9305278714382
2014-03-10,1266.2939270615882
2014-03-11,1264.5063563532678
2014-03-12,1255.1220506531681
2014-03-13,1242.557174499257
2014-03-14,1234.818684115923
2014-03-17,1243.5663813455974
2014-03-18,1255.1564288433894
2014-03-19,1250.2131770622316
2014-03-20,1256.0779626086744
2014-03-21,1253.4747787495694
2014-03-24,1246.9408842694172
2014-03-25,1251.8794140510988
2014-03-26,1249.1780586392692
2014-03-27,1253.445061745394
2014-03-28,1257.6510604563312
2014-03-31,1264.9367045275903
2014-04-01,1274.2355956512895
2014-04-02,1280.2898942705287
2014-04-03,1280.9604800132868
2014-04-04,1273.0597532449026
2014-04-07,1254.539779120733
2014-04-08,1253.8569527577752
2014-04-09,1261.9872745748442
2014-04-10,1242.39602713204
2014-04-11,1226.5909912821203
2014-04-14,1236.0289107698586
2014-04-15,1235.5538826761972
2014-04-16,1251.22640158314
2014-04-17,1252.8799457813755
2014-04-18,1254.0005087673776
2014-04-21,1258.7405192270517
2014-04-22,1267.7099886527453
2014-04-23,1261.2136822063567
2014-04-24,1264.2079379763854
2014-04-25,1251.358366860685
2014-04-28,1248.5410240665956
2014-04-29,1258.0899479136847
2014-04-30,1257.164942008102
2014-05-01,1261.2903874350595
2014-05-02,1262.67356975952
2014-05-05,1262.7366104929094
2014-05-06,1252.8898062485118
2014-05-07,1250.6451926925138
2014-05-08,1256.5237495619033
2014-05-09,1265.461288982659
2014-05-12,1277.3480584173399
2014-05-13,1284.1293390030514
2014-05-14,1281.900981729951
2014-05-15,1272.1390934738974
2014-05-16,1275.078438618465
2014-05-19,1277.2570437176662
2014-05-20,1273.9332747241592
2014-05-21,1283.3444844751768
2014-05-22,1291.658321221169
2014-05-23,1298.7317212464202
2014-05-26,1300.5069186160026
2014-05-27,1308.6475995450944
2014-05-28,1309.3984990965803
2014-05-29,1313.2608063566267
2014-05-30,1310.0275481982449
2014-06-02,1315.1608721985228
2014-06-03,1313.2806344269472
2014-06-04,1315.3361625835764
2014-06-05,1322.6539506639142
2014-06-06,1327.454798475251
2014-06-09,1333.9621625261775
2014-06-10,1339.2530171332087
2014-06-11,1338.0542775615331
2014-06-12,1331.0697859931577
2014-06-13,1332.1461839121835
2014-06-16,1328.0176660913153
2014-06-17,1332.0963395896988
2014-06-18,1335.2547440015494
2014-06-19,1336.6065289523342
2014-06-20,1340.8238285243765
2014-06-23,1337.3570660373805
2014-06-24,1332.1522059935182
2014-06-25,1329.8467349056614
2014-06-26,1335.6654088854777
2014-06-27,1334.0575545764912
2014-06-30,1333.2373042698075
2014-07-01,1343.6804467760471
2014-07-02,1349.1776765919076
2014-07-03,1360.0376325803359
2014-07-04,1361.8339760964473
2014-07-07,1353.3222342316988
2014-07-08,1340.9085839679628
2014-07-09,1341.2422613316055
2014-07-10,1336.1462544245526
2014-07-11,1337.1471376713744
2014-07-14,1343.2875555221387
2014-07-15,1342.902948644313
2014-07-16,1350.6419683295314
2014-07-17,1340.5104186843737
2014-07-18,1349.1916633227327
2014-07-21,1345.2151354178206
2014-07-22,1360.6199038401014
2014-07-23,1364.4522721912215
2014-07-24,1364.9665856421577
2014-07-25,1361.7147679990228
2014-07-28,1360.086502099967
2014-07-29,1361.0253786706028
2014-07-30,1363.7020451076432
2014-07-31,1341.5948921071263
2014-08-01,1330.8578362512915
2014-08-04,1336.6064530220513
2014-08-05,1334.2798341584823
2014-08-06,1331.124964918521
2014-08-07,1325.177771740105
2014-08-08,1323.0528533026315
2014-08-11,1337.4675287190837
2014-08-12,1338.357492465917
2014-08-13,1344.4877970288703
2014-08-14,1350.117691330013
2014-08-15,1349.816707875002
2014-08-18,1362.7997129349872
2014-08-19,1375.2734468358701
2014-08-20,1379.0590248567635
2014-08-21,1381.6597693426354
2014-08-22,1385.1712545928578
2014-08-25,1395.4230729024432
2014-08-26,1398.5829912109614
2014-08-27,1399.7879325763918
2014-08-28,1396.9033964927912
2014-08-29,1400.2440914781
2014-09-01,1404.109133581015
2014-09-02,1406.2721242414
2014-09-03,1407.49605714092
2014-09-04,1423.0343704508562
2014-09-05,1424.858106450864
2014-09-08,1422.4384288413892
2014-09-09,1416.8356916538883
2014-09-10,1417.6587080494787
2014-09-11,1415.5901999733157
2014-09-12,1409.738807095213
2014-09-15,1404.5399632551005
2014-09-16,1407.8031149936237
2014-09-17,1409.1369906420493
2014-09-18,1418.4835442759752
2014-09-19,1424.0627882015187
2014-09-22,1411.663753574976
2014-09-23,1399.532596113233
2014-09-24,1413.505443101521
