Date,AC FAR EAST IMI GROWTH
1999-04-30,1063.231458351746
1999-05-03,1059.9336750005034
1999-05-04,1055.3463590979595
1999-05-05,1048.784378700158
1999-05-06,1067.6008599370382
1999-05-07,1051.8407821633505
1999-05-10,1055.4890032034718
1999-05-11,1047.4761949641822
1999-05-12,1055.70657339371
1999-05-13,1047.5696208786073
1999-05-14,1036.3321722398455
1999-05-17,1013.0965760611615
1999-05-18,1019.542083019772
1999-05-19,992.7590087969197
1999-05-20,999.8444984864254
1999-05-21,1012.7311429843487
1999-05-24,1017.54178570747
1999-05-25,1012.206398021964
1999-05-26,1029.280324509999
1999-05-27,1029.6853185906255
1999-05-28,1030.7740388347818
1999-05-31,1030.0019091702725
1999-06-01,1050.3348130418535
1999-06-02,1065.713362624446
1999-06-03,1061.1032803670819
1999-06-04,1068.1778890065098
1999-06-07,1088.68312369275
1999-06-08,1095.4420152289254
1999-06-09,1102.5282910607539
1999-06-10,1115.575410738313
1999-06-11,1129.923446747283
1999-06-14,1117.1397715226917
1999-06-15,1117.4093699333957
1999-06-16,1137.181879499878
1999-06-17,1161.257309679516
1999-06-18,1147.6141588124467
1999-06-21,1170.9180012878853
1999-06-22,1186.445597173989
1999-06-23,1176.7129283868985
1999-06-24,1171.8766390495962
1999-06-25,1167.4142532467474
1999-06-28,1188.114144899875
1999-06-29,1204.5284156844161
1999-06-30,1203.0583743777524
1999-07-01,1248.9829922302688
1999-07-02,1267.9448936354645
1999-07-05,1282.996634312196
1999-07-06,1274.2504627859723
1999-07-07,1269.7014248018486
1999-07-08,1259.0904242746894
1999-07-09,1258.479828064293
1999-07-12,1283.9467487648203
1999-07-13,1284.7744705924172
1999-07-14,1286.6641198861046
1999-07-15,1306.161965100732
1999-07-16,1296.7412676379981
1999-07-19,1319.6782598938635
1999-07-20,1290.5536530130687
1999-07-21,1264.9409393729436
1999-07-22,1243.582236577052
1999-07-23,1228.6384245173483
1999-07-26,1204.1928364724395
1999-07-27,1204.3931165508789
1999-07-28,1233.2377445551567
1999-07-29,1252.6348334271856
1999-07-30,1261.4951943677315
1999-08-02,1259.1613748445898
1999-08-03,1268.0041758234954
1999-08-04,1241.5538103388153
1999-08-05,1210.4973780502773
1999-08-06,1201.1697122836101
1999-08-09,1205.763658137538
1999-08-10,1209.940126087637
1999-08-11,1202.3132206545279
1999-08-12,1218.7333422320373
1999-08-13,1229.7125236656393
1999-08-16,1266.895020045379
1999-08-17,1284.5785829425522
1999-08-18,1310.6764912203903
1999-08-19,1301.773347590005
1999-08-20,1311.727344309432
1999-08-23,1319.9546616207388
1999-08-24,1326.9280190908469
1999-08-25,1340.4145722166288
1999-08-26,1327.7567629580694
1999-08-27,1325.7281609930417
1999-08-30,1346.201778941655
1999-08-31,1325.293329458692
1999-09-01,1348.9643299796594
1999-09-02,1337.5208434726671
1999-09-03,1344.0104111501596
1999-09-06,1373.726894272172
1999-09-07,1353.0982267571596
1999-09-08,1354.6982916031975
1999-09-09,1392.87552455156
1999-09-10,1421.6014750364907
1999-09-13,1485.1774590285647
1999-09-14,1477.5923847794395
1999-09-15,1489.8084777493652
1999-09-16,1444.1242926365148
1999-09-17,1421.4284868921643
1999-09-20,1442.4177347546686
1999-09-21,1464.6652246133176
1999-09-22,1421.6099352550677
1999-09-23,1428.1201143027247
1999-09-24,1374.189225828334
1999-09-27,1353.105529722105
1999-09-28,1381.9010372491846
1999-09-29,1355.9330537979765
1999-09-30,1386.6523232667219
1999-10-01,1415.200559356489
1999-10-04,1402.4241185302535
1999-10-05,1393.799187016842
1999-10-06,1394.5667115600254
1999-10-07,1402.913853098082
1999-10-08,1422.5664123064805
1999-10-11,1428.4327245792808
1999-10-12,1439.9393882214788
1999-10-13,1408.5141370045515
1999-10-14,1417.313918513776
