Date,ZHONG HUA IMI GROWTH
2019-02-20,2146.245369170497
2019-02-21,2156.2358848364493
2019-02-22,2187.8176801505697
2019-02-25,2210.1395001749984
2019-02-26,2197.5994507130517
2019-02-27,2189.1301563917264
2019-02-28,2184.1120210016584
2019-03-01,2196.9765915254447
2019-03-04,2240.6943652699
2019-03-05,2266.5530936756927
2019-03-06,2264.720271011589
2019-03-07,2229.0246303908416
2019-03-08,2184.7107816563016
2019-03-11,2234.349814834955
2019-03-12,2245.214325992601
2019-03-13,2231.4143581859557
2019-03-14,2222.212900601425
2019-03-15,2235.481790238278
2019-03-18,2268.5583158120853
2019-03-19,2268.818330201192
2019-03-20,2256.186181478114
2019-03-21,2242.507019407037
2019-03-22,2243.1603653787924
2019-03-25,2209.689793039466
2019-03-26,2216.62901950353
2019-03-27,2231.421293681502
2019-03-28,2240.0956661998734
2019-03-29,2290.0527757723803
2019-04-01,2319.440859309818
2019-04-02,2331.178451680437
2019-04-03,2348.040329945564
2019-04-04,2352.5875627928717
2019-04-05,2367.3071751685748
2019-04-08,2375.1470767456826
2019-04-09,2384.792438832124
2019-04-10,2392.7914616101807
2019-04-11,2368.2036015664994
2019-04-12,2377.8441004144042
2019-04-15,2349.0527312982817
2019-04-16,2370.907459533047
2019-04-17,2377.062196456762
2019-04-18,2381.828038135272
2019-04-19,2382.0685234399452
2019-04-22,2373.9691068692846
2019-04-23,2394.0690409037798
2019-04-24,2385.3547518359696
2019-04-25,2376.395708893942
2019-04-26,2376.225867651412
2019-04-29,2390.9521445576543
2019-04-30,2372.7665156418634
2019-05-01,2371.3530790287577
2019-05-02,2411.302658801309
2019-05-03,2425.178821680091
2019-05-06,2338.3215353974724
2019-05-07,2324.9223464410034
2019-05-08,2304.9293906811217
2019-05-09,2251.398750868474
2019-05-10,2267.727604347882
2019-05-13,2232.1388039802173
2019-05-14,2223.3889253228053
2019-05-15,2251.0034031323803
2019-05-16,2243.1708348663014
2019-05-17,2181.186922678625
2019-05-20,2113.990007692148
2019-05-21,2122.8481322816333
2019-05-22,2115.9211047924855
2019-05-23,2066.739211850888
2019-05-24,2054.060504112652
2019-05-27,2057.581860706093
2019-05-28,2076.9703111063964
2019-05-29,2065.7278967628863
2019-05-30,2056.9401191574416
2019-05-31,2045.3511123582598
2019-06-03,2040.731165119464
2019-06-04,2037.8411478427322
2019-06-05,2034.5443514695046
2019-06-06,2029.7290758202857
2019-06-07,2032.4522891081529
2019-06-10,2096.7872233838434
2019-06-11,2128.4440549249266
2019-06-12,2090.1298942308804
2019-06-13,2099.849452244199
2019-06-14,2085.332962963677
2019-06-17,2090.8164626295543
2019-06-18,2141.9211452326676
2019-06-19,2185.3549075546175
2019-06-20,2207.672661459559
2019-06-21,2196.776200503969
2019-06-24,2186.933015137396
2019-06-25,2159.700271465899
2019-06-26,2179.778628643903
2019-06-27,2211.0115143228695
2019-06-28,2199.6516084801383
2019-07-01,2235.935734109896
2019-07-02,2280.53541532491
2019-07-03,2275.5879481580228
2019-07-04,2274.1640475843506
2019-07-05,2278.209261120184
2019-07-08,2225.825102120085
2019-07-09,2222.0615996770125
2019-07-10,2218.4134740859436
2019-07-11,2222.094328690588
2019-07-12,2227.4101283437594
2019-07-15,2251.1599509495763
2019-07-16,2266.119143210446
2019-07-17,2265.622074870149
2019-07-18,2247.9056452539317
2019-07-19,2270.799517746366
2019-07-22,2255.2055120690347
2019-07-23,2294.3741170672865
2019-07-24,2311.0123283765315
2019-07-25,2310.266503283361
2019-07-26,2304.8162413819496
2019-07-29,2289.179857623269
2019-07-30,2279.315412226814
2019-07-31,2254.6382939412597
2019-08-01,2236.761235593936
2019-08-02,2168.107585979675
2019-08-05,2064.375567694688
2019-08-06,2069.831635515683
2019-08-07,2076.8370513132336
2019-08-08,2111.5094182047064
2019-08-09,2081.8168374900597
2019-08-12,2074.5377975852507
2019-08-13,2077.682785937843
2019-08-14,2082.529086767323
2019-08-15,2101.4066555003
2019-08-16,2142.1052083635186
2019-08-19,2202.9202056745908
2019-08-20,2201.338497106357
2019-08-21,2196.8637185615357
2019-08-22,2173.7988894549076
2019-08-23,2153.487251347714
2019-08-26,2129.636107841521
2019-08-27,2141.0927294984863
2019-08-28,2140.2225862304326
2019-08-29,2170.1894168744366
2019-08-30,2191.1916849165164
2019-09-02,2203.14781801194
2019-09-03,2184.925612795916
2019-09-04,2227.469918727261
2019-09-05,2245.612136772023
2019-09-06,2250.2347135205982
2019-09-09,2251.332708919878
2019-09-10,2236.8221210866286
2019-09-11,2263.6379483318556
2019-09-12,2271.0877145987074
2019-09-13,2278.3254526073856
2019-09-16,2273.3056160217916
2019-09-17,2250.6696887777953
2019-09-18,2254.218337122404
2019-09-19,2239.693028844837
2019-09-20,2244.055737809989
2019-09-23,2213.30442031846
2019-09-24,2193.8225516817056
2019-09-25,2196.9891268726674
2019-09-26,2202.1452881025953
2019-09-27,2157.867892035586
2019-09-30,2175.6740230448027
2019-10-01,2164.635522700326
2019-10-02,2153.906327851409
2019-10-03,2170.355087952043
2019-10-04,2167.6121377722216
