Date,MSCI Emerging Markets 50 Index
2013-04-25,2474.2128088370328
2013-04-26,2461.202623882735
2013-04-29,2478.041719520787
2013-04-30,2515.4262902035553
2013-05-01,2510.7210318056314
2013-05-02,2509.863399386271
2013-05-03,2529.937365113062
2013-05-06,2534.940534028811
2013-05-07,2549.3209911530703
2013-05-08,2570.678462510181
2013-05-09,2572.9160555487974
2013-05-10,2546.8501775584896
2013-05-13,2518.9201166373773
2013-05-14,2535.635676175154
2013-05-15,2532.412305313875
2013-05-16,2534.2486196231
2013-05-17,2535.398315003866
2013-05-20,2553.137922494205
2013-05-21,2547.306874501048
2013-05-22,2543.716679391646
2013-05-23,2485.8535386383696
2013-05-24,2489.2747062964827
2013-05-27,2498.6729021891606
2013-05-28,2503.3347393881763
2013-05-29,2475.5697142874856
2013-05-30,2478.83408906204
2013-05-31,2466.9221935349087
2013-06-03,2450.3241724818054
2013-06-04,2459.7792021325977
2013-06-05,2425.664496568352
2013-06-06,2414.367028165
2013-06-07,2389.6596931767517
2013-06-10,2372.652622861824
2013-06-11,2328.8280349596066
2013-06-12,2330.626022104896
2013-06-13,2303.133398228153
2013-06-14,2316.1634874694855
2013-06-17,2330.8330023399785
2013-06-18,2329.4204031967865
2013-06-19,2306.593613625848
2013-06-20,2216.3997002308697
2013-06-21,2199.409157451502
2013-06-24,2154.3962382397294
2013-06-25,2164.506760186818
2013-06-26,2201.4832262589475
2013-06-27,2256.3878715587716
2013-06-28,2311.303347784737
2013-07-01,2308.715460710875
2013-07-02,2276.1059210474
2013-07-03,2230.740791642811
2013-07-04,2262.191287179418
2013-07-05,2247.0289362219796
2013-07-08,2216.4161109741503
2013-07-09,2235.413699855803
2013-07-10,2247.1402990035685
2013-07-11,2324.2552174012767
2013-07-12,2326.0874814840595
2013-07-15,2340.4367131181516
2013-07-16,2341.2181550370815
2013-07-17,2360.1394050704343
2013-07-18,2348.819187281702
2013-07-19,2327.0671156246094
2013-07-22,2333.329605545218
2013-07-23,2377.0285137054643
2013-07-24,2374.3513287105457
2013-07-25,2372.2257904752137
2013-07-26,2373.9199032648144
2013-07-29,2353.565352600518
2013-07-30,2362.3265735561904
2013-07-31,2347.5254295775762
2013-08-01,2368.6871484877443
2013-08-02,2367.59279290025
2013-08-05,2368.092449750557
2013-08-06,2341.742967783164
2013-08-07,2317.135817589883
2013-08-08,2336.2564260266736
2013-08-09,2352.7252508627043
2013-08-12,2368.398030620816
2013-08-13,2398.4719002306997
2013-08-14,2405.6298437909813
2013-08-15,2393.3892902976263
2013-08-16,2389.2180527462197
2013-08-19,2364.8440296852496
2013-08-20,2331.7720032211446
2013-08-21,2315.621102960551
2013-08-22,2322.211525653487
2013-08-23,2351.645895668681
2013-08-26,2352.628095841066
2013-08-27,2313.215220949222
2013-08-28,2304.359077776179
2013-08-29,2328.1309262132727
2013-08-30,2346.1378561732968
2013-09-02,2373.891059071237
2013-09-03,2360.7059799845783
2013-09-04,2373.93124320175
2013-09-05,2411.2584933757616
2013-09-06,2436.378964340091
2013-09-09,2475.984673592289
2013-09-10,2521.5254373355265
2013-09-11,2515.5492906176178
2013-09-12,2513.3812084646847
2013-09-13,2510.75605760638
2013-09-16,2553.963236459434
2013-09-17,2549.7318324230746
2013-09-18,2542.1356160884807
2013-09-19,2587.5910960272313
2013-09-20,2567.2602027915436
2013-09-23,2571.3457942852156
2013-09-24,2557.104021078012
2013-09-25,2549.1835760853446
2013-09-26,2540.2327190264823
2013-09-27,2534.1597996398496
2013-09-30,2500.7856376662344
2013-10-01,2524.5453055447406
2013-10-02,2531.305055720134
2013-10-03,2543.950402666538
2013-10-04,2555.8077947835595
2013-10-07,2548.040419023166
2013-10-08,2558.025476463231
2013-10-09,2547.2473568396213
2013-10-10,2565.230145612668
2013-10-11,2595.5855256404143
2013-10-14,2594.406313837547
2013-10-15,2618.36687328226
2013-10-16,2625.468419773496
2013-10-17,2628.7264662030475
2013-10-18,2651.0581885667752
2013-10-21,2654.7403884329456
2013-10-22,2651.2754124198477
2013-10-23,2613.761662211325
2013-10-24,2598.983022811616
2013-10-25,2594.33229004514
2013-10-28,2625.3731808172006
2013-10-29,2632.331811740691
2013-10-30,2653.729321516172
2013-10-31,2633.0026718450504
2013-11-01,2624.111249464458
2013-11-04,2628.0996540246856
2013-11-05,2594.54105468661
2013-11-06,2593.808483317134
2013-11-07,2580.326905007429
2013-11-08,2537.430800174898
2013-11-11,2547.0327649187384
2013-11-12,2543.3534435681504
2013-11-13,2503.691929676084
2013-11-14,2534.9323466238434
2013-11-15,2578.506056283048
2013-11-18,2639.693418486447
2013-11-19,2642.42739855022
2013-11-20,2630.5163147128887
2013-11-21,2588.955967341312
2013-11-22,2603.752923354392
2013-11-25,2607.7266174585525
2013-11-26,2590.273211739409
2013-11-27,2602.9137680605563
2013-11-28,2610.3765080173443
2013-11-29,2626.051016035849
2013-12-02,2604.0859850333495
2013-12-03,2575.2491206978534
2013-12-04,2554.684420924797
2013-12-05,2566.0768274824172
2013-12-06,2579.871840737681
2013-12-09,2609.3430638066407
2013-12-10,2606.060152786042
2013-12-11,2574.9084442952626
2013-12-12,2547.454660377327
2013-12-13,2545.1574907151453
2013-12-16,2548.5638713643943
2013-12-17,2541.619627526508
2013-12-18,2545.257969260211
2013-12-19,2542.80990167636
2013-12-20,2538.3280540821074
2013-12-23,2557.9430044546043
2013-12-24,2560.582542111389
2013-12-25,2559.7310748021746
2013-12-26,2558.6893410996227
2013-12-27,2570.092531110958
2013-12-30,2575.1966722078055
2013-12-31,2576.478914418116
2014-01-01,2575.7094176657833
2014-01-02,2538.3091541732624
2014-01-03,2503.4245324834624
2014-01-06,2489.7490087317024
2014-01-07,2482.9872594095614
2014-01-08,2488.609465154579
2014-01-09,2452.454308746967
2014-01-10,2474.372928120277
2014-01-13,2490.3388143306383
2014-01-14,2488.369857489809
2014-01-15,2497.620063884214
2014-01-16,2493.102109454673
2014-01-17,2489.146645884876
2014-01-20,2486.8554210742
2014-01-21,2486.7678361744133
2014-01-22,2499.9776862150557
2014-01-23,2458.147770949379
2014-01-24,2423.8183358196097
2014-01-27,2383.3567915461267
2014-01-28,2396.726091101982
2014-01-29,2409.9384325035444
2014-01-30,2412.330598487877
2014-01-31,2411.3401719575004
2014-02-03,2382.216527092415
2014-02-04,2351.2183945524907
2014-02-05,2346.2721400650166
2014-02-06,2382.7207757981096
2014-02-07,2403.4413820894283
2014-02-10,2396.848747589624
2014-02-11,2427.515313185511
2014-02-12,2445.530059120209
2014-02-13,2422.3397421374434
2014-02-14,2456.827337154973
2014-02-17,2479.325078476705
2014-02-18,2467.1381695007412
2014-02-19,2466.476338113702
2014-02-20,2439.7232490543947
2014-02-21,2469.0614931120463
2014-02-24,2467.0708706947194
2014-02-25,2462.3272306683266
2014-02-26,2465.28626677514
2014-02-27,2490.0591898925522
2014-02-28,2492.390136394871
2014-03-03,2441.563143968477
2014-03-04,2459.0888307716996
2014-03-05,2464.907587929563
2014-03-06,2491.094617375445
2014-03-07,2487.629308876358
2014-03-10,2452.1752670358396
2014-03-11,2452.384407960663
2014-03-12,2416.7418513682674
2014-03-13,2404.8683957673547
2014-03-14,2382.460870564638
2014-03-17,2388.5043320352747
2014-03-18,2420.1345981452996
2014-03-19,2412.4875900526918
2014-03-20,2389.1686998094974
2014-03-21,2406.3438419046443
2014-03-24,2441.9811965728554
2014-03-25,2440.8442928696218
2014-03-26,2473.2641334900886
2014-03-27,2496.557064893271
2014-03-28,2517.16852917239
2014-03-31,2542.942209136201
2014-04-01,2562.905337090489
2014-04-02,2573.9722407039226
2014-04-03,2562.883154384281
2014-04-04,2565.9061970588264
2014-04-07,2566.1494101324947
2014-04-08,2586.2392224556606
2014-04-09,2591.663056403111
2014-04-10,2613.7831610990143
2014-04-11,2593.478305650574
2014-04-14,2585.1220309168552
2014-04-15,2551.147070748749
2014-04-16,2560.062753608354
2014-04-17,2574.366443211067
2014-04-18,2586.942445094924
2014-04-21,2583.4029983576515
2014-04-22,2577.3642781636313
2014-04-23,2564.865029069546
2014-04-24,2567.6640720557925
2014-04-25,2535.1258473767716
2014-04-28,2537.379146021395
2014-04-29,2557.314153583106
2014-04-30,2530.31915430569
2014-05-01,2532.3774671943224
2014-05-02,2555.0596525209835
2014-05-05,2549.7763325143724
2014-05-06,2562.2839892466855
2014-05-07,2567.264657241791
2014-05-08,2582.39112631394
2014-05-09,2578.977589115658
2014-05-12,2617.894785821157
2014-05-13,2640.872308150783
2014-05-14,2669.9810426172016
2014-05-15,2666.595038975136
2014-05-16,2670.6654159642226
2014-05-19,2678.2601074267754
2014-05-20,2674.9043450340178
2014-05-21,2680.1583674923886
2014-05-22,2699.0372790479432
2014-05-23,2697.766320596449
2014-05-26,2694.17115772404
2014-05-27,2670.130804351949
2014-05-28,2690.7361174068174
2014-05-29,2690.2941137644307
2014-05-30,2648.905143225946
2014-06-02,2658.176206555437
2014-06-03,2681.6626631926247
2014-06-04,2666.6109582798385
2014-06-05,2669.3840142858166
2014-06-06,2697.43354557219
2014-06-09,2709.5069512979676
2014-06-10,2737.6203331869797
2014-06-11,2740.860227486405
2014-06-12,2736.8243695627793
2014-06-13,2723.275211814745
2014-06-16,2720.428771027123
2014-06-17,2708.27079359521
2014-06-18,2713.988173503292
2014-06-19,2727.6104375902446
2014-06-20,2706.672169244942
2014-06-23,2698.5369009899005
2014-06-24,2719.904926862942
2014-06-25,2700.1844821672235
2014-06-26,2720.7458570711137
2014-06-27,2719.4716579634387
2014-06-30,2727.126029556839
2014-07-01,2727.0798267393816
2014-07-02,2767.3883250970275
2014-07-03,2774.6687675501735
2014-07-04,2771.569580386003
2014-07-07,2770.3478042684455
2014-07-08,2769.773400229528
2014-07-09,2759.0257494335992
2014-07-10,2764.518929069624
2014-07-11,2755.758022680618
2014-07-14,2769.8591438234275
2014-07-15,2785.867977122907
2014-07-16,2788.058148917218
2014-07-17,2771.7603605545364
2014-07-18,2780.5965032442627
2014-07-21,2777.6371272573842
2014-07-22,2813.796505678781
2014-07-23,2818.1231053693955
2014-07-24,2831.5456100069364
2014-07-25,2823.2952951295415
2014-07-28,2821.6985221416953
2014-07-29,2839.3100609357043
2014-07-30,2844.989441738117
2014-07-31,2800.259424644207
2014-08-01,2774.1402294386035
2014-08-04,2802.5780922543886
2014-08-05,2788.470749962896
2014-08-06,2774.296160639026
2014-08-07,2753.6840572715005
2014-08-08,2737.927653298411
2014-08-11,2789.3490953551022
2014-08-12,2795.5483222190546
2014-08-13,2807.7766566311493
2014-08-14,2809.336442168478
2014-08-15,2825.5546547846907
2014-08-18,2833.8611313131332
2014-08-19,2852.7650161419338
2014-08-20,2859.4785483731384
2014-08-21,2846.5337899641595
2014-08-22,2848.816692901448
2014-08-25,2860.7371752570843
2014-08-26,2864.7873265371145
2014-08-27,2879.909621246336
2014-08-28,2864.126083950922
2014-08-29,2871.139589263029
2014-09-01,2873.3465475322473
2014-09-02,2859.832726710452
