Date,PERU GROWTH
2011-07-19,848.9196049084908
2011-07-20,852.0741917674529
2011-07-21,839.9897814074908
2011-07-22,836.0709594032888
2011-07-25,830.5107262508338
2011-07-26,837.6752278755833
2011-07-27,819.3815365702536
2011-07-28,823.5124065493592
2011-07-29,797.8428985245213
2011-08-01,804.9277146571407
2011-08-02,790.0845411856513
2011-08-03,780.2816684576811
2011-08-04,749.990342083812
2011-08-05,736.5925118215849
2011-08-08,706.0355635921267
2011-08-09,744.9723217821788
2011-08-10,733.9108200932918
2011-08-11,764.5262745118898
2011-08-12,766.1610972022253
2011-08-15,762.9371567037826
2011-08-16,745.2372631472648
2011-08-17,773.2137919509227
2011-08-18,768.7603566074897
2011-08-19,770.9932791237527
2011-08-22,772.3709874861559
2011-08-23,790.9650983211806
2011-08-24,800.6699246727704
2011-08-25,806.7276113074649
2011-08-26,819.6966224333589
2011-08-29,817.9117133269775
2011-08-30,845.4389530781972
2011-08-31,846.4123277679719
2011-09-01,851.9048781752819
2011-09-02,841.9993024097855
2011-09-05,847.7570215624602
2011-09-06,846.7118759469091
2011-09-07,846.2604384250762
2011-09-08,848.1323979496025
2011-09-09,843.2704806229801
2011-09-12,840.9798616434309
2011-09-13,847.4180585535751
2011-09-14,840.9717330707646
2011-09-15,833.1736527146193
2011-09-16,835.4162906443976
2011-09-19,835.9887141487227
2011-09-20,826.9608373328389
2011-09-21,813.177609204441
2011-09-22,742.0866219205877
2011-09-23,728.9921255933048
2011-09-26,740.9143440708302
2011-09-27,754.1001673490854
2011-09-28,707.4282810848683
2011-09-29,700.989259543636
2011-09-30,698.2999144130216
2011-10-03,687.873688896753
2011-10-04,683.7141143842052
2011-10-05,740.9473369370097
2011-10-06,745.7550637064162
2011-10-07,730.45336425556
2011-10-10,740.8703166686652
2011-10-11,747.8769427841489
2011-10-12,752.9578868426644
2011-10-13,740.5848772839171
2011-10-14,757.8680639788126
2011-10-17,739.9938816843797
2011-10-18,753.2832324447442
2011-10-19,716.9322893611464
2011-10-20,719.2206163095933
2011-10-21,722.9984194406638
2011-10-24,762.9342198793707
2011-10-25,764.7642093567329
2011-10-26,789.5471791102539
2011-10-27,804.6396883783232
2011-10-28,809.1243640898708
2011-10-31,780.6055077545234
2011-11-01,786.9896329504047
2011-11-02,808.1041762865356
2011-11-03,822.858019769304
2011-11-04,823.2271023526553
2011-11-07,840.1053558673938
2011-11-08,855.4079156978434
2011-11-09,832.8819903685305
2011-11-10,834.8182231323251
2011-11-11,850.0824360447157
2011-11-14,847.4229229675759
2011-11-15,851.8164358511476
2011-11-16,836.9403213893187
2011-11-17,796.4821727654487
2011-11-18,785.3329487162662
2011-11-21,782.8495713707904
2011-11-22,783.8005489289144
2011-11-23,773.2458010741511
2011-11-24,774.9289782729613
2011-11-25,773.1509281033485
2011-11-28,789.8451517727057
2011-11-29,793.2776023799712
2011-11-30,812.3717148205421
2011-12-01,804.1015773376099
2011-12-02,786.5527819986152
2011-12-05,796.8034498356578
2011-12-06,809.8762693837001
2011-12-07,816.7031730886395
2011-12-08,801.4009933882364
2011-12-09,818.5890132363007
2011-12-12,821.1430778537621
2011-12-13,793.5484239682887
2011-12-14,801.7258245592064
2011-12-15,806.0152081066832
2011-12-16,822.2519866736545
2011-12-19,805.0601875534697
2011-12-20,823.0659827511772
2011-12-21,828.246887165913
2011-12-22,829.3785001327178
2011-12-23,843.1054614951613
2011-12-26,843.1054614951613
2011-12-27,831.5996759067202
2011-12-28,811.2247840565295
2011-12-29,819.8682202880299
2011-12-30,820.6689327112767
2012-01-02,820.6689327112767
2012-01-03,842.3799132760986
2012-01-04,848.9629804682373
2012-01-05,858.3870798505395
2012-01-06,856.3543278560595
2012-01-09,857.6777879401352
2012-01-10,879.5957218127288
2012-01-11,895.0844627861114
2012-01-12,902.0043631564912
2012-01-13,900.0991166525116
2012-01-16,899.6729501739228
2012-01-17,908.4195480934452
2012-01-18,918.8076901881473
2012-01-19,904.5356408570134
2012-01-20,891.7380954881473
2012-01-23,903.6531523277572
2012-01-24,890.225462712632
2012-01-25,934.9552401579508
2012-01-26,927.988956766901
2012-01-27,943.3531990885299
2012-01-30,922.5104341097087
2012-01-31,923.4949509845942
2012-02-01,916.1049104778816
2012-02-02,913.9561965417129
2012-02-03,920.952480420848
2012-02-06,924.2078337987841
2012-02-07,906.4402223403013
2012-02-08,901.5260917698696
2012-02-09,898.2248951625636
2012-02-10,885.5746053273122
2012-02-13,879.3408674756624
2012-02-14,862.5097818370269
2012-02-15,862.3186648156066
2012-02-16,884.6189129762475
2012-02-17,873.2884675394988
2012-02-20,866.4427600981702
2012-02-21,876.7973902406721
2012-02-22,890.8761806038718
2012-02-23,887.9126680642128
2012-02-24,876.7554983034364
2012-02-27,870.4034309430639
2012-02-28,876.0576167428105
2012-02-29,848.6411937462999
2012-03-01,861.2486382805541
2012-03-02,857.0213490929542
2012-03-05,848.7336159499133
2012-03-06,841.7337096953185
2012-03-07,838.0003452299416
2012-03-08,838.7146337985704
2012-03-09,853.3109377508756
2012-03-12,847.7769115017318
2012-03-13,862.0100167091506
2012-03-14,851.7737912554431
2012-03-15,845.7578694434044
2012-03-16,845.8434717221826
2012-03-19,842.9322691170869
2012-03-20,838.0218537955575
2012-03-21,848.8632449990845
2012-03-22,829.2955281575905
2012-03-23,829.655503821664
2012-03-26,839.7360946879373
2012-03-27,844.6452022264139
2012-03-28,837.0513092249635
2012-03-29,840.7044872841248
2012-03-30,848.0330023500937
2012-04-02,860.1346301842318
2012-04-03,847.8331137542531
2012-04-04,847.4136063368871
2012-04-05,838.0440141588284
2012-04-06,838.0440141588284
2012-04-09,843.037558021194
2012-04-10,858.3772881338414
2012-04-11,852.4079642139645
2012-04-12,880.9562618020328
2012-04-13,870.6995575674177
2012-04-16,873.7935104328096
2012-04-17,870.8798116172692
2012-04-18,876.2828958643059
2012-04-19,874.9167825459219
2012-04-20,870.1889365786063
2012-04-23,855.7908671399385
2012-04-24,851.8128812453547
2012-04-25,865.5766115497855
2012-04-26,871.91424654828
2012-04-27,886.4732760297717
2012-04-30,883.4531049816958
2012-05-01,886.7092449977787
2012-05-02,893.4806311115098
2012-05-03,876.1712322388167
2012-05-04,872.628090675411
2012-05-07,871.727497241879
2012-05-08,860.6290990474928
2012-05-09,856.4110105791425
2012-05-10,853.2240248476909
2012-05-11,844.7650185206902
2012-05-14,827.9745289914389
2012-05-15,806.3763479423171
2012-05-16,805.2231103161458
2012-05-17,806.149575874472
2012-05-18,804.9026381824656
2012-05-21,819.1636049036351
2012-05-22,819.6725088965289
2012-05-23,838.2779701444301
2012-05-24,849.5149642607774
2012-05-25,853.7035665428718
2012-05-28,851.9332449022502
2012-05-29,855.2877165214934
2012-05-30,856.8297743198699
2012-05-31,863.4768905288298
2012-06-01,843.5480285294924
2012-06-04,826.0449672782279
2012-06-05,827.21990458831
2012-06-06,845.7162891430897
2012-06-07,846.1274103274272
2012-06-08,854.5852105627415
2012-06-11,838.1382043172913
2012-06-12,842.7701506290547
2012-06-13,827.2435135002617
2012-06-14,818.9475450046664
2012-06-15,824.688676129777
2012-06-18,842.2222923977732
2012-06-19,854.1156673278828
2012-06-20,857.9623969571479
2012-06-21,844.9275436918533
2012-06-22,852.357450783186
2012-06-25,852.3172831790353
2012-06-26,844.6122588526971
2012-06-27,835.4297734552408
2012-06-28,829.9445471754887
2012-06-29,838.9163370810669
2012-07-02,857.4454929961471
2012-07-03,860.6531409785991
2012-07-04,867.2576734753176
2012-07-05,872.164486805236
2012-07-06,861.4923641937804
2012-07-09,854.623846096638
2012-07-10,842.0967582707607
2012-07-11,852.0450429718522
2012-07-12,848.2668970113064
2012-07-13,853.096286890719
2012-07-16,851.9791657626188
2012-07-17,844.8469396522752
2012-07-18,842.5231968941479
2012-07-19,837.1651617452753
2012-07-20,831.4856698059069
2012-07-23,822.2167232179428
2012-07-24,808.8408713540715
2012-07-25,804.8260540153241
2012-07-26,807.8855588448283
2012-07-27,814.9932547262667
2012-07-30,828.778469235636
2012-07-31,805.8990382925152
2012-08-01,789.4307062251347
2012-08-02,790.4200760700917
2012-08-03,783.7369467108831
2012-08-06,774.8021877232873
2012-08-07,775.5973757690685
2012-08-08,785.7704951250038
2012-08-09,781.3093005188798
2012-08-10,779.6199479559742
2012-08-13,770.9736490046428
2012-08-14,766.7751865279494
2012-08-15,766.9283765266682
2012-08-16,776.4234223076097
2012-08-17,799.127823882531
2012-08-20,790.1056515974448
2012-08-21,785.2501609173501
2012-08-22,784.5278180348181
2012-08-23,783.0441394793568
2012-08-24,792.5838429929355
2012-08-27,789.6317523404556
2012-08-28,793.473785649
2012-08-29,792.4160444918501
2012-08-30,795.8926364383972
2012-08-31,797.3801635547422
2012-09-03,798.7742956057796
2012-09-04,790.5776745865702
2012-09-05,785.0867524228092
2012-09-06,804.1621291994703
2012-09-07,804.3639410313297
2012-09-10,799.1031078912513
2012-09-11,794.4791773221741
2012-09-12,815.5205467886369
2012-09-13,830.1402699423764
2012-09-14,828.5242646252619
2012-09-17,827.564943996161
2012-09-18,827.7040239820998
2012-09-19,835.536540885461
2012-09-20,833.1875362553525
2012-09-21,828.9113255392609
2012-09-24,824.8504569460878
2012-09-25,812.3166138903357
2012-09-26,821.2884562078688
2012-09-27,832.3894046745892
2012-09-28,831.0724386169632
2012-10-01,833.9820513740709
2012-10-02,830.444149193155
2012-10-03,836.8691963598711
2012-10-04,833.1626443332113
2012-10-05,822.8115227850261
2012-10-08,826.2042805830592
2012-10-09,819.125301449533
2012-10-10,822.4860892018792
2012-10-11,819.9689030051829
2012-10-12,809.2418839897534
2012-10-15,809.7541347998157
2012-10-16,806.7264157904887
2012-10-17,799.6596091889049
2012-10-18,792.5443082713097
2012-10-19,803.0746548957502
2012-10-22,804.6462435948393
2012-10-23,796.6829233054846
2012-10-24,797.0298192468056
2012-10-25,811.9607400482395
2012-10-26,809.6346921378699
2012-10-29,811.297250785034
2012-10-30,806.7337818909587
2012-10-31,823.1293073317771
2012-11-01,833.3025763005978
2012-11-02,834.9968803388062
2012-11-05,832.6776299720626
2012-11-06,842.2838838011426
2012-11-07,838.5642074455569
2012-11-08,858.827638851256
2012-11-09,868.6017718012589
2012-11-12,876.9116982772107
2012-11-13,872.251578029054
2012-11-14,856.6793102602907
2012-11-15,849.5200396439976
2012-11-16,863.529880711468
2012-11-19,865.9657817824111
2012-11-20,862.2843559207824
2012-11-21,863.7819895345538
2012-11-22,859.3574950596387
2012-11-23,859.8891949550374
2012-11-26,855.5388370152533
2012-11-27,845.7957256098846
2012-11-28,851.885917078596
2012-11-29,861.582069496939
2012-11-30,850.405506354441
2012-12-03,838.6677018183818
2012-12-04,836.781805456768
2012-12-05,844.4589922520122
2012-12-06,855.5752818807771
2012-12-07,854.5793180633185
2012-12-10,857.2176949318181
2012-12-11,867.0612927809383
2012-12-12,861.8278479392329
2012-12-13,860.7946965048948
2012-12-14,861.9693231384404
2012-12-17,863.4056871834288
2012-12-18,868.2395486403386
2012-12-19,871.4613124416264
2012-12-20,881.6215354674714
2012-12-21,876.853215628053
2012-12-24,883.170376976685
2012-12-25,883.170376976685
2012-12-26,872.8011532075833
2012-12-27,875.1046181620827
2012-12-28,872.0742429278331
2012-12-31,877.9092034844481
2013-01-01,877.9092034844481
2013-01-02,893.530679433495
2013-01-03,905.8482732909999
2013-01-04,918.8160254914886
2013-01-07,909.9613458142883
