Date,EM ASIA VALUE WEIGHTED
2000-02-25,1969.0435375070244
2000-02-28,1976.1441074802367
2000-02-29,1959.6015671662165
2000-03-01,1978.3323256817926
2000-03-02,2024.9134086190566
2000-03-03,1998.9365802572022
2000-03-06,2030.7883889148377
2000-03-07,2034.9579703354311
2000-03-08,2033.0591339182838
2000-03-09,1979.0877338236912
2000-03-10,1981.759678561822
2000-03-13,1895.4892848573395
2000-03-14,1914.628813687958
2000-03-15,1876.629720699032
2000-03-16,1869.3055559477225
2000-03-17,1910.8608716552228
2000-03-20,1896.8642160035874
2000-03-21,1925.871250621149
2000-03-22,1968.5497171334175
2000-03-23,1958.9669362991153
2000-03-24,1962.3129633790413
2000-03-27,1992.793975844028
2000-03-28,2015.5991672673242
2000-03-29,2050.679846977806
2000-03-30,2039.5321981201153
2000-03-31,2022.4493978578303
2000-04-03,2021.6558627047561
2000-04-04,1989.9783716960105
2000-04-05,1972.257412491491
2000-04-06,1964.9121383169027
2000-04-07,2013.4642011082904
2000-04-10,2057.410968717993
2000-04-11,2030.9583941308838
2000-04-12,2019.026317900379
2000-04-13,2001.2881465991131
2000-04-14,1973.8931381677548
2000-04-17,1840.5866738619025
2000-04-18,1911.7104131453368
2000-04-19,1925.0073863155574
2000-04-20,1925.3468690571135
2000-04-21,1934.1065656467474
2000-04-24,1891.3441587438138
2000-04-25,1907.9095559140517
2000-04-26,1886.6523497044527
2000-04-27,1886.1157651853393
2000-04-28,1918.0969654311962
2000-05-01,1920.9745684624772
2000-05-02,1906.0092797717045
2000-05-03,1931.0272177403226
2000-05-04,1937.68943449761
2000-05-05,1959.3982776556911
2000-05-08,1946.581303845959
2000-05-09,1919.1981375145388
2000-05-10,1881.911048956775
2000-05-11,1866.1888337142946
2000-05-12,1837.5519152316633
2000-05-15,1798.1308501399483
2000-05-16,1838.3592119977802
2000-05-17,1864.0065272784277
2000-05-18,1832.0427849111436
2000-05-19,1837.967701071202
2000-05-22,1742.102447476878
2000-05-23,1712.5711247812847
2000-05-24,1717.5583389749681
2000-05-25,1746.5825039582005
2000-05-26,1669.658983593217
2000-05-29,1683.5149037131014
2000-05-30,1714.1515799250458
2000-05-31,1764.0052670399086
2000-06-01,1747.7758742372912
2000-06-02,1763.421616243155
2000-06-05,1821.8990486112464
2000-06-06,1791.8815492080387
2000-06-07,1817.556137753724
2000-06-08,1809.3367184053568
2000-06-09,1861.146390019641
2000-06-12,1866.540344164102
2000-06-13,1802.2189459841434
2000-06-14,1813.6193781126879
2000-06-15,1780.3348556085455
2000-06-16,1761.938446717354
2000-06-19,1748.5325826911576
2000-06-20,1791.5637867812407
2000-06-21,1802.002235286359
2000-06-22,1813.6653938130503
2000-06-23,1810.8246587854126
2000-06-26,1809.4636651212224
2000-06-27,1816.0626893842723
2000-06-28,1825.7810674583136
2000-06-29,1797.0471940811708
2000-06-30,1794.7189142284042
2000-07-03,1822.722155024785
2000-07-04,1804.9614968417484
2000-07-05,1822.5398050246633
2000-07-06,1835.66281363114
2000-07-07,1857.5776950749096
2000-07-10,1863.1386105432389
2000-07-11,1858.4582280955788
2000-07-12,1872.6337576673122
2000-07-13,1899.4009936924317
2000-07-14,1880.6347839257546
2000-07-17,1887.9962796287523
2000-07-18,1860.4480192358888
2000-07-19,1866.2699319871192
2000-07-20,1846.920487434926
2000-07-21,1833.0599152265231
2000-07-24,1773.301099544765
2000-07-25,1756.565072018648
2000-07-26,1753.127980895156
2000-07-27,1750.6856455263153
2000-07-28,1745.7780082229963
2000-07-31,1755.2497667560633
2000-08-01,1775.7255961267606
2000-08-02,1809.9699812181018
2000-08-03,1823.5905858062952
2000-08-04,1803.4687383963271
2000-08-07,1757.4332530647916
2000-08-08,1772.333298022155
2000-08-09,1826.6156704989228
2000-08-10,1817.5929903158449
2000-08-11,1818.5219065423162
2000-08-14,1831.9746384602097
2000-08-15,1814.1368215789382
2000-08-16,1836.9808393774474
2000-08-17,1833.4590682868752
2000-08-18,1831.2842761958075
2000-08-21,1835.0919513158437
2000-08-22,1858.3891048548041
2000-08-23,1841.0248208780215
2000-08-24,1809.8629198886276
2000-08-25,1814.2146999694294
2000-08-28,1820.58657762121
2000-08-29,1824.8231092546732
2000-08-30,1808.3075025775313
2000-08-31,1795.3419949393128
2000-09-01,1771.7455164320097
2000-09-04,1782.4623196262387
2000-09-05,1813.992356111066
2000-09-06,1816.6640994868949
2000-09-07,1797.845365736516
2000-09-08,1798.8909342157283
2000-09-11,1795.443141885575
2000-09-12,1791.9078944184773
2000-09-13,1781.029938750889
2000-09-14,1769.7353368481192
2000-09-15,1737.551795697888
2000-09-18,1645.2883379782343
2000-09-19,1615.3445540848418
2000-09-20,1674.9871931931416
2000-09-21,1651.956634170758
2000-09-22,1525.9015193333812
2000-09-25,1603.9629812514852
2000-09-26,1596.0494047863629
2000-09-27,1609.7934941345718
2000-09-28,1597.7886007719494
2000-09-29,1599.3739339049762
2000-10-02,1558.040801423291
2000-10-03,1575.5367642544197
2000-10-04,1589.8664900457006
2000-10-05,1603.8694791464386
2000-10-06,1612.548027289425
2000-10-09,1578.9498226635226
2000-10-10,1571.8767025877307
2000-10-11,1520.6939084038845
2000-10-12,1516.9343048358141
2000-10-13,1499.4551463503237
2000-10-16,1546.079079149569
2000-10-17,1496.9012249524878
2000-10-18,1487.5120752340931
2000-10-19,1485.0876213065012
2000-10-20,1539.3494451065417
2000-10-23,1522.598238280357
2000-10-24,1547.617233403055
2000-10-25,1566.2480348941724
2000-10-26,1548.3725501750907
2000-10-27,1511.3209837512056
2000-10-30,1486.7379021066092
2000-10-31,1490.2418223207958
2000-11-01,1517.8941092606026
2000-11-02,1537.3203911791632
2000-11-03,1545.538513240174
2000-11-06,1554.8233634187097
2000-11-07,1557.9613411316268
2000-11-08,1576.8895272058828
2000-11-09,1576.4502737815758
2000-11-10,1568.0712306668395
2000-11-13,1515.4000609805096
2000-11-14,1548.1493724111222
2000-11-15,1549.772981539241
2000-11-16,1537.8035633244383
2000-11-17,1528.2493029224215
2000-11-20,1492.2279535398407
2000-11-21,1485.323767088652
2000-11-22,1465.1371707449105
2000-11-23,1442.0044826243045
2000-11-24,1477.860951958172
2000-11-27,1494.3590076173934
2000-11-28,1471.7443578843154
2000-11-29,1429.3763391053008
2000-11-30,1392.7201294931742
2000-12-01,1402.1928216189108
2000-12-04,1359.3930895583028
2000-12-05,1397.0926388589664
2000-12-06,1405.9131570362588
2000-12-07,1405.8584413064884
2000-12-08,1433.1261498638937
2000-12-11,1476.8831279449787
2000-12-12,1464.802330317356
2000-12-13,1481.909614731861
2000-12-14,1442.354414851924
2000-12-15,1396.6964884224724
2000-12-18,1394.81273039212
2000-12-19,1393.012690651072
2000-12-20,1341.0353966403593
2000-12-21,1310.7816397967688
2000-12-22,1281.16405943536
2000-12-25,1281.0351479388141
2000-12-26,1262.0345980807124
2000-12-27,1253.913077749547
2000-12-28,1278.3372981629195
2000-12-29,1258.4455969151652
2001-01-01,1261.7521612706248
2001-01-02,1271.784932217513
2001-01-03,1276.359772219265
2001-01-04,1334.2440082351789
2001-01-05,1373.0336131668546
2001-01-08,1382.2956129106285
2001-01-09,1413.1523821108192
2001-01-10,1374.1063946096474
2001-01-11,1353.8639676174682
2001-01-12,1381.6750256321209
2001-01-15,1407.9815151122953
2001-01-16,1430.0965503181037
2001-01-17,1442.8502256389777
2001-01-18,1443.887393056307
2001-01-19,1493.3197962756751
2001-01-22,1523.6935006608637
2001-01-23,1518.6845372620944
2001-01-24,1548.3730796725545
2001-01-25,1556.5332581187045
2001-01-26,1517.3428802462429
2001-01-29,1525.8899799077471
2001-01-30,1519.1196998247667
2001-01-31,1558.304902871047
2001-02-01,1527.4202321426149
2001-02-02,1555.217131517451
2001-02-05,1493.034683756568
2001-02-06,1511.8835635836954
2001-02-07,1489.8473484626973
2001-02-08,1532.8416776389954
2001-02-09,1544.9321432023512
2001-02-12,1540.7735640125977
2001-02-13,1567.3487327611201
2001-02-14,1576.2340735422335
2001-02-15,1613.8080203667662
2001-02-16,1585.5376803321533
2001-02-19,1564.1001329858384
2001-02-20,1617.5588549348515
2001-02-21,1588.0332685209635
2001-02-22,1570.3984787798652
2001-02-23,1558.255912075934
2001-02-26,1559.8638411431507
2001-02-27,1531.4667722649447
2001-02-28,1528.5043745098585
2001-03-01,1496.398052570911
2001-03-02,1458.524233852135
2001-03-05,1469.069600357439
2001-03-06,1476.1145154993621
2001-03-07,1477.0039025035996
2001-03-08,1477.3638878993145
2001-03-09,1451.3221861863672
2001-03-12,1407.7501265563483
2001-03-13,1390.3555995122297
2001-03-14,1418.0160510449166
2001-03-15,1425.4849988929875
2001-03-16,1433.9062355578938
2001-03-19,1417.7490852490976
2001-03-20,1398.406997558836
2001-03-21,1410.715848238847
2001-03-22,1416.3517661614176
2001-03-23,1419.0944901196096
2001-03-26,1432.280207113719
2001-03-27,1412.3253400260685
2001-03-28,1426.6183929439926
2001-03-29,1421.944371156689
2001-03-30,1403.6730543102449
2001-04-02,1376.5224614217634
2001-04-03,1349.153110914216
2001-04-04,1290.0515195677544
2001-04-05,1299.4042089185718
2001-04-06,1320.6429671442074
2001-04-09,1297.3733904702508
2001-04-10,1308.577819917598
2001-04-11,1342.2677726647669
2001-04-12,1335.8786899407228
2001-04-13,1341.4005693581294
2001-04-16,1341.479727257146
2001-04-17,1352.7725417095805
2001-04-18,1416.979542739278
2001-04-19,1426.6827474206877
2001-04-20,1388.3698376632376
2001-04-23,1404.7681351661554
2001-04-24,1407.3095083883695
2001-04-25,1414.3010059173293
2001-04-26,1396.1269510414602
2001-04-27,1393.5110832825928
2001-04-30,1430.4986082565642
2001-05-01,1423.8360335497246
2001-05-02,1446.3416928729398
2001-05-03,1451.0731192876585
2001-05-04,1440.7861317705658
2001-05-07,1462.1985208373983
2001-05-08,1460.7729256781818
2001-05-09,1457.5980974015704
2001-05-10,1453.502007725251
2001-05-11,1479.055048334971
2001-05-14,1477.847977800381
2001-05-15,1465.4635626799534
2001-05-16,1444.7704975097072
2001-05-17,1494.202157107066
2001-05-18,1507.718972950191
2001-05-21,1524.2017282026293
2001-05-22,1544.0198597537994
2001-05-23,1587.7582946154428
2001-05-24,1598.5417803149146
2001-05-25,1590.1745300493894
2001-05-28,1572.3368706038384
2001-05-29,1602.1478772634157
2001-05-30,1588.12252911303
2001-05-31,1590.7590955783392
2001-06-01,1577.4486352334554
2001-06-04,1577.645577069115
2001-06-05,1566.7416316973029
2001-06-06,1575.9056689962133
2001-06-07,1568.1523634154435
2001-06-08,1602.3356902570026
2001-06-11,1609.3744529265148
2001-06-12,1592.3326109701586
2001-06-13,1589.0708075788948
2001-06-14,1562.5912318176265
2001-06-15,1556.0789970370097
2001-06-18,1534.5071920593768
2001-06-19,1537.0637264023587
2001-06-20,1537.2167061166472
2001-06-21,1533.0529296785026
2001-06-22,1526.077249719567
2001-06-25,1510.4571793520256
2001-06-26,1503.9441488511206
2001-06-27,1512.951299252985
2001-06-28,1516.9211322160193
2001-06-29,1551.597443325065
2001-07-02,1545.560666172202
2001-07-03,1539.915169348511
2001-07-04,1538.8066088610985
2001-07-05,1556.0377514127235
2001-07-06,1527.1812581323434
2001-07-09,1496.5433716464613
2001-07-10,1477.6704320859599
2001-07-11,1445.2075477454232
2001-07-12,1476.1700511376607
2001-07-13,1454.3744525502186
2001-07-16,1436.4008880520112
2001-07-17,1438.3298657791804
2001-07-18,1387.8895072300056
2001-07-19,1394.464132100743
2001-07-20,1381.7089685880721
2001-07-23,1372.267533953758
2001-07-24,1354.0261227123265
2001-07-25,1352.7186427403867
2001-07-26,1373.5869519100495
2001-07-27,1393.0114003336862
2001-07-30,1386.0427898785701
2001-07-31,1394.2931199994794
2001-08-01,1407.1762789876632
2001-08-02,1419.46516480209
2001-08-03,1421.390838866619
2001-08-06,1421.6478585533002
2001-08-07,1420.7608567572918
2001-08-08,1431.5316687537563
2001-08-09,1385.6234500980595
2001-08-10,1387.601236020931
2001-08-13,1396.9969111719681
2001-08-14,1423.1128135673266
2001-08-15,1403.5857608265555
2001-08-16,1415.8258824713987
2001-08-17,1401.7994485406057
2001-08-20,1385.7222670056892
2001-08-21,1388.3922820181322
2001-08-22,1379.079477397338
2001-08-23,1386.709913142724
2001-08-24,1382.0426197563286
2001-08-27,1408.7110927113276
2001-08-28,1399.1462138115462
2001-08-29,1399.6627741171394
2001-08-30,1397.9899986217113
2001-08-31,1382.2614709828958
2001-09-03,1375.1810932790154
2001-09-04,1417.303326356961
2001-09-05,1410.7014690882809
2001-09-06,1402.0093438075075
2001-09-07,1379.566337877508
2001-09-10,1376.3689391225157
2001-09-11,1343.5198074144785
2001-09-12,1273.105959747774
2001-09-13,1263.778123247431
2001-09-14,1201.4063916770654
2001-09-17,1161.47454084221
2001-09-18,1173.2395077812632
2001-09-19,1180.2184728571033
2001-09-20,1167.0635497654353
2001-09-21,1150.155091346547
2001-09-24,1156.459641742997
2001-09-25,1131.1535444440622
2001-09-26,1142.303315881451
2001-09-27,1145.9065133800366
2001-09-28,1177.6625195664374
2001-10-01,1165.9475244081843
2001-10-02,1153.562515798956
2001-10-03,1146.641024254506
2001-10-04,1185.0423214672987
2001-10-05,1183.1714987060443
2001-10-08,1162.8646093072848
2001-10-09,1190.5316570736054
2001-10-10,1194.3856321223664
2001-10-11,1233.25218196376
2001-10-12,1226.1199102945725
2001-10-15,1220.876917351234
2001-10-16,1232.2219895960936
2001-10-17,1246.4081426506484
2001-10-18,1245.526190633687
2001-10-19,1247.4008951439762
2001-10-22,1261.1185405743086
2001-10-23,1274.6804150884996
2001-10-24,1292.3361996102783
2001-10-25,1287.6388750536255
2001-10-26,1296.1975478417485
2001-10-29,1280.3088417134902
2001-10-30,1244.964596286412
2001-10-31,1258.588871460797
2001-11-01,1256.313511593637
2001-11-02,1270.3674043815167
2001-11-05,1293.636512196279
2001-11-06,1299.6456689463246
2001-11-07,1292.6602900332693
2001-11-08,1321.2068971793099
2001-11-09,1335.6933552657692
2001-11-12,1345.886339452273
2001-11-13,1367.0344172454115
2001-11-14,1395.61615073246
2001-11-15,1423.468771506003
2001-11-16,1424.9846975488633
2001-11-19,1463.0329569857256
2001-11-20,1442.2218396204198
2001-11-21,1463.7884369135647
2001-11-22,1470.774294221283
2001-11-23,1507.7410109396867
2001-11-26,1549.5548654268557
2001-11-27,1531.3775228132708
2001-11-28,1469.820134118306
2001-11-29,1467.2001620978222
2001-11-30,1466.198677283625
2001-12-03,1498.0198916742859
2001-12-04,1505.169866832712
2001-12-05,1573.8258373279607
2001-12-06,1596.1902550193397
2001-12-07,1633.689305411741
2001-12-10,1600.5114639656329
2001-12-11,1588.8920257608888
2001-12-12,1609.4936277729398
2001-12-13,1585.8110359391144
2001-12-14,1559.9217034289566
2001-12-17,1530.0604115066965
2001-12-18,1521.790486042504
2001-12-19,1516.3297884638148
2001-12-20,1537.9813756452393
2001-12-21,1513.7062227541837
2001-12-24,1534.2761947480303
2001-12-25,1547.6153885029057
2001-12-26,1550.730994916743
2001-12-27,1542.5043428860781
2001-12-28,1583.6937146378584
2001-12-31,1591.641053146317
2002-01-01,1591.7203929728726
2002-01-02,1602.217898284995
2002-01-03,1617.891747155143
2002-01-04,1668.2843873914076
2002-01-07,1699.591548373355
2002-01-08,1674.322406156501
2002-01-09,1700.1969866024435
2002-01-10,1670.0893942273362
2002-01-11,1658.9911836093027
2002-01-14,1671.1551066477175
2002-01-15,1642.9321176266055
2002-01-16,1643.05453038893
2002-01-17,1652.3826496121135
2002-01-18,1645.534705783713
2002-01-21,1674.4927967100107
2002-01-22,1670.5917724041553
2002-01-23,1690.6303975526682
2002-01-24,1722.1613173452363
2002-01-25,1788.6465569070308
2002-01-28,1814.4925094469731
2002-01-29,1806.8543991144027
2002-01-30,1773.4232926329764
2002-01-31,1789.0673050144526
2002-02-01,1781.2532162472605
2002-02-04,1762.4390977306443
2002-02-05,1772.0191514706673
2002-02-06,1784.7996246253686
2002-02-07,1767.07158074313
2002-02-08,1776.5335788394243
2002-02-11,1767.1102687298614
2002-02-12,1768.9445670891791
2002-02-13,1778.793847211578
2002-02-14,1864.5124196429754
2002-02-15,1862.0497629388597
2002-02-18,1885.03657605319
2002-02-19,1857.1310506354039
2002-02-20,1840.6716712236964
2002-02-21,1848.168143163621
2002-02-22,1833.8906320166047
2002-02-25,1831.125811561389
2002-02-26,1854.2818826259713
2002-02-27,1907.567625117191
2002-02-28,1895.4505426310982
2002-03-01,1903.1715330515567
2002-03-04,1931.6179704726062
2002-03-05,1948.0962559361624
2002-03-06,1953.8094185062653
2002-03-07,1935.5162729420988
2002-03-08,1940.3384312950227
2002-03-11,1957.7997643426852
2002-03-12,1980.7568310601516
2002-03-13,1974.2444123997038
2002-03-14,1962.1163695532287
2002-03-15,1961.616163116785
2002-03-18,1977.5325497109827
2002-03-19,1986.6091043975462
2002-03-20,1985.346122899592
2002-03-21,1980.8963308729826
2002-03-22,2004.4634790228615
2002-03-25,1997.4004631288653
2002-03-26,2002.316181122233
2002-03-27,2041.2461531572017
2002-03-28,2038.7324441633739
2002-03-29,2036.1284948724267
2002-04-01,2003.600368678211
2002-04-02,2038.7234644595212
2002-04-03,2059.4022067930796
2002-04-04,2050.9891867128345
2002-04-05,2062.955287648446
2002-04-08,2051.8298554358284
2002-04-09,2022.7957982269406
2002-04-10,1980.784638012397
2002-04-11,1983.1325666779665
2002-04-12,2015.3018407996074
2002-04-15,2042.6718085448608
2002-04-16,2050.514015948567
2002-04-17,2095.7073741597937
2002-04-18,2099.3101753800806
2002-04-19,2097.7580275739642
2002-04-22,2135.8430004415554
2002-04-23,2138.0571088951506
2002-04-24,2121.2340048214946
2002-04-25,2043.1877033079074
2002-04-26,2044.4862474160184
2002-04-29,1992.8916889300078
2002-04-30,1990.7848317219689
2002-05-01,1979.6352741491187
2002-05-02,2006.3990748897916
2002-05-03,1994.4755853950883
2002-05-06,1934.0706077800457
2002-05-07,1943.4050327510165
2002-05-08,1976.791533762116
2002-05-09,1982.5742639089033
2002-05-10,1943.2175368134426
2002-05-13,1949.920836194322
2002-05-14,1989.2442758824634
2002-05-15,2022.24005065048
2002-05-16,2008.2673743659855
2002-05-17,2013.1804465140176
2002-05-20,1984.5264112305792
2002-05-21,1940.4835700180552
2002-05-22,1959.3266332955086
2002-05-23,1947.8633851177149
2002-05-24,1975.6878234897783
2002-05-27,1977.6602606195688
2002-05-28,1957.4145536388382
2002-05-29,1942.1373359958657
2002-05-30,1919.476902768671
2002-05-31,1896.111701379448
2002-06-03,1901.042443434698
2002-06-04,1896.327592205392
2002-06-05,1919.9254784614557
2002-06-06,1908.6017596592274
2002-06-07,1880.326930255504
2002-06-10,1910.4837843940988
2002-06-11,1918.7360473360304
2002-06-12,1911.5052516213507
2002-06-13,1926.9378827411433
2002-06-14,1915.1472694191839
2002-06-17,1908.6462956079915
2002-06-18,1893.9862251916397
2002-06-19,1822.5271154604013
2002-06-20,1818.9688170131988
2002-06-21,1814.7728758501703
2002-06-24,1789.6022670056357
2002-06-25,1781.3852084076075
2002-06-26,1663.4930957857594
2002-06-27,1685.6740877671714
2002-06-28,1729.0984822850583
2002-07-01,1719.0630462442111
2002-07-02,1727.543688437635
2002-07-03,1748.0807847022047
2002-07-04,1786.0143440997665
2002-07-05,1825.1915847226483
2002-07-08,1812.2288768545777
2002-07-09,1830.3476415791613
2002-07-10,1822.6171702072875
2002-07-11,1773.0937458167555
2002-07-12,1822.849083553749
2002-07-15,1781.6752579880988
2002-07-16,1758.674238259683
2002-07-17,1758.8928853935602
2002-07-18,1760.4319617986373
2002-07-19,1720.9463806177996
2002-07-22,1679.3875252468317
2002-07-23,1738.9185756752177
2002-07-24,1692.3815335602199
2002-07-25,1681.4253314084826
2002-07-26,1632.754329861897
2002-07-29,1645.696018325483
2002-07-30,1680.9713529610824
2002-07-31,1690.6242756684771
2002-08-01,1675.4692556400257
2002-08-02,1653.8857219838408
2002-08-05,1587.1889873392163
2002-08-06,1600.4972558102593
2002-08-07,1617.5821480674347
2002-08-08,1616.9136207125107
2002-08-09,1640.3562447069937
2002-08-12,1636.3301449820224
2002-08-13,1657.9692466073147
2002-08-14,1659.4037453987544
2002-08-15,1677.960904228024
2002-08-16,1675.1047507030921
2002-08-19,1681.1458525539229
2002-08-20,1711.323967206925
2002-08-21,1712.1603969452103
2002-08-22,1729.5737951790832
2002-08-23,1713.2589944568201
2002-08-26,1699.0857620175818
2002-08-27,1672.3030074952014
