Date,AUSTRALIA SMALL CAP QUALITY
2011-05-11,4418.572116668114
2011-05-12,4301.425980604193
2011-05-13,4290.149647444193
2011-05-16,4222.462034644562
2011-05-17,4205.618002711576
2011-05-18,4232.4751278927415
2011-05-19,4284.390108089087
2011-05-20,4276.5461815586805
2011-05-23,4165.061674122491
2011-05-24,4154.129084961064
2011-05-25,4110.432084213757
2011-05-26,4194.139348422703
2011-05-27,4263.890035534873
2011-05-30,4260.3477177176155
2011-05-31,4268.46885294173
2011-06-01,4290.78885264692
2011-06-02,4172.267384086353
2011-06-03,4184.406894515788
2011-06-06,4169.968899619109
2011-06-07,4170.2622614499205
2011-06-08,4081.4900334538293
2011-06-09,4095.0250946736865
2011-06-10,4094.4476091359816
2011-06-13,4100.850640654393
2011-06-14,4151.468559040226
2011-06-15,4151.334711778064
2011-06-16,4002.127464917632
2011-06-17,4047.1224571554817
2011-06-20,3987.993907098736
2011-06-21,4031.989908464125
2011-06-22,4066.605880802411
2011-06-23,3977.2656246389565
2011-06-24,3992.6308708908746
2011-06-27,3893.7361769928616
2011-06-28,3913.845906837477
2011-06-29,4008.8051486549653
2011-06-30,4123.578463014921
2011-07-01,4123.412746415627
2011-07-04,4152.093873643549
2011-07-05,4106.7000283244815
2011-07-06,4125.6045425811035
2011-07-07,4172.766203772334
2011-07-08,4245.511449127986
2011-07-11,4156.606654330773
2011-07-12,4052.525452813211
2011-07-13,4131.532644301897
2011-07-14,4065.178699285086
2011-07-15,4004.535881257413
2011-07-18,3974.0720970544717
2011-07-19,4012.8604769898543
2011-07-20,4092.034683325831
2011-07-21,4129.985671770314
2011-07-22,4209.199007278188
2011-07-25,4145.892730941846
2011-07-26,4237.899754168583
2011-07-27,4248.492282369171
2011-07-28,4161.456918804104
2011-07-29,4109.681746733025
2011-08-01,4176.2668153498535
2011-08-02,4058.6232539042894
2011-08-03,3916.7856742649874
2011-08-04,3813.332036069261
2011-08-05,3605.8239294359623
2011-08-08,3446.811214081031
2011-08-09,3411.113022925098
2011-08-10,3507.3142565888643
2011-08-11,3505.6593706864783
2011-08-12,3574.1373810877594
2011-08-15,3717.583101504368
2011-08-16,3721.942107458031
2011-08-17,3813.9209465675435
2011-08-18,3714.9201823619587
2011-08-19,3573.784086385846
2011-08-22,3544.2415425118793
2011-08-23,3651.5268001701943
2011-08-24,3666.7360817903427
2011-08-25,3700.214657965845
2011-08-26,3708.1862175730134
2011-08-29,3796.2542666712916
2011-08-30,3846.1567225131257
2011-08-31,3888.3101885634364
2011-09-01,3899.2456881857206
2011-09-02,3791.1122895149215
2011-09-05,3687.6714725786587
2011-09-06,3607.3426959016197
2011-09-07,3722.668831078327
2011-09-08,3748.3556635129075
2011-09-09,3697.797599664873
2011-09-12,3513.0703687332757
2011-09-13,3547.680815242928
2011-09-14,3425.9420076324923
2011-09-15,3501.588182776639
2011-09-16,3587.0584021987074
2011-09-19,3469.8669734052305
2011-09-20,3479.3812012217795
2011-09-21,3464.4622303635456
2011-09-22,3235.420352089512
2011-09-23,3168.5825495096933
2011-09-26,3069.7844212274267
2011-09-27,3254.4641695171726
2011-09-28,3277.3179691292007
2011-09-29,3235.292306812527
2011-09-30,3218.8349514964066
2011-10-03,3086.9371244794243
