Date,FM EMEA SMALL CAP
2020-03-12,892.9222154455027
2020-03-13,886.4254584828464
2020-03-16,831.9297770292824
2020-03-17,822.070582308436
2020-03-18,809.4127910041719
2020-03-19,802.7843054976823
2020-03-20,807.3213245426518
2020-03-23,790.5739214043283
2020-03-24,796.0429075041972
2020-03-25,813.6418095947708
2020-03-26,819.7469615215564
2020-03-27,819.9426800930362
2020-03-30,806.3770324971928
2020-03-31,809.6706517178728
2020-04-01,800.6549613377318
2020-04-02,793.4934430951607
2020-04-03,794.820962355
2020-04-06,800.9035425923984
2020-04-07,809.1109254465229
2020-04-08,812.2510047224764
2020-04-09,821.4044491245603
2020-04-10,824.0036070409107
2020-04-13,824.1375569301323
2020-04-14,838.5436581147547
2020-04-15,833.5623213324373
2020-04-16,824.9260993159893
2020-04-17,827.239877673562
2020-04-20,836.0566480466797
2020-04-21,821.7278037610592
2020-04-22,822.1222665994519
2020-04-23,822.3891826895995
2020-04-24,822.4210339620812
2020-04-27,832.3332898718178
2020-04-28,839.3967029002772
2020-04-29,844.2496368573288
2020-04-30,857.0662935071329
2020-05-01,857.4790150129173
2020-05-04,843.8406281119966
2020-05-05,850.9235258248142
2020-05-06,857.4707391683534
2020-05-07,852.1088532111579
2020-05-08,855.067942461491
2020-05-11,845.1498561018573
2020-05-12,844.9236570349952
2020-05-13,838.3521219034681
2020-05-14,835.3639626740128
2020-05-15,838.6258638919021
2020-05-18,847.8568657567233
2020-05-19,858.0175314940034
2020-05-20,858.0457783704782
2020-05-21,860.4524086108968
2020-05-22,860.3543550823535
2020-05-25,861.395379460558
2020-05-26,868.2235601127328
2020-05-27,882.1135379964098
2020-05-28,883.5894456424624
2020-05-29,883.3565321129174
2020-06-01,892.4522255979331
2020-06-02,897.472610884155
2020-06-03,899.9248038547144
2020-06-04,903.9791844808751
2020-06-05,902.2648387589201
2020-06-08,917.187265906682
2020-06-09,917.4852134953144
2020-06-10,917.3804197015194
2020-06-11,910.0952021166294
2020-06-12,903.5051873144091
2020-06-15,898.8143436622805
2020-06-16,904.2261986196883
2020-06-17,906.7834273771878
2020-06-18,902.8977746098551
2020-06-19,902.7843399966811
2020-06-22,905.9115922676028
2020-06-23,909.3879359158713
2020-06-24,906.4921813202247
2020-06-25,905.8504394692292
2020-06-26,903.8022890829802
2020-06-29,902.187553727322
2020-06-30,900.7586212994335
2020-07-01,898.0915660219275
2020-07-02,894.9406358781376
2020-07-03,895.3824171907348
2020-07-06,899.2516299045249
2020-07-07,900.5287337462311
2020-07-08,901.3192943946486
2020-07-09,899.2792839997561
2020-07-10,899.9568644120736
2020-07-13,902.9987681028718
2020-07-14,895.9010162884515
2020-07-15,897.2560750059018
2020-07-16,894.9052280983439
2020-07-17,893.3996812602626
2020-07-20,890.5554778275498
2020-07-21,892.9949132169762
2020-07-22,891.5287047703467
2020-07-23,891.8030012714361
2020-07-24,891.9708797472617
2020-07-27,896.1437439633052
2020-07-28,896.6668126561399
2020-07-29,897.2688858075227
2020-07-30,894.9575009919586
2020-07-31,894.7867101364346
2020-08-03,893.1178253404435
2020-08-04,892.093751573719
2020-08-05,894.0947007368887
2020-08-06,891.2882567159741
2020-08-07,891.1092282021584
2020-08-10,892.0302846610067
2020-08-11,895.2883848423536
2020-08-12,899.2097665643777
2020-08-13,896.0783215496671
2020-08-14,895.0174551417313
2020-08-17,897.5540339443523
2020-08-18,899.7414456118302
2020-08-19,900.9758445564386
2020-08-20,902.5235189351307
2020-08-21,901.09745009886
2020-08-24,903.6914786464735
2020-08-25,907.1019104925468
2020-08-26,908.5200937094302
2020-08-27,909.1456266018602
2020-08-28,909.9107958711703
2020-08-31,909.5529408974547
2020-09-01,918.0486009648149
2020-09-02,917.5772301844399
2020-09-03,916.9291275602766
2020-09-04,910.0266349538406
2020-09-07,911.1066309202812
2020-09-08,910.081487592471
2020-09-09,909.93102982889
2020-09-10,915.6192594802889
2020-09-11,918.3603989397367
2020-09-14,924.6177003216662
2020-09-15,923.204711351047
2020-09-16,925.0896535040454
2020-09-17,923.9672340288739
2020-09-18,927.785124799947
2020-09-21,925.989379020264
2020-09-22,924.53274100076
2020-09-23,925.3010037185117
2020-09-24,924.7579706050707
2020-09-25,925.2549984389924
2020-09-28,927.0980690257869
2020-09-29,920.4618977577117
2020-09-30,919.4588066930587
2020-10-01,918.5755209671296
2020-10-02,916.3729550090902
2020-10-05,927.2786074324637
2020-10-06,937.4356621979615
2020-10-07,935.7203910219888
2020-10-08,937.8052315545457
2020-10-09,940.2498099934727
2020-10-12,944.1584785791161
2020-10-13,944.0590410478452
2020-10-14,945.3838265099041
2020-10-15,943.2400676838552
2020-10-16,946.8269614867046
2020-10-19,941.9329417202683
2020-10-20,943.8941237588472
2020-10-21,944.714202608528
2020-10-22,942.4075249897163
2020-10-23,943.3944741657116
2020-10-26,934.3883282443074
2020-10-27,932.8499474256156
2020-10-28,931.8383882226879
2020-10-29,928.4396161698614
2020-10-30,931.1309098716762
2020-11-02,923.6412562327076
2020-11-03,934.3706297147003
2020-11-04,932.7752577577601
2020-11-05,938.4284966909609
2020-11-06,943.6053312757165
2020-11-09,958.7078873101161
2020-11-10,966.6844214386939
2020-11-11,969.7906015274552
2020-11-12,975.4704688894969
2020-11-13,970.3508420845839
2020-11-16,965.1444688508664
2020-11-17,968.3983377651874
2020-11-18,972.5740227116506
2020-11-19,972.282731333046
2020-11-20,970.6301928787456
2020-11-23,963.9357044418829
2020-11-24,973.0687749822936
2020-11-25,982.5356103320073
2020-11-26,982.3682246149208
2020-11-27,983.4883405259311
2020-11-30,983.3300511728188
2020-12-01,986.8899013298334
2020-12-02,991.3777645779294
2020-12-03,993.8724842507959
2020-12-04,995.8237245729781
2020-12-07,999.9457164837328
2020-12-08,998.7241360621302
2020-12-09,994.5509055233745
2020-12-10,994.2155534579243
2020-12-11,996.1230311569763
2020-12-14,1001.1879156502688
2020-12-15,1005.3446998972292
2020-12-16,1008.4100349487194
2020-12-17,1012.9177658395444
2020-12-18,1014.6814577785701
2020-12-21,1000.269793584424
2020-12-22,1004.5126143732791
2020-12-23,1008.2301052192716
2020-12-24,1009.0405802087079
2020-12-25,1006.8543766325251
2020-12-28,1013.6363046320939
2020-12-29,1016.2198772608953
2020-12-30,1020.9145166611552
2020-12-31,1020.2452704260013
2021-01-01,1020.2452704260018
2021-01-04,1032.0219462328282
2021-01-05,1029.8715115851085
2021-01-06,1033.106377574677
2021-01-07,1036.0155437551837
2021-01-08,1042.0428246928016
2021-01-11,1041.3457826948643
2021-01-12,1043.3337961589882
2021-01-13,1044.3428908773992
2021-01-14,1043.740759877213
2021-01-15,1044.7368691098554
2021-01-18,1042.1407878836822
2021-01-19,1046.7074290516687
2021-01-20,1048.8820963862408
2021-01-21,1048.4006367012335
2021-01-22,1045.8557379749043
2021-01-25,1042.7260344107954
2021-01-26,1045.98625016638
2021-01-27,1043.0381771120049
2021-01-28,1043.4704771143652
2021-01-29,1045.0123709961608
2021-02-01,1042.389964289101
2021-02-02,1035.1662316300626
2021-02-03,1035.279902042571
2021-02-04,1031.8015838839954
