Date,FM (FRONTIER MARKETS) SMALL CAP
2016-06-17,1181.4635748788796
2016-06-20,1157.74604122977
2016-06-21,1161.6148398572836
2016-06-22,1158.86154503763
2016-06-23,1156.533855197566
2016-06-24,1166.0104423545642
2016-06-27,1173.2521151660603
2016-06-28,1172.9329920355806
2016-06-29,1176.5219874170662
2016-06-30,1179.0451321936555
2016-07-01,1179.783560429917
2016-07-04,1184.9074947176869
2016-07-05,1190.695232325674
2016-07-06,1193.117009620504
2016-07-07,1195.2337530929613
2016-07-08,1200.3177437386
2016-07-11,1195.9131531796509
2016-07-12,1197.4950053153545
2016-07-13,1198.2311684704428
2016-07-14,1202.307436179499
2016-07-15,1206.2487652753875
2016-07-18,1211.7773937509694
2016-07-19,1211.1589678318699
2016-07-20,1207.3744397951853
2016-07-21,1207.4649829370858
2016-07-22,1210.1081501635413
2016-07-25,1206.3824149452278
2016-07-26,1203.5557253783866
2016-07-27,1202.8202915410393
2016-07-28,1195.1833680187492
2016-07-29,1188.4251807066626
2016-08-01,1190.650660303458
2016-08-02,1185.4655892061555
2016-08-03,1192.2147155849595
2016-08-04,1195.5608091604802
2016-08-05,1201.8058380418036
2016-08-08,1201.8921855083652
2016-08-09,1199.852495728545
2016-08-10,1195.6551148522537
2016-08-11,1196.0347786702546
2016-08-12,1192.8275069904662
2016-08-15,1192.6830209392842
2016-08-16,1183.1633283473584
2016-08-17,1182.8830742482992
2016-08-18,1170.1421847451497
2016-08-19,1170.4290849186168
2016-08-22,1170.1366118712447
2016-08-23,1173.364830230569
2016-08-24,1178.7802359036339
2016-08-25,1177.9218197181915
2016-08-26,1176.6560885431109
2016-08-29,1180.5800829031878
2016-08-30,1183.6429139017002
2016-08-31,1185.6390708641275
2016-09-01,1184.3455890866692
2016-09-02,1187.9176043380783
2016-09-05,1189.0927367047602
2016-09-06,1191.2758042286328
2016-09-07,1194.6167232867988
2016-09-08,1193.70915822836
2016-09-09,1197.176351588258
2016-09-12,1194.697592868993
2016-09-13,1191.5944564246104
2016-09-14,1190.9739243033014
2016-09-15,1197.1477935006212
2016-09-16,1202.9728399954822
2016-09-19,1204.9210590038438
2016-09-20,1205.907382227389
2016-09-21,1209.3253050632566
2016-09-22,1210.9368798463893
2016-09-23,1213.1104157444604
2016-09-26,1208.2279456747103
2016-09-27,1215.874655785838
2016-09-28,1218.5859802244381
2016-09-29,1218.2799814317382
2016-09-30,1217.9161096368443
2016-10-03,1219.270621011878
2016-10-04,1224.842169439399
2016-10-05,1224.1543251644853
2016-10-06,1229.4118997274343
2016-10-07,1229.0140332572164
2016-10-10,1230.7118661802301
2016-10-11,1241.6648413046787
2016-10-12,1245.5118853664035
2016-10-13,1242.5020262650842
2016-10-14,1246.7218222894473
2016-10-17,1247.194809814087
2016-10-18,1249.3691130380967
2016-10-19,1256.4674674341943
2016-10-20,1262.0159698084037
2016-10-21,1267.6505952149212
2016-10-24,1264.5954393875977
2016-10-25,1265.8089980462003
2016-10-26,1256.7987591091194
2016-10-27,1252.9580821452782
2016-10-28,1253.118162741902
2016-10-31,1248.9801106026387
2016-11-01,1243.4509798124625
2016-11-02,1233.46675689497
2016-11-03,1240.2254506920644
2016-11-04,1238.0738096509342
2016-11-07,1255.1314242796245
2016-11-08,1257.5640583618433
2016-11-09,1267.3154135733428
2016-11-10,1274.3729684314376
2016-11-11,1272.1890677973029
2016-11-14,1270.6990682215314
2016-11-15,1282.7813820667018
2016-11-16,1291.7427997952486
2016-11-17,1301.0870967439773
2016-11-18,1309.3732544544316
2016-11-21,1313.9639255824309
2016-11-22,1319.6656450916864
2016-11-23,1327.5042220446287
2016-11-24,1326.591737973578
2016-11-25,1323.1676157594993
2016-11-28,1323.9091629000095
2016-11-29,1315.0491425057871
2016-11-30,1314.4144422564304
2016-12-01,1317.0966333122565
2016-12-02,1315.358065367387
2016-12-05,1316.1257481787727
2016-12-06,1315.6317503961036
2016-12-07,1315.2104771775082
2016-12-08,1330.693851511958
2016-12-09,1342.8177769493757
2016-12-12,1330.9295217920478
2016-12-13,1334.7493220856984
2016-12-14,1333.8643516518737
2016-12-15,1361.109598256079
2016-12-16,1360.8584293852437
2016-12-19,1360.1746614945998
2016-12-20,1365.5769764273728
2016-12-21,1359.5910135035344
2016-12-22,1356.4529744706972
2016-12-23,1358.4316916982968
2016-12-26,1361.1112317823522
2016-12-27,1365.9729803941198
2016-12-28,1377.9207583185716
2016-12-29,1374.5865143906826
2016-12-30,1371.722028889225
2017-01-02,1375.0165447508286
2017-01-03,1404.6626136956859
2017-01-04,1400.1232526157044
2017-01-05,1394.779603875708
2017-01-06,1402.6325591972568
2017-01-09,1409.8963852023614
2017-01-10,1412.2302369521958
2017-01-11,1431.322444377329
2017-01-12,1409.2980135084013
2017-01-13,1411.4536810650463
