Date,FM ASIA INDEX SMALL CAP
2013-06-03,568.4410428853671
2013-06-04,563.918431044114
2013-06-05,571.0936994792078
2013-06-06,566.1033295075182
2013-06-07,565.1024175518877
2013-06-10,562.7426217901393
2013-06-11,561.7771013101757
2013-06-12,563.72099238299
2013-06-13,565.6265114373774
2013-06-14,562.9344589997777
2013-06-17,566.2194040183472
2013-06-18,564.4856026157809
2013-06-19,571.935733355616
2013-06-20,576.9313913048202
2013-06-21,574.9686728409542
2013-06-24,564.2124152550278
2013-06-25,561.4480346412967
2013-06-26,567.891129113907
2013-06-27,568.3566872827747
2013-06-28,567.009845624462
2013-07-01,562.2898338503766
2013-07-02,573.9846936537372
2013-07-03,576.7629297891458
2013-07-04,580.5534618050434
2013-07-05,584.2656560825765
2013-07-08,579.9400543757705
2013-07-09,588.0229307684856
2013-07-10,589.6010553574732
2013-07-11,573.1353748525286
2013-07-12,575.974662626396
2013-07-15,574.3091016311296
2013-07-16,569.6433233061579
2013-07-17,570.0904855952886
2013-07-18,568.7256894256486
2013-07-19,568.9442999986281
2013-07-22,557.6466588125164
2013-07-23,546.9984883025937
2013-07-24,555.9627158568535
2013-07-25,544.8285246426096
2013-07-26,543.577855615002
2013-07-29,538.0688342722569
2013-07-30,540.261503898856
2013-07-31,535.698215262303
2013-08-01,533.0296311340068
2013-08-02,531.6663093121878
2013-08-05,529.7998620045531
2013-08-06,525.9508541635572
2013-08-07,528.9281372779434
2013-08-08,524.9318483046723
2013-08-09,527.0524835837051
2013-08-12,531.9545510421866
2013-08-13,538.0457019141406
2013-08-14,538.3535097069458
2013-08-15,539.8869077306105
2013-08-16,538.1416095846548
2013-08-19,543.2874131014477
2013-08-20,538.1576423630074
2013-08-21,534.7680338306053
2013-08-22,534.0896818559097
2013-08-23,529.7722328525451
2013-08-26,530.7113928350711
2013-08-27,524.2935536870339
2013-08-28,520.5433134085183
2013-08-29,523.6945843093249
2013-08-30,527.2462291812913
2013-09-02,523.8285957669484
2013-09-03,525.5750641641758
2013-09-04,521.1540933436779
2013-09-05,528.3122200156004
2013-09-06,528.99833513677
2013-09-09,518.5300596490487
2013-09-10,520.673610315009
2013-09-11,521.7342010532441
2013-09-12,518.8328462241939
2013-09-13,520.4260094384172
2013-09-16,520.7628342794924
2013-09-17,518.1125941633633
2013-09-18,515.4584426333497
2013-09-19,510.29971691555465
2013-09-20,513.7363182625696
2013-09-23,508.652957331168
2013-09-24,507.42464780584976
2013-09-25,506.68396242221985
2013-09-26,508.07082953089736
2013-09-27,504.10532028603274
2013-09-30,499.44220179658964
2013-10-01,499.32335551939263
2013-10-02,499.54542537613264
