Date,CHINA QUALITY
1999-08-12,1160.5722838138481
1999-08-13,1144.4548282379471
1999-08-16,1140.412190927154
1999-08-17,1159.6911160505103
1999-08-18,1184.9395245023952
1999-08-19,1262.7479155143017
1999-08-20,1289.169447212518
1999-08-23,1286.3783834758128
1999-08-24,1291.6322730094175
1999-08-25,1291.9271954719113
1999-08-26,1301.1804142544167
1999-08-27,1278.8429698092243
1999-08-30,1255.9062465953753
1999-08-31,1273.2002272658335
1999-09-01,1269.3622964439276
1999-09-02,1264.2183000133423
1999-09-03,1257.395677314123
1999-09-06,1294.0202240664428
1999-09-07,1293.658130254543
1999-09-08,1278.1390232278877
1999-09-09,1325.7448359778582
1999-09-10,1346.0770654926273
1999-09-13,1334.2203720415116
1999-09-14,1321.7862453294038
1999-09-15,1292.6999115329534
