Date,DENMARK SMALL CAP
2009-07-23,242.16872457302597
2009-07-24,242.06699452539897
2009-07-27,245.2884170306274
2009-07-28,248.06509218675697
2009-07-29,244.15027409494724
2009-07-30,251.09032601603212
2009-07-31,254.97566391759287
2009-08-03,265.4845562204994
2009-08-04,261.67661759526914
2009-08-05,265.2686381551713
2009-08-06,269.9170870551701
2009-08-07,269.0445940360306
2009-08-10,270.21055839316887
2009-08-11,268.19971386956365
2009-08-12,270.6429163111741
2009-08-13,274.54903424939846
2009-08-14,273.90396264896395
2009-08-17,264.1310184739836
2009-08-18,259.1580177836249
2009-08-19,256.68621572693536
2009-08-20,263.45274715322347
2009-08-21,267.65890825703144
2009-08-24,272.79379501030337
2009-08-25,277.7576839179115
2009-08-26,280.97245158940854
2009-08-27,278.35667229314873
2009-08-28,282.6651333546965
2009-08-31,277.76518388714425
2009-09-01,276.00240927537544
2009-09-02,266.64841640987726
2009-09-03,269.9800820712572
2009-09-04,274.741538074197
2009-09-07,280.7677079664853
2009-09-08,285.85928054256385
2009-09-09,289.0471254109033
2009-09-10,290.1362331561522
2009-09-11,287.97254799148635
2009-09-14,284.91908567212295
2009-09-15,284.5768625887749
2009-09-16,294.3039928628846
2009-09-17,302.08181576665964
2009-09-18,301.13498864133504
2009-09-21,299.31690729248317
2009-09-22,302.95139656949925
2009-09-23,301.611108624264
2009-09-24,295.4574398246054
2009-09-25,292.87553281141527
2009-09-28,293.38559921592446
2009-09-29,289.36252002008723
2009-09-30,291.4800045179112
2009-10-01,286.8567392065313
2009-10-02,279.43616165798556
2009-10-05,283.23608559172095
2009-10-06,294.58827885531775
2009-10-07,290.9080906170144
2009-10-08,295.76039366000305
2009-10-09,296.56805882295185
2009-10-12,299.3871960818441
2009-10-13,295.7723189275723
2009-10-14,303.8727551109168
2009-10-15,305.5862466036541
2009-10-16,302.57416254925647
2009-10-19,305.90984120672834
2009-10-20,306.22616592717435
2009-10-21,305.5039725522915
2009-10-22,302.9568494891935
2009-10-23,304.9606204793482
2009-10-26,300.58203102862683
2009-10-27,292.81021700643936
2009-10-28,282.3792064722918
2009-10-29,288.5909546561567
2009-10-30,286.0065812122607
2009-11-02,286.628952839011
2009-11-03,279.3708793754768
2009-11-04,286.990004657777
2009-11-05,288.8396052620863
2009-11-06,287.465708112413
