Date,NORWAY SMALL CAP
2012-10-09,291.36178009963913
2012-10-10,287.5302915903974
2012-10-11,289.4223792691261
2012-10-12,288.8728944557855
2012-10-15,287.5490310442236
2012-10-16,291.6090714449955
2012-10-17,292.49006840739014
2012-10-18,292.404036760899
2012-10-19,289.6639490285988
2012-10-22,289.15280249965
2012-10-23,277.5395181128599
2012-10-24,279.79095749852144
2012-10-25,281.5461560735059
2012-10-26,280.0099400037386
2012-10-29,279.76149249795355
2012-10-30,282.47120672274826
2012-10-31,283.55009645020135
2012-11-01,289.6481082956365
2012-11-02,286.1886376769051
2012-11-05,282.59192792981213
2012-11-06,285.53244884182254
2012-11-07,282.30356933350333
2012-11-08,281.1985439477188
2012-11-09,279.37996961986624
2012-11-12,275.51459183251495
2012-11-13,271.1785721654225
2012-11-14,272.57868281184506
2012-11-15,266.7266826734444
2012-11-16,264.45866335997437
2012-11-19,272.11316477935895
2012-11-20,273.0745563454579
2012-11-21,275.4542291906769
2012-11-22,280.0016488220833
2012-11-23,281.94281027804874
2012-11-26,281.3953788429593
2012-11-27,280.6589584586487
2012-11-28,277.7679536476265
2012-11-29,282.9583586597385
2012-11-30,283.1618982409928
2012-12-03,284.65821225158527
2012-12-04,284.13529206338103
2012-12-05,283.15100671577807
2012-12-06,286.15361291295307
2012-12-07,284.2153152712021
2012-12-10,282.6187742237578
2012-12-11,286.638078221513
2012-12-12,290.6701078241462
2012-12-13,290.2829587774521
2012-12-14,289.75896136878885
2012-12-17,291.4642340887937
2012-12-18,294.37311387997516
2012-12-19,299.1146800559966
2012-12-20,298.414460210786
2012-12-21,298.4709775480124
2012-12-24,296.468191986295
2012-12-25,296.468191986295
2012-12-26,296.95043935141786
2012-12-27,296.3319561410667
2012-12-28,294.00880147294987
2012-12-31,295.1235017489625
2013-01-01,295.1235017489625
2013-01-02,306.65229108597015
2013-01-03,304.34983501185894
2013-01-04,303.3065013524444
2013-01-07,302.8704978451873
2013-01-08,305.6949126520322
2013-01-09,306.38681183477564
2013-01-10,309.929158516858
2013-01-11,310.12681149958513
2013-01-14,312.10719031717633
2013-01-15,307.41859796862184
2013-01-16,307.77329971431857
2013-01-17,311.1330624528843
2013-01-18,308.4139798727007
2013-01-21,310.0476827877463
2013-01-22,309.84733999809555
2013-01-23,313.2746467958109
2013-01-24,311.64355703578667
2013-01-25,312.6138610178031
2013-01-28,309.8702732523548
2013-01-29,311.141514327706
2013-01-30,310.36061432256986
2013-01-31,310.8134651441292
2013-02-01,317.49028806167405
2013-02-04,313.68354056285165
2013-02-05,310.9204028229135
2013-02-06,310.7694928163511
2013-02-07,309.5195228249824
2013-02-08,311.9104752381813
2013-02-11,310.5047277656401
2013-02-12,316.07620558994296
2013-02-13,315.2840363511841
2013-02-14,312.2884379913583
2013-02-15,313.22454424511415
2013-02-18,313.81542540595
2013-02-19,317.77358314397657
2013-02-20,319.8740530219972
2013-02-21,309.1078131989131
2013-02-22,308.93856506347316
2013-02-25,312.35683724628353
2013-02-26,309.97242202375514
2013-02-27,311.6449588796994
2013-02-28,310.99968620137605
2013-03-01,306.7000843244156
2013-03-04,306.67729627929964
2013-03-05,312.9394705852727
2013-03-06,312.50657219303304
2013-03-07,313.9515101132996
2013-03-08,311.757393271142
2013-03-11,312.2510069575954
2013-03-12,316.1120688832625
2013-03-13,312.89712926736894
2013-03-14,311.0764568990632
2013-03-15,310.86793041377996
2013-03-18,308.1786959919605
2013-03-19,305.07820397174294
2013-03-20,302.65079716321964
2013-03-21,301.00424089658344
2013-03-22,301.7793192970355
2013-03-25,300.3523909661075
2013-03-26,300.7339752059625
2013-03-27,300.4524050260232
2013-03-28,301.673274635816
2013-03-29,301.673274635816
2013-04-01,302.4407195822055
2013-04-02,305.90061331848955
2013-04-03,308.98793528475375
2013-04-04,304.44346741306157
2013-04-05,302.74592686132274
2013-04-08,303.9340112217213
2013-04-09,306.95745088568725
2013-04-10,307.96823210632544
2013-04-11,312.07911452077275
2013-04-12,309.37150330409327
2013-04-15,301.44871893100554
2013-04-16,299.9900810386669
2013-04-17,292.4984152804739
2013-04-18,291.7457652347075
2013-04-19,295.0449827318721
2013-04-22,291.38007467476484
2013-04-23,293.28032752452935
2013-04-24,294.27626573320543
2013-04-25,298.4685310549268
2013-04-26,299.201114714106
2013-04-29,297.8511354106841
2013-04-30,301.13853062644114
2013-05-01,300.871997039812
2013-05-02,300.96889015237383
2013-05-03,304.9073873148474
2013-05-06,302.856633076687
2013-05-07,303.37699476041206
2013-05-08,310.335048841744
2013-05-09,309.47570837959074
2013-05-10,308.16520029901
2013-05-13,310.486299831159
2013-05-14,310.9861191097933
2013-05-15,307.5638124369235
2013-05-16,312.26697090170796
2013-05-17,309.7399056967848
2013-05-20,311.2874903272502
2013-05-21,317.0678330260103
2013-05-22,317.05418133369386
2013-05-23,308.39733205110576
2013-05-24,307.9979544766044
2013-05-27,309.97839683418533
2013-05-28,312.21183496346794
2013-05-29,309.5099989869121
2013-05-30,313.31064935073675
2013-05-31,310.0167752280847
2013-06-03,312.29852886527516
2013-06-04,312.7710665680666
2013-06-05,309.4553995268045
2013-06-06,308.52123884374765
2013-06-07,310.7455274776754
2013-06-10,308.0421090786942
2013-06-11,301.7963089533879
2013-06-12,306.7652065189873
2013-06-13,304.5383922824858
2013-06-14,309.8166730652141
2013-06-17,312.1837961424008
2013-06-18,312.1232209360553
2013-06-19,313.2774999845579
2013-06-20,292.84693644774694
2013-06-21,289.13758716193973
2013-06-24,277.64566197454633
2013-06-25,281.27399183619156
2013-06-26,286.4631763471378
2013-06-27,290.8954920000222
2013-06-28,287.7448268498394
2013-07-01,292.3997960646343
2013-07-02,295.2403253889709
2013-07-03,290.24026906439593
2013-07-04,294.0253523809041
2013-07-05,289.2105250922313
2013-07-08,292.2921687591348
2013-07-09,289.5706993442518
2013-07-10,294.8271012226184
2013-07-11,302.62180459498825
2013-07-12,304.88593711352615
