Date,SWITZERLAND SMALL CAP
2015-01-12,299.3078206437798
2015-01-13,300.74170762821433
2015-01-14,298.3959226506364
2015-01-15,314.7812519440886
2015-01-16,319.5047564838328
2015-01-19,314.90149262759246
2015-01-20,314.73524216120387
2015-01-21,314.66839703154767
2015-01-22,317.1507950156641
2015-01-23,321.93169209699045
2015-01-26,319.4799694913795
2015-01-27,311.7942409688851
2015-01-28,312.57970091554034
2015-01-29,310.4787809772201
2015-01-30,313.8917534197752
2015-02-02,313.4069335974476
2015-02-03,312.5302480823127
2015-02-04,316.1477134211094
2015-02-05,317.17772448528456
2015-02-06,319.65697417564667
2015-02-09,320.5395454793529
2015-02-10,322.49836585254474
2015-02-11,321.84409712006027
2015-02-12,322.6121570794463
2015-02-13,324.0530651941292
2015-02-16,327.2605322078022
2015-02-17,325.2321465595197
2015-02-18,328.20783008364964
2015-02-19,326.98329954685823
2015-02-20,329.0802409098032
2015-02-23,330.57334846474185
2015-02-24,333.07407633300494
2015-02-25,333.6105519486899
2015-02-26,336.7386035052183
2015-02-27,341.435031720006
2015-03-02,340.5215054957835
2015-03-03,337.7865141346243
2015-03-04,340.50357358955176
2015-03-05,341.6950597883223
2015-03-06,343.3929553341739
2015-03-09,342.54055249337904
2015-03-10,338.6840487504666
2015-03-11,343.4920433655309
2015-03-12,343.70215512812877
2015-03-13,349.85312982776696
2015-03-16,349.2625099759429
2015-03-17,347.34269077998914
2015-03-18,349.31969697997346
2015-03-19,353.284219350838
2015-03-20,356.88527821692344
2015-03-23,357.84970133255496
2015-03-24,362.3031301468468
2015-03-25,356.2480850628964
2015-03-26,356.86311585736036
2015-03-27,356.6547183764905
2015-03-30,361.81713259986833
2015-03-31,362.13309765889704
2015-04-01,363.24919370527675
2015-04-02,364.85612322567783
2015-04-03,364.85612322567783
2015-04-06,362.5130766488843
2015-04-07,366.1371611329515
2015-04-08,368.0181219902061
2015-04-09,371.6793555731786
2015-04-10,373.808604332272
2015-04-13,376.7389060227572
