Date,HONG KONG SMALL CAP
2001-09-17,80.44943860334325
2001-09-18,79.19022323079862
2001-09-19,80.39118541008366
2001-09-20,79.4279947142619
2001-09-21,80.0273853508498
2001-09-24,82.25488270519674
2001-09-25,81.1741372489387
2001-09-26,81.93843482995679
2001-09-27,83.02621061792954
2001-09-28,85.74639363121659
2001-10-01,85.2874870350407
2001-10-02,85.24751489123244
2001-10-03,85.23051783513783
2001-10-04,89.07511329398669
2001-10-05,88.27449597147599
2001-10-08,86.55854243411443
2001-10-09,89.00095852718026
2001-10-10,89.54387538219386
2001-10-11,91.2896567163032
2001-10-12,89.63687789657963
2001-10-15,89.1014436781297
2001-10-16,89.63952250499429
2001-10-17,90.59628500279182
2001-10-18,89.57554554937214
2001-10-19,91.348869082016
2001-10-22,91.94992307672388
2001-10-23,93.79238402714495
