Date,CANADA SMALL CAP
2001-09-17,104.88967266140354
2001-09-18,105.14866999214497
2001-09-19,102.07875709518281
2001-09-20,98.90944062606985
2001-09-21,100.17957271135438
2001-09-24,100.20860017795873
2001-09-25,99.6180555947491
2001-09-26,99.70211604584074
2001-09-27,98.69508922704766
2001-09-28,101.68291278642603
2001-10-01,100.69350854936398
2001-10-02,100.92513215985532
2001-10-03,100.71492645479525
2001-10-04,103.12899563370667
2001-10-05,102.64652236532056
2001-10-08,102.77107730730285
2001-10-09,104.95713731863694
2001-10-10,105.81271885640503
2001-10-11,108.79592878589442
2001-10-12,107.70387121696521
2001-10-15,106.84800617961226
2001-10-16,107.54597993309233
2001-10-17,106.97389131360305
2001-10-18,106.49595981347342
2001-10-19,106.69834485520498
2001-10-22,106.86010452322589
2001-10-23,108.04419185526936
