Date,MALAYSIA IMI VALUE WEIGHTED
2013-01-24,7821.607542024153
2013-01-25,7778.6269808055085
2013-01-28,7786.717076469371
2013-01-29,7697.20430924724
2013-01-30,7587.534926347928
2013-01-31,7520.760098098933
2013-02-01,7453.767346056873
2013-02-04,7601.194463700361
2013-02-05,7609.73848157419
2013-02-06,7508.769096136714
2013-02-07,7610.738813057976
2013-02-08,7621.677927462931
2013-02-11,7622.532439525956
2013-02-12,7574.1291179336595
2013-02-13,7643.36987166751
2013-02-14,7701.669172452138
2013-02-15,7671.015309640689
2013-02-18,7627.184365146537
2013-02-19,7584.581453520705
2013-02-20,7603.264704627648
2013-02-21,7663.055584370852
2013-02-22,7765.499548589874
2013-02-25,7769.430530617259
2013-02-26,7829.996027693185
2013-02-27,7821.211150137645
2013-02-28,7935.087114603227
2013-03-01,7986.183882674732
2013-03-04,7938.741245608399
2013-03-05,7961.660961245839
2013-03-06,8031.628638557984
2013-03-07,7978.336611529616
2013-03-08,8066.319348465876
2013-03-11,8058.389905383258
2013-03-12,8069.341677972792
2013-03-13,8055.554151380518
2013-03-14,8012.0281930337915
2013-03-15,7901.222886219382
2013-03-18,7894.465474042132
2013-03-19,7986.385273828901
2013-03-20,7987.7793208558505
2013-03-21,8019.225536270675
2013-03-22,7965.36448886016
2013-03-25,8145.653004472325
2013-03-26,8202.665996240836
2013-03-27,8322.00922778493
2013-03-28,8328.646484227238
2013-03-29,8313.139491357628
2013-04-01,8304.725954926256
2013-04-02,8418.455027089403
2013-04-03,8429.029149530168
2013-04-04,8457.110353712207
2013-04-05,8443.942858905802
2013-04-08,8451.663420921986
2013-04-09,8506.707765219886
2013-04-10,8532.51956329126
2013-04-11,8525.8371917553
2013-04-12,8477.222260908424
2013-04-15,8462.828433823013
2013-04-16,8455.294692470929
2013-04-17,8613.122697189207
2013-04-18,8551.883746059899
2013-04-19,8537.852454468975
2013-04-22,8522.251359873217
2013-04-23,8476.645592625957
2013-04-24,8543.352555828329
2013-04-25,8585.116171436195
2013-04-26,8601.136384003226
2013-04-29,8530.908321894714
2013-04-30,8482.953832050038
2013-05-01,8477.166931080703
2013-05-02,8505.482031447667
2013-05-03,8448.230622893036
2013-05-06,9001.54989034605
2013-05-07,9121.077780038873
2013-05-08,9090.87801273359
2013-05-09,9104.01402880405
2013-05-10,9226.111849816773
2013-05-13,9299.997991000673
2013-05-14,9321.86303646706
2013-05-15,9370.20539555983
2013-05-16,9213.895839139976
2013-05-17,9281.579665987158
2013-05-20,9361.612431673548
