Date,NETHERLANDS IMI
1997-08-05,490.16964090591273
1997-08-06,497.16604736556246
1997-08-07,502.37827356659284
1997-08-08,498.9965084740813
1997-08-11,488.4119007317693
1997-08-12,490.31595654486927
1997-08-13,478.72882005825625
1997-08-14,473.36272733949625
1997-08-15,461.4137968103449
1997-08-18,470.79947321113985
1997-08-19,483.154746359524
1997-08-20,484.4746294879513
1997-08-21,483.8387205695478
1997-08-22,473.41188371389904
1997-08-25,476.57432679323847
1997-08-26,472.4365352597175
1997-08-27,470.2355779006737
1997-08-28,461.03299062478015
1997-08-29,455.91920363933156
1997-09-01,460.2904445180236
1997-09-02,475.55474426385825
1997-09-03,480.85630791808666
1997-09-04,474.691767569502
1997-09-05,479.4640369388103
1997-09-08,472.70049142547816
1997-09-09,468.5802453025526
1997-09-10,464.2597500422273
