Date,HUNGARY IMI
2013-07-04,562.7602029738929
2013-07-05,559.2686854115001
2013-07-08,570.7550935384688
2013-07-09,584.5211723401815
2013-07-10,587.1300528531169
2013-07-11,575.6907451138104
2013-07-12,585.4700405149349
2013-07-15,591.2015849968259
2013-07-16,588.8789811118106
2013-07-17,576.4587798722625
2013-07-18,553.1689255880276
2013-07-19,520.1700501412936
2013-07-22,523.6582835413332
2013-07-23,521.0762210127269
2013-07-24,535.3789291959935
2013-07-25,539.8184837235158
2013-07-26,536.589982209826
2013-07-29,522.9460558100743
2013-07-30,527.9828139791776
2013-07-31,538.0609284377155
2013-08-01,530.308421741465
2013-08-02,532.6771825628028
2013-08-05,529.2852690326472
2013-08-06,521.5677048447378
2013-08-07,522.6057815474197
2013-08-08,539.3635337538858
2013-08-09,537.7892080649785
2013-08-12,537.6492222573626
2013-08-13,532.0608473648823
2013-08-14,531.3398844876646
2013-08-15,516.8928133771864
2013-08-16,521.1174437489833
2013-08-19,519.3911819859734
2013-08-20,521.8671157353539
2013-08-21,512.2198851333517
2013-08-22,515.644789048869
2013-08-23,520.7904972925843
2013-08-26,520.3439047052883
2013-08-27,502.83684285038606
2013-08-28,512.3060324914919
2013-08-29,508.77009094251855
2013-08-30,510.5036818562891
2013-09-02,512.789994157163
2013-09-03,510.32651923131544
2013-09-04,507.60742832681296
2013-09-05,509.1380237589988
2013-09-06,505.64348296927903
2013-09-09,501.4087010075722
2013-09-10,513.4603852443018
2013-09-11,523.6862539627098
2013-09-12,514.5079895682857
2013-09-13,520.1065238628563
2013-09-16,530.2461749862151
2013-09-17,532.5547002544987
2013-09-18,528.7554441028183
2013-09-19,531.6107284506444
2013-09-20,518.852965060966
2013-09-23,517.0858851836523
2013-09-24,517.0734356034261
2013-09-25,521.7867440612173
2013-09-26,524.1685512213979
2013-09-27,525.1152300978807
2013-09-30,526.9367287430551
2013-10-01,529.8633287197364
2013-10-02,523.9556793855387
2013-10-03,519.0169908303209
2013-10-04,515.9288632977621
2013-10-07,512.8543473597647
2013-10-08,517.2605470201426
2013-10-09,510.37819532670676
2013-10-10,521.2868925911774
2013-10-11,520.8614387212824
2013-10-14,513.4537133736693
2013-10-15,520.4175616408223
2013-10-16,514.3355616373558
2013-10-17,516.4234543111946
2013-10-18,520.9896629865485
2013-10-21,530.9110095132829
2013-10-22,529.6000258580724
2013-10-23,530.7155333423625
2013-10-24,533.1926541652626
2013-10-25,532.0639589413296
2013-10-28,525.5022649384742
2013-10-29,525.8130956893424
2013-10-30,530.5390267280627
2013-10-31,527.5763395003117
2013-11-01,523.496088592262
2013-11-04,534.7346106969012
2013-11-05,533.2710854659191
2013-11-06,538.2832118245282
2013-11-07,524.0276418535084
2013-11-08,518.8632639537685
2013-11-11,509.60112521142906
2013-11-12,506.5977030502514
2013-11-13,498.32801024705117
2013-11-14,510.6292677817715
2013-11-15,511.8618365643259
2013-11-18,514.7037847405281
2013-11-19,507.96466314455256
2013-11-20,502.1157464575822
2013-11-21,506.2096239822276
2013-11-22,500.629484951314
2013-11-25,500.26235505412944
2013-11-26,487.0867031354215
2013-11-27,489.50164410778945
2013-11-28,490.4860589089805
2013-11-29,494.6835474589089
2013-12-02,490.45968718544475
2013-12-03,487.6623205847643
2013-12-04,490.02205345784284
2013-12-05,485.65118514804414
2013-12-06,484.29806445700245
2013-12-09,476.08486806858923
2013-12-10,477.9686554592691
2013-12-11,479.544847252674
2013-12-12,474.7975720455508
2013-12-13,480.5984143514897
2013-12-16,493.4619487753121
2013-12-17,491.277558519933
2013-12-18,491.27448638362046
2013-12-19,489.68186274933447
2013-12-20,483.2584667470967
2013-12-23,481.3248849055496
2013-12-24,482.5983713667885
2013-12-25,482.5983713667885
2013-12-26,482.6389131808268
2013-12-27,483.3231841950015
2013-12-30,488.93366611395044
2013-12-31,487.64990333824323
2014-01-01,487.64990333824323
2014-01-02,484.7863180919484
2014-01-03,486.42189275518456
2014-01-06,483.8672762116434
2014-01-07,484.38281540265933
2014-01-08,487.179487141091
2014-01-09,497.22625226223306
2014-01-10,502.36662005756017
2014-01-13,511.3328344180541
2014-01-14,511.0020405180401
2014-01-15,508.4630262777719
2014-01-16,508.2092341229014
2014-01-17,502.17623306229194
2014-01-20,501.17539807789086
2014-01-21,506.1960697485624
2014-01-22,510.05830400627343
2014-01-23,505.62021021210955
2014-01-24,489.67826331664287
2014-01-27,482.24294700200534
2014-01-28,481.77219681157777
2014-01-29,471.37304932778176
2014-01-30,471.31329690883325
2014-01-31,475.31811743376124
2014-02-03,464.94205115479764
2014-02-04,468.42403145505466
2014-02-05,464.24128346878103
2014-02-06,461.22383218770136
2014-02-07,457.9235925420071
2014-02-10,453.0114941317969
2014-02-11,458.7956146977564
2014-02-12,455.83625274372474
2014-02-13,449.9554374322518
2014-02-14,457.09780839790375
2014-02-17,459.60210587381744
2014-02-18,457.0138227115813
2014-02-19,451.72349411453786
2014-02-20,449.35525377574646
2014-02-21,452.88409250968596
2014-02-24,455.51199600488945
2014-02-25,445.20150962238506
2014-02-26,443.947875332575
2014-02-27,430.98765444546507
2014-02-28,441.5066152289917
2014-03-03,420.6990257092183
2014-03-04,441.2773909102827
2014-03-05,435.00894678461606
2014-03-06,433.27524364581376
2014-03-07,420.0362741070623
2014-03-10,411.74832944423014
2014-03-11,405.39393732748914
2014-03-12,400.1011002940473
2014-03-13,395.4198821858922
2014-03-14,396.5536048679571
2014-03-17,414.40119267867533
2014-03-18,422.08204669919286
2014-03-19,425.17176049292806
2014-03-20,421.22693521629543
2014-03-21,414.2270836234771
2014-03-24,416.69021853306407
2014-03-25,419.23456669570817
2014-03-26,423.93906771992584
2014-03-27,425.94928642968296
2014-03-28,439.4374556068896
2014-03-31,445.7147397441632
2014-04-01,449.3433896311793
2014-04-02,458.90669916987184
2014-04-03,462.29831066000594
2014-04-04,459.79060913462837
2014-04-07,461.581118520018
2014-04-08,463.2777901300697
2014-04-09,464.80416112704233
2014-04-10,465.9165496700469
2014-04-11,458.96294597778814
2014-04-14,453.46069916688384
2014-04-15,438.57537035600046
2014-04-16,438.90331412407124
2014-04-17,450.6380196625794
2014-04-18,450.6380196625794
2014-04-21,449.9271334846376
2014-04-22,456.832887645836
2014-04-23,451.17595888491456
2014-04-24,443.30122326744095
2014-04-25,440.3397839123459
2014-04-28,441.6966776353259
2014-04-29,445.8277866176287
2014-04-30,442.57026551334087
2014-05-01,443.4649238565981
2014-05-02,442.33995875183456
2014-05-05,439.75054467489343
2014-05-06,449.6886545790055
2014-05-07,461.6342162578603
2014-05-08,467.8405160270751
2014-05-09,467.8499532491902
2014-05-12,471.25474553286654
2014-05-13,467.0880593249426
2014-05-14,470.7372892429874
2014-05-15,467.2169959659108
2014-05-16,474.7122231609257
2014-05-19,479.5787127119571
2014-05-20,485.36367602338373
2014-05-21,490.23717005789865
2014-05-22,496.04947693109784
2014-05-23,501.2385649723998
2014-05-26,497.50794457936405
2014-05-27,494.3946141332963
2014-05-28,492.498388981845
2014-05-29,497.8929316087936
2014-05-30,503.95059419680786
2014-06-02,503.92533425066387
2014-06-03,494.6946730644912
2014-06-04,492.9137903984387
2014-06-05,490.75202355605103
2014-06-06,496.6161957882874
2014-06-09,494.3046587765709
2014-06-10,491.8574119043046
2014-06-11,487.39910917749256
2014-06-12,485.13378677483377
2014-06-13,480.623025637657
2014-06-16,481.3446022990642
