Date,AC ASIA PACIFIC EQUAL WEIGHTED
2020-06-16,5321.267258528249
2020-06-17,5337.637154246717
2020-06-18,5347.820520527851
2020-06-19,5377.849652930543
2020-06-22,5369.635043487001
2020-06-23,5414.936725335137
2020-06-24,5396.248060754778
2020-06-25,5347.302196621844
2020-06-26,5359.2310501847805
2020-06-29,5297.681480526632
2020-06-30,5348.504198999633
2020-07-01,5360.921295286146
2020-07-02,5454.015706857011
2020-07-03,5511.581744102534
2020-07-06,5685.601292388894
2020-07-07,5671.17706692101
2020-07-08,5719.140373054159
2020-07-09,5778.441207834854
2020-07-10,5710.10769067047
2020-07-13,5812.002961693788
2020-07-14,5752.156670562022
2020-07-15,5758.290818867869
2020-07-16,5622.061049
2020-07-17,5637.571978474014
2020-07-20,5712.888288766093
2020-07-21,5758.4121968114605
2020-07-22,5738.369071489538
2020-07-23,5746.832804426971
2020-07-24,5612.801445455613
2020-07-27,5634.830477621265
2020-07-28,5660.583224589784
2020-07-29,5702.163837251977
2020-07-30,5682.279158666141
2020-07-31,5677.705122059144
2020-08-03,5717.874186819406
2020-08-04,5777.8328702415365
2020-08-05,5840.6061952941445
2020-08-06,5854.742977773129
2020-08-07,5805.8339401117855
2020-08-10,5820.879122024988
2020-08-11,5837.71311430255
2020-08-12,5835.687211357911
2020-08-13,5862.910002196043
2020-08-14,5880.928888891403
2020-08-17,5933.234018562202
2020-08-18,5952.412761301443
2020-08-19,5915.896185972092
2020-08-20,5830.534864597706
2020-08-21,5868.961764539944
2020-08-24,5904.311672282339
2020-08-25,5929.394459046729
2020-08-26,5905.698783407296
2020-08-27,5903.319235337066
2020-08-28,5968.848809701353
2020-08-31,5926.940211084238
2020-09-01,5961.831669856269
2020-09-02,5974.5553270383325
2020-09-03,5961.281476240004
2020-09-04,5903.153108316547
2020-09-07,5860.871800313307
2020-09-08,5868.975568244646
2020-09-09,5792.1013193221825
2020-09-10,5792.576790019724
2020-09-11,5825.786594612212
2020-09-14,5883.5959948455375
2020-09-15,5912.055468767445
2020-09-16,5929.6671033541115
2020-09-17,5900.9085906646915
2020-09-18,5962.956473134272
2020-09-21,5895.5319221287045
2020-09-22,5833.824697444919
2020-09-23,5823.548596099901
2020-09-24,5701.915000342658
2020-09-25,5711.419438336061
2020-09-28,5767.579709123172
2020-09-29,5782.907920579608
2020-09-30,5767.92900888862
2020-10-01,5793.823116224756
2020-10-02,5775.27679680006
2020-10-05,5836.013732832681
2020-10-06,5867.114350007021
2020-10-07,5874.953864285457
2020-10-08,5905.807443531582
2020-10-09,5953.749229092684
2020-10-12,5999.309266758033
2020-10-13,6000.90157121687
2020-10-14,5983.514051302202
2020-10-15,5928.229597465885
2020-10-16,5917.105544029446
2020-10-19,5928.656631064491
