Date,RUSSIA IMI MOMENTUM
2000-04-20,1159.3731954317661
2000-04-21,1192.3385678887207
2000-04-24,1155.324332971614
2000-04-25,1194.2772199001415
2000-04-26,1246.9259718218896
2000-04-27,1228.0853540926998
2000-04-28,1279.8772735450711
2000-05-01,1279.9635728527342
2000-05-02,1280.001826629016
2000-05-03,1278.3064645985844
2000-05-04,1267.3307417356657
2000-05-05,1268.145923171843
2000-05-08,1288.6410653084345
2000-05-09,1289.1051232187954
2000-05-10,1276.608218768846
2000-05-11,1251.566754859112
2000-05-12,1234.740358802028
2000-05-15,1214.6984544789232
2000-05-16,1261.6511878320066
2000-05-17,1206.1784476640537
2000-05-18,1180.49396484157
2000-05-19,1086.8627932387808
2000-05-22,1048.4879924556078
2000-05-23,992.430394643422
2000-05-24,962.0728750696584
2000-05-25,1028.6123225838785
2000-05-26,1071.0867402233957
2000-05-29,1069.5280036017589
2000-05-30,1095.470544895109
2000-05-31,1099.8514140960044
2000-06-01,1135.3477022447842
2000-06-02,1179.5049514600425
2000-06-05,1172.7937615537796
2000-06-06,1131.7256349346076
2000-06-07,1136.6892437327635
2000-06-08,1154.220180942762
2000-06-09,1162.5775198781585
2000-06-12,1161.9863550468096
2000-06-13,1135.8028966109891
2000-06-14,1122.0134101320273
2000-06-15,1129.3060862347625
2000-06-16,1137.5368357528744
2000-06-19,1136.3532052170667
2000-06-20,1081.5162321342748
2000-06-21,1062.7985299781728
2000-06-22,1068.9457281767227
2000-06-23,1074.1464025112057
2000-06-26,1061.6767131047432
2000-06-27,1018.3390606131222
2000-06-28,994.682040879178
2000-06-29,955.5366007684606
2000-06-30,1004.6659680662015
2000-07-03,1026.5748176831723
2000-07-04,1045.332868381177
2000-07-05,1023.9721627634672
2000-07-06,1055.658664359283
2000-07-07,1069.601127643013
2000-07-10,1078.2982703842902
2000-07-11,1051.5621266170804
2000-07-12,1073.525981600943
2000-07-13,1078.0972271171095
2000-07-14,1094.871713841737
2000-07-17,1100.6877023487912
2000-07-18,1091.777129921585
2000-07-19,1090.6020065620685
2000-07-20,1096.053123496864
2000-07-21,1101.2433256346574
2000-07-24,1097.7884235260844
2000-07-25,1092.4675529247993
2000-07-26,1086.5519820770714
2000-07-27,1096.8493688338583
2000-07-28,1121.9796841354757
2000-07-31,1137.2889129023317
2000-08-01,1195.171694788524
2000-08-02,1212.3840767958982
2000-08-03,1207.9727278497287
2000-08-04,1263.418714025713
2000-08-07,1269.1593682384528
2000-08-08,1278.7270206851847
2000-08-09,1302.1606239136886
2000-08-10,1297.280005005293
2000-08-11,1329.3037180722213
2000-08-14,1369.1041996052559
2000-08-15,1370.8016255547718
2000-08-16,1335.9110122743934
2000-08-17,1321.763913783348
2000-08-18,1315.7735912624796
2000-08-21,1310.4240720186615
2000-08-22,1336.7712820212328
2000-08-23,1336.794831964485
2000-08-24,1400.4028800201306
2000-08-25,1418.8278656419773
2000-08-28,1412.8708062685762
2000-08-29,1454.7497127989234
2000-08-30,1423.2114120056433
2000-08-31,1417.8936130821432
2000-09-01,1403.962076491557
2000-09-04,1413.289771856436
2000-09-05,1422.4425975260892
2000-09-06,1424.4592820148882
2000-09-07,1387.1270082398457
2000-09-08,1360.681407815156
2000-09-11,1331.959828497268
2000-09-12,1330.7476844256812
2000-09-13,1288.3655424034346
2000-09-14,1305.722698128452
2000-09-15,1276.2489978572298
2000-09-18,1217.137686733645
2000-09-19,1227.528354667623
2000-09-20,1173.1310105870216
2000-09-21,1176.9806908424666
2000-09-22,1104.3470177142974
2000-09-25,1193.1572182508721
2000-09-26,1180.2647513251761
2000-09-27,1214.7515402494369
2000-09-28,1207.8191108638364
2000-09-29,1226.642842709924
2000-10-02,1234.1551043206973
2000-10-03,1280.6788887406917
2000-10-04,1233.34110802011
2000-10-05,1210.447203750263
2000-10-06,1192.992908732479
2000-10-09,1176.8555194260573
2000-10-10,1177.1144265261732
2000-10-11,1151.0845414986093
2000-10-12,1138.1246182861305
2000-10-13,1136.3834112456848
2000-10-16,1190.4303919153149
2000-10-17,1195.5367686060993
2000-10-18,1121.314997399578
2000-10-19,1180.0352373158512
2000-10-20,1216.6198522177642
2000-10-23,1208.300962337135
2000-10-24,1208.9560342074215
2000-10-25,1182.1569465794635
2000-10-26,1174.1273175133788
2000-10-27,1190.1720935083654
2000-10-30,1173.786496219899
2000-10-31,1187.189136820705
2000-11-01,1222.9125733965202
2000-11-02,1224.8439143725925
2000-11-03,1223.7884610705592
2000-11-06,1223.4817679627379
2000-11-07,1223.6224656599718
2000-11-08,1198.1162806139018
2000-11-09,1172.960651409942
2000-11-10,1156.7089598872417
2000-11-13,1137.8701183183132
2000-11-14,1169.4048325900358
