Date,KOREA IMI VALUE
1997-08-05,358.2725858648262
1997-08-06,359.42734830295
1997-08-07,359.31807462030605
1997-08-08,362.13073582240486
1997-08-11,369.35388370318833
1997-08-12,367.82712790261485
1997-08-13,366.0690633855714
1997-08-14,363.77325129322753
1997-08-15,363.77325129322753
1997-08-18,358.6447568680856
1997-08-19,354.0737522643362
1997-08-20,355.51995080222315
1997-08-21,351.91168675353316
1997-08-22,349.85398050318
1997-08-25,352.0217841818577
1997-08-26,350.0650917394037
1997-08-27,346.6932160120781
1997-08-28,341.5304599602646
1997-08-29,336.5589200866068
1997-09-01,325.0864852685562
1997-09-02,328.82631665950987
1997-09-03,327.25540578144097
1997-09-04,325.8950190269308
1997-09-05,334.09812579727054
1997-09-08,331.39477540558784
1997-09-09,327.0556468709435
