Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2011-11-30,1229.2140352893093
2011-12-01,1227.5822561010734
2011-12-02,1231.1998835615525
2011-12-05,1240.189584764827
2011-12-06,1230.307474609234
2011-12-07,1233.7640445530424
2011-12-08,1218.867393323166
2011-12-09,1232.1494941218707
2011-12-12,1209.2918963910522
2011-12-13,1206.892606211243
2011-12-14,1180.261282827985
2011-12-15,1194.2211264756065
2011-12-16,1193.748133582308
2011-12-19,1189.516095029783
2011-12-20,1210.0924632372414
2011-12-21,1204.1045132759805
2011-12-22,1215.8379067036753
2011-12-23,1224.6364642438398
2011-12-26,1225.3378533511232
2011-12-27,1227.3502737804438
2011-12-28,1212.3071666174296
2011-12-29,1220.3233672936776
2011-12-30,1235.6979759793576
2012-01-02,1245.0237471259948
2012-01-03,1264.205541321714
2012-01-04,1250.5648899343314
2012-01-05,1230.0023546265998
2012-01-06,1225.4206752478158
2012-01-09,1219.9574977498112
2012-01-10,1236.861614184818
2012-01-11,1223.8177743455205
2012-01-12,1225.8591855308835
2012-01-13,1210.7805640390195
2012-01-16,1217.8043950966633
2012-01-17,1231.5671418542568
2012-01-18,1235.7188876424086
2012-01-19,1243.8173186771164
2012-01-20,1241.8426885002084
2012-01-23,1255.958810865632
2012-01-24,1247.851847620347
2012-01-25,1241.140722192516
2012-01-26,1263.7228382888275
2012-01-27,1253.9366117955756
2012-01-30,1246.3054263192237
2012-01-31,1250.8979147865525
2012-02-01,1272.68608430921
2012-02-02,1269.3798020269396
2012-02-03,1280.1802698579738
2012-02-06,1278.8722383899146
2012-02-07,1291.277506970552
2012-02-08,1289.5282600686596
2012-02-09,1293.549926975347
2012-02-10,1275.082145235837
2012-02-13,1287.0564905738527
2012-02-14,1280.3784950743595
2012-02-15,1281.1917182001464
2012-02-16,1278.187102008964
2012-02-17,1292.2821562588515
2012-02-20,1306.1653852832114
2012-02-21,1305.0782589725632
2012-02-22,1296.1329068299065
2012-02-23,1300.8358503016552
2012-02-24,1312.961638077818
2012-02-27,1309.0198596309644
2012-02-28,1312.6139039026546
2012-02-29,1311.312534035395
2012-03-01,1316.3772096828538
2012-03-02,1305.421923010935
2012-03-05,1305.120949298082
2012-03-06,1272.8422820589326
2012-03-07,1275.445710418677
2012-03-08,1299.914622811641
2012-03-09,1293.9291595983118
2012-03-12,1291.8670676782224
2012-03-13,1307.1729601048921
2012-03-14,1301.7789514051917
2012-03-15,1307.790018530223
2012-03-16,1319.0728868753151
2012-03-19,1326.0986996221302
2012-03-20,1317.6160069875407
2012-03-21,1315.0155723434677
2012-03-22,1307.4116888926683
2012-03-23,1311.293160232141
2012-03-26,1325.7275082148196
2012-03-27,1319.8028243040578
2012-03-28,1308.404926526545
2012-03-29,1296.2156422772873
2012-03-30,1305.4904485801017
2012-04-02,1321.9396958142515
2012-04-03,1312.30130104562
2012-04-04,1276.0172880156852
2012-04-05,1272.1227496910503
2012-04-06,1272.3085966575354
2012-04-09,1271.4672636869227
2012-04-10,1252.2999780051261
2012-04-11,1259.5132373117735
2012-04-12,1271.1191740241188
2012-04-13,1252.4491018390659
2012-04-16,1256.754281841424
2012-04-17,1279.8746218236297
2012-04-18,1275.0963533623567
2012-04-19,1271.9280509266569
2012-04-20,1285.8938560582023
2012-04-23,1261.5772798539779
2012-04-24,1275.0180058465696
2012-04-25,1278.917545341671
2012-04-26,1283.6465029410533
