Date,UNITED ARAB EMIRATES DOMESTIC
2007-02-01,532.2192248376114
2007-02-02,532.2192248376114
2007-02-05,535.9093948106531
2007-02-06,537.7914716529039
2007-02-07,537.4631583080188
2007-02-08,534.8737586227861
2007-02-09,534.8883223236186
2007-02-12,534.9556334920015
2007-02-13,535.0509393845854
2007-02-14,538.4839488213576
2007-02-15,539.5766648079357
2007-02-16,539.5399394254327
2007-02-19,543.4766239217051
2007-02-20,548.4932569351645
2007-02-21,545.9947989934677
2007-02-22,544.6319240918333
2007-02-23,544.6319240918333
2007-02-26,544.3077409713594
2007-02-27,548.2555902320437
2007-02-28,546.0116746647224
2007-03-01,541.2412666783698
2007-03-02,541.2633777126183
2007-03-05,546.0608152002812
2007-03-06,542.804577923848
2007-03-07,539.2250830516746
2007-03-08,541.5450948210802
2007-03-09,541.5598433836527
2007-03-12,525.9159181301677
2007-03-13,529.1454083124662
2007-03-14,522.693679523672
2007-03-15,522.7381084995146
2007-03-16,522.7167548186119
2007-03-19,521.9913758366121
2007-03-20,514.0885963839759
2007-03-21,518.5975299397786
2007-03-22,513.558914140485
2007-03-23,513.558914140485
2007-03-26,503.7156328459858
2007-03-27,500.63722708925167
2007-03-28,504.80258693027133
2007-03-29,505.6571129764679
2007-03-30,505.6571129764679
2007-04-02,498.6540948620084
2007-04-03,497.38287134421745
2007-04-04,499.6623467262002
2007-04-05,511.8415954044013
2007-04-06,511.8415954044013
2007-04-09,518.7585280684979
2007-04-10,521.4843746825553
2007-04-11,526.3934685024299
2007-04-12,529.1595413509841
2007-04-13,529.1451300993984
2007-04-16,521.9090732006034
2007-04-17,527.4048426062186
2007-04-18,529.3619567831919
2007-04-19,531.3546101684199
2007-04-20,531.4197191759151
2007-04-23,532.5592500796567
2007-04-24,531.7807970320177
2007-04-25,528.44427214497
2007-04-26,527.0479287225108
2007-04-27,526.8827425272224
2007-04-30,523.7673827043059
2007-05-01,526.5268603649587
2007-05-02,526.6763751123377
2007-05-03,527.879308580378
2007-05-04,527.8936810515811
2007-05-07,541.9343583515698
2007-05-08,545.6992851150808
2007-05-09,553.9102944970476
2007-05-10,554.6473585244385
2007-05-11,554.6473585244385
2007-05-14,573.1288716054303
2007-05-15,578.6973525860377
2007-05-16,572.5138956573563
2007-05-17,564.2803321280808
2007-05-18,564.2342427177598
2007-05-21,569.9674701872359
2007-05-22,572.8111627587574
2007-05-23,583.2056237473388
2007-05-24,594.5751071058661
2007-05-25,594.5993972891779
2007-05-28,609.4063796601512
2007-05-29,614.8355250834035
2007-05-30,613.6862594371909
2007-05-31,610.8567113686357
2007-06-01,613.5546859057704
2007-06-04,614.8380356629463
2007-06-05,607.4641569101316
2007-06-06,605.4802652960971
2007-06-07,614.2487567325145
2007-06-08,614.2487567325145
2007-06-11,609.5402999942643
2007-06-12,611.8939957004734
2007-06-13,616.8884787499019
2007-06-14,616.6406281176694
2007-06-15,616.6238394157236
2007-06-18,616.2963712055448
2007-06-19,619.5159102794619
2007-06-20,618.2058695512707
2007-06-21,617.7342180187792
2007-06-22,617.7678577186155
2007-06-25,612.654776496103
2007-06-26,603.8288591415792
2007-06-27,607.0244356770281
2007-06-28,605.6585219694808
2007-06-29,605.6750121207795
2007-07-02,611.1843059294924
2007-07-03,620.8334209418531
2007-07-04,618.7972593434978
2007-07-05,617.1806652389679
2007-07-06,617.1806652389679
2007-07-09,625.0896188330862
2007-07-10,629.2714229342143
2007-07-11,625.230731974249
2007-07-12,624.5527108784506
2007-07-13,624.5697159212899
2007-07-16,624.338948199692
2007-07-17,616.304888241969
2007-07-18,606.2629088614473
2007-07-19,606.4815828860719
2007-07-20,606.4898400656508
2007-07-23,598.6748565965759
2007-07-24,604.0747197075648
2007-07-25,603.2398109186528
2007-07-26,601.7489730047272
2007-07-27,601.6506627342603
2007-07-30,579.896700760171
2007-07-31,588.0087495503265
2007-08-01,581.9999316552219
2007-08-02,582.8820123441153
2007-08-03,582.8661414603572
2007-08-06,583.7459477644753
2007-08-07,583.1367834600794
2007-08-08,585.3179926304275
2007-08-09,587.1728956499043
2007-08-10,587.1489140741082
2007-08-13,588.9950080260616
2007-08-14,587.8364025053693
2007-08-15,583.6395055499513
2007-08-16,574.6476455001439
2007-08-17,574.6554681991391
2007-08-20,566.5860558758119
2007-08-21,562.0816898705599
2007-08-22,550.2248591440847
2007-08-23,569.599112927288
2007-08-24,569.583604981007
2007-08-27,580.6265801663853
2007-08-28,585.4874242835128
2007-08-29,580.1053538155228
2007-08-30,580.9536504179028
2007-08-31,580.9536504179028
2007-09-03,583.0626489856475
2007-09-04,585.3372122155748
2007-09-05,582.6341179884259
2007-09-06,579.4912030062468
2007-09-07,579.6253353563197
