Date,SWEDEN VALUE WEIGHTED
2000-04-06,1856.7666726071634
2000-04-07,1869.0314622185358
2000-04-10,1876.2099426656614
2000-04-11,1838.6770646063396
2000-04-12,1811.334077711173
2000-04-13,1820.6767815341345
2000-04-14,1784.7684001093037
2000-04-17,1772.6112568578994
2000-04-18,1810.8187645009143
2000-04-19,1845.5593163263968
2000-04-20,1822.8352391403048
2000-04-21,1822.8352391403048
2000-04-24,1819.9682185510267
2000-04-25,1850.188889582147
2000-04-26,1888.4208148775194
2000-04-27,1906.4104850672397
2000-04-28,1931.7301729014625
2000-05-01,1937.1416493877925
2000-05-02,1967.627815898501
2000-05-03,1964.581300488799
2000-05-04,1968.3860481858715
2000-05-05,1955.5022970924183
2000-05-08,1929.1252988125582
2000-05-09,1908.9408356929785
2000-05-10,1872.855459827859
2000-05-11,1863.2538654239338
2000-05-12,1885.5901523907692
2000-05-15,1864.7604281917515
2000-05-16,1925.7031763239377
2000-05-17,1933.0113517713496
2000-05-18,1956.9835172098453
2000-05-19,1911.6426603474067
2000-05-22,1830.2933787808495
2000-05-23,1864.5331547435353
2000-05-24,1810.9569462222598
2000-05-25,1863.1275644120553
2000-05-26,1810.2099980358237
2000-05-29,1811.4888386217167
2000-05-30,1844.0068709070417
2000-05-31,1870.5770919871668
2000-06-01,1873.847009928225
2000-06-02,1904.5856030545067
2000-06-05,1882.9420600264073
2000-06-06,1872.7200077381442
2000-06-07,1869.8577329382408
2000-06-08,1853.649885050783
2000-06-09,1842.9024246559743
2000-06-12,1853.7528571189985
2000-06-13,1805.5973098996144
2000-06-14,1818.5314580166607
2000-06-15,1791.2641240875712
2000-06-16,1776.3175130049954
2000-06-19,1756.8630757379144
2000-06-20,1809.4107612948037
2000-06-21,1817.0310744486394
2000-06-22,1797.407558592492
2000-06-23,1794.5956874737412
2000-06-26,1805.3074833687715
2000-06-27,1766.5004440472728
2000-06-28,1794.5370684809704
2000-06-29,1770.3932722907555
2000-06-30,1805.665449326371
2000-07-03,1818.7590279637498
2000-07-04,1837.1003156381169
2000-07-05,1829.5621169061676
2000-07-06,1842.8301228905234
2000-07-07,1833.747796084996
2000-07-10,1834.4688204443548
2000-07-11,1834.610936645383
2000-07-12,1869.3534497113158
2000-07-13,1895.0474652173682
2000-07-14,1912.6159048245288
2000-07-17,1917.3930304190394
2000-07-18,1890.1227517376062
2000-07-19,1875.48215391667
2000-07-20,1875.442581470316
2000-07-21,1821.6694735101232
2000-07-24,1854.2457231673282
2000-07-25,1841.8886469225415
2000-07-26,1827.6657281423666
2000-07-27,1788.468705923293
2000-07-28,1807.499529528721
2000-07-31,1817.764833722597
2000-08-01,1803.3877805056895
2000-08-02,1810.6259977735701
2000-08-03,1783.001356453321
2000-08-04,1805.6043053480055
2000-08-07,1831.9150076694139
2000-08-08,1839.1226009586203
2000-08-09,1864.9396234349317
2000-08-10,1844.9414954956087
2000-08-11,1825.5624802291045
2000-08-14,1843.7383719136565
2000-08-15,1828.5133795010454
2000-08-16,1844.1475785090108
2000-08-17,1841.9570771584818
2000-08-18,1842.369951016633
2000-08-21,1851.1689259152595
2000-08-22,1861.1788644983033
2000-08-23,1851.243760707978
2000-08-24,1827.6911294475738
2000-08-25,1841.444785289856
2000-08-28,1841.4383186222674
2000-08-29,1827.0467807168545
2000-08-30,1838.3894013447343
2000-08-31,1848.1985308245041
2000-09-01,1850.9011049471962
2000-09-04,1872.77674485432
2000-09-05,1879.4227934484586
2000-09-06,1882.6580013661062
2000-09-07,1894.3086420227978
2000-09-08,1868.448204728798
2000-09-11,1834.7186718834255
2000-09-12,1831.831859545814
2000-09-13,1822.2245384723306
2000-09-14,1842.1624291665435
2000-09-15,1813.862567211826
2000-09-18,1797.7878127725482
2000-09-19,1804.5138748565862
2000-09-20,1797.1745999226778
2000-09-21,1770.8153529615413
2000-09-22,1765.8966157936918
2000-09-25,1763.295979656982
2000-09-26,1760.3240416928595
2000-09-27,1762.0892521675605
2000-09-28,1744.292987437572
2000-09-29,1761.9717777402261
2000-10-02,1767.1584981842243
2000-10-03,1780.696941560982
2000-10-04,1763.0079450576466
2000-10-05,1792.1442532161918
2000-10-06,1770.0891392889432
2000-10-09,1726.2553272626503
2000-10-10,1733.8250564961447
2000-10-11,1687.6189747316632
2000-10-12,1697.4290392402854
2000-10-13,1713.946651387965
2000-10-16,1733.7472110952517
2000-10-17,1723.0100298596774
2000-10-18,1688.4448335047468
2000-10-19,1722.859803910546
2000-10-20,1743.2253299658557
2000-10-23,1745.3953848084084
2000-10-24,1801.5925526203878
2000-10-25,1799.943654954427
2000-10-26,1783.651561484736
2000-10-27,1784.9640577258624
2000-10-30,1790.2740364535314
2000-10-31,1831.968717959538
2000-11-01,1831.052711892795
2000-11-02,1832.478644868921
2000-11-03,1833.5042061947631
2000-11-06,1825.7563984546769
2000-11-07,1826.9139272203658
2000-11-08,1828.9599495057498
2000-11-09,1808.6573341250207
2000-11-10,1787.6002963398562
2000-11-13,1752.669931478696
2000-11-14,1779.2683007779774
2000-11-15,1786.4768225649623
2000-11-16,1776.6062367768277
2000-11-17,1762.3182669886376
2000-11-20,1767.3287897567761
2000-11-21,1748.0449172532885
2000-11-22,1710.8786420270899
2000-11-23,1707.0948821527431
2000-11-24,1721.2334733246762
2000-11-27,1738.0251747643786
2000-11-28,1736.7442358541937
2000-11-29,1729.9891432155569
2000-11-30,1704.6596525829082
2000-12-01,1741.693210925792
2000-12-04,1719.4722724903033
2000-12-05,1761.7018786715262
2000-12-06,1781.8336691135928
2000-12-07,1771.4428566261695
2000-12-08,1798.9113151020285
2000-12-11,1826.9176250480843
2000-12-12,1828.33502747166
2000-12-13,1784.5740925679129
2000-12-14,1756.9273354026402
2000-12-15,1720.2232204399193
2000-12-18,1718.8428390889082
2000-12-19,1719.0317334381816
2000-12-20,1667.1093827178704
2000-12-21,1657.3385119210895
2000-12-22,1656.0789570325348
2000-12-25,1656.0789570325348
2000-12-26,1655.1139058325095
2000-12-27,1658.311562015537
2000-12-28,1670.2434066844594
2000-12-29,1663.555070990689
2001-01-01,1663.555070990689
2001-01-02,1642.1165392748665
2001-01-03,1577.6142223966108
2001-01-04,1674.3098594727292
2001-01-05,1700.056046177552
2001-01-08,1702.8840249611642
2001-01-09,1687.0385411101613
2001-01-10,1678.5747083299273
2001-01-11,1701.1415453809004
2001-01-12,1711.7645716956406
2001-01-15,1725.6582243424145
2001-01-16,1690.4468761955327
2001-01-17,1740.812810376108
2001-01-18,1751.4854827528698
2001-01-19,1765.8035565484463
2001-01-22,1749.4325907036618
2001-01-23,1726.1972781875368
2001-01-24,1752.3950673775355
2001-01-25,1769.0069837908113
2001-01-26,1738.0279480944685
2001-01-29,1753.5872954289089
2001-01-30,1776.9341624985275
2001-01-31,1810.1071854824477
2001-02-01,1796.1371055472655
2001-02-02,1771.0247610451593
2001-02-05,1735.6226926534664
2001-02-06,1762.8851512152237
2001-02-07,1749.1107148515919
2001-02-08,1747.916355352962
2001-02-09,1709.6754171260195
2001-02-12,1703.4899998816
2001-02-13,1700.8950894836921
2001-02-14,1662.324151478592
2001-02-15,1730.899594690853
2001-02-16,1695.069011723635
2001-02-19,1701.8589501692181
2001-02-20,1701.6753825816193
2001-02-21,1678.2166040164852
2001-02-22,1653.68255702086
2001-02-23,1633.7054516454057
2001-02-26,1672.5672272067084
2001-02-27,1680.8676682686778
2001-02-28,1677.104202106506
2001-03-01,1638.4364745790522
2001-03-02,1644.9033572178644
2001-03-05,1667.639837381853
2001-03-06,1701.1023538032885
2001-03-07,1709.4876667673484
2001-03-08,1697.2775237887877
2001-03-09,1678.0133964286927
2001-03-12,1601.3765914979479
2001-03-13,1577.7505369112553
2001-03-14,1538.2850389070566
2001-03-15,1560.7565007656483
2001-03-16,1500.7265593536206
2001-03-19,1472.8099662099262
2001-03-20,1487.6578614139985
2001-03-21,1449.6393824916574
2001-03-22,1368.5184169424094
2001-03-23,1420.0784220907506
2001-03-26,1485.452165734782
2001-03-27,1501.7952339896633
2001-03-28,1460.5668960932712
2001-03-29,1426.9760683200084
2001-03-30,1430.9311670309082
2001-04-02,1401.0003862089588
2001-04-03,1384.6595202505132
2001-04-04,1382.2160320367334
2001-04-05,1446.366768385579
2001-04-06,1432.517008088856
2001-04-09,1479.7031441544189
2001-04-10,1517.5642913369527
2001-04-11,1497.6429452431705
2001-04-12,1478.9148842419206
2001-04-13,1478.9148842419206
2001-04-16,1478.5551139150145
2001-04-17,1481.0210537400478
2001-04-18,1539.738942630142
2001-04-19,1588.9467931427923
2001-04-20,1545.9102675365702
2001-04-23,1513.203544403734
2001-04-24,1514.0072375022264
2001-04-25,1528.206573818292
2001-04-26,1539.9357281978805
2001-04-27,1573.0722026140143
2001-04-30,1607.3497057823865
2001-05-01,1605.563860259397
2001-05-02,1582.2340296746095
2001-05-03,1553.3602104417055
2001-05-04,1575.419151410651
2001-05-07,1604.167726605722
2001-05-08,1577.588347182459
2001-05-09,1567.0239418615083
2001-05-10,1609.1391374153623
2001-05-11,1605.4223471733778
2001-05-14,1598.408974697499
2001-05-15,1587.296892744853
2001-05-16,1581.969875094143
2001-05-17,1621.934956378352
2001-05-18,1654.7332756655403
2001-05-21,1682.570587173394
2001-05-22,1681.1135712138332
2001-05-23,1650.128163151
2001-05-24,1651.0438152186207
2001-05-25,1643.7978575201607
2001-05-28,1636.3342466021304
2001-05-29,1634.105004514783
2001-05-30,1603.4986002318212
2001-05-31,1596.661048962973
2001-06-01,1581.4286628174827
2001-06-04,1571.0626891037307
2001-06-05,1604.2413743954096
2001-06-06,1596.791824618036
2001-06-07,1564.279711892937
2001-06-08,1546.8742505034718
2001-06-11,1517.9396054227655
2001-06-12,1503.3845757412107
2001-06-13,1534.9150988980086
2001-06-14,1506.2282666332842
2001-06-15,1535.5001243214585
2001-06-18,1518.5189290477424
2001-06-19,1500.6882157414561
2001-06-20,1469.4585829370346
2001-06-21,1470.6732361376219
2001-06-22,1472.282033531147
2001-06-25,1485.6204338865102
2001-06-26,1472.4418460216457
2001-06-27,1484.7885970619768
2001-06-28,1527.6743882300998
2001-06-29,1535.4478401629722
2001-07-02,1554.865492979912
2001-07-03,1552.3222721840639
2001-07-04,1527.875124042021
2001-07-05,1506.0103305053578
2001-07-06,1443.12394077886
