Date,ACWI ex NEW ZEALAND
2019-12-31,3061.445111264355
2020-01-01,3061.446973072928
2020-01-02,3086.0449845444823
2020-01-03,3070.1549285951924
2020-01-06,3068.0266733734047
2020-01-07,3066.91790048808
2020-01-08,3070.6175264939443
2020-01-09,3091.812712821087
2020-01-10,3090.684298276053
2020-01-13,3106.3046627511353
2020-01-14,3106.6575943506195
2020-01-15,3108.7800277195106
2020-01-16,3125.834176419001
2020-01-17,3138.6228218533024
2020-01-20,3137.7844207308876
2020-01-21,3124.907399747092
2020-01-22,3128.1996775735847
2020-01-23,3119.8560581317097
2020-01-24,3106.655575343986
2020-01-27,3056.4345928938696
2020-01-28,3074.81401295598
2020-01-29,3074.5691099430046
2020-01-30,3064.7876548983327
2020-01-31,3027.6182108339353
2020-02-03,3037.174205186385
2020-02-04,3081.957517617932
2020-02-05,3108.020367879677
2020-02-06,3125.893154012404
2020-02-07,3109.132210376327
2020-02-10,3117.3260540439874
2020-02-11,3130.8706061515513
2020-02-12,3149.9671544139023
2020-02-13,3143.8090089814154
2020-02-14,3145.8106350766434
2020-02-17,3145.618995296741
2020-02-18,3131.0562882533445
2020-02-19,3145.238673537857
2020-02-20,3130.1032210975345
2020-02-21,3106.6426348283003
2020-02-24,3014.9434491077936
2020-02-25,2945.395208192343
2020-02-26,2928.7187468154343
2020-02-27,2832.4610135250314
2020-02-28,2783.005878311349
2020-03-02,2868.3587147760363
2020-03-03,2834.7894385926866
2020-03-04,2910.9632518630783
2020-03-05,2854.295217114091
2020-03-06,2795.9547715936674
2020-03-09,2598.401505402824
2020-03-10,2668.985092558861
2020-03-11,2571.8253294218193
2020-03-12,2327.4389591395566
2020-03-13,2450.670339740243
2020-03-16,2226.731675173415
2020-03-17,2304.7752128348075
2020-03-18,2188.0100509956956
2020-03-19,2195.222361769649
2020-03-20,2158.1943423188554
2020-03-23,2087.220342058966
2020-03-24,2262.609717897177
2020-03-25,2324.0722083092014
2020-03-26,2431.6633092001775
2020-03-27,2373.475638773844
2020-03-30,2421.787452014368
2020-03-31,2407.2385268923117
2020-04-01,2318.282712921331
2020-04-02,2346.9252092710603
2020-04-03,2314.925420972674
2020-04-06,2442.247333958832
2020-04-07,2466.142660984785
2020-04-08,2516.476753903899
2020-04-09,2556.3943050018006
2020-04-10,2558.0818398991737
2020-04-13,2538.988161491837
2020-04-14,2600.8549690335385
2020-04-15,2544.80873773025
2020-04-16,2548.5421179595905
2020-04-17,2615.017537805818
2020-04-20,2587.451692822059
2020-04-21,2509.7764264890143
2020-04-22,2554.7490790865977
2020-04-23,2562.989176075162
2020-04-24,2574.0918366761516
2020-04-27,2619.8191404689687
2020-04-28,2623.2419807964898
2020-04-29,2683.6062678550998
2020-04-30,2665.119866567374
2020-05-01,2607.5002547920894
2020-05-04,2589.7455462521125
2020-05-05,2615.910713138662
2020-05-06,2604.942825622598
2020-05-07,2626.302616214507
2020-05-08,2672.562076680485
2020-05-11,2672.76343115856
2020-05-12,2640.239184354507
2020-05-13,2599.5894476727667
2020-05-14,2598.9092284279423
2020-05-15,2609.136049502809
2020-05-18,2682.779080844459
2020-05-19,2678.5452302142635
2020-05-20,2716.0833284391506
2020-05-21,2695.292632158539
2020-05-22,2684.6222566324777
2020-05-25,2698.1977676492447
2020-05-26,2740.615632943777
2020-05-27,2766.876569426367
2020-05-28,2779.557539299129
2020-05-29,2781.057365547652
2020-06-01,2806.9557474241856
2020-06-02,2839.1484438200578
2020-06-03,2887.164321635065
2020-06-04,2883.1257085439042
2020-06-05,2943.2928731888737
2020-06-08,2969.3268341391777
2020-06-09,2955.688906303871
2020-06-10,2947.70706897162
2020-06-11,2812.145517620377
2020-06-12,2821.7679056058405
2020-06-15,2822.63460095589
2020-06-16,2885.4854798566917
2020-06-17,2885.6828427327814
2020-06-18,2883.61636480242
2020-06-19,2878.534571963739
2020-06-22,2888.6576130570006
2020-06-23,2914.6677561094552
2020-06-24,2849.3479989050093
2020-06-25,2862.46080583073
2020-06-26,2819.0865050014313
2020-06-29,2840.184781108087
2020-06-30,2869.7078046340125
2020-07-01,2882.9037773610435
