Date,ACWI ex COLOMBIA
2012-10-18,1585.2276838078183
2012-10-19,1565.9115349795723
2012-10-22,1564.6936146387613
2012-10-23,1541.0473115776308
2012-10-24,1539.4571692643553
2012-10-25,1544.4830856039844
2012-10-26,1540.2062108624623
2012-10-29,1536.7546696267048
2012-10-30,1542.8137359714926
2012-10-31,1542.6280933942305
2012-11-01,1555.6805795478488
2012-11-02,1549.0312404208141
2012-11-05,1545.8275122266334
2012-11-06,1555.293987774124
2012-11-07,1533.0130289614622
2012-11-08,1517.863968925022
2012-11-09,1516.5730412874875
2012-11-12,1514.5044938031897
2012-11-13,1510.7878392106963
2012-11-14,1495.6107171937501
2012-11-15,1491.0273370535872
2012-11-16,1489.6437060044525
2012-11-19,1519.9700942970128
2012-11-20,1520.775090910171
2012-11-21,1524.3588508042046
2012-11-22,1531.7453400980542
2012-11-23,1548.754021979847
2012-11-26,1546.3431097922467
2012-11-27,1543.255752280787
2012-11-28,1547.1366795080908
2012-11-29,1560.945754079484
2012-11-30,1562.4272110862762
2012-12-03,1561.4155827042773
2012-12-04,1561.0156523069188
2012-12-05,1564.6361360864328
2012-12-06,1569.3599353256093
2012-12-07,1571.6318065427622
2012-12-10,1573.954003874422
2012-12-11,1583.3300699040217
2012-12-12,1587.2984177165492
2012-12-13,1582.8942897615068
2012-12-14,1580.789177886702
2012-12-17,1590.4018250327529
2012-12-18,1604.8439651343003
2012-12-19,1607.242768265259
2012-12-20,1610.3340298635449
2012-12-21,1597.2898503193205
2012-12-24,1594.7222825659635
2012-12-25,1595.7888700430422
2012-12-26,1593.1134624499039
2012-12-27,1594.1617513918718
2012-12-28,1585.5565464335525
2012-12-31,1597.6802317985055
2013-01-01,1597.847059922144
2013-01-02,1632.398161478235
2013-01-03,1630.1924248175148
2013-01-04,1635.188631380783
2013-01-07,1631.4559798271662
2013-01-08,1625.6519448169038
2013-01-09,1631.369237235583
2013-01-10,1643.9598754599726
2013-01-11,1646.8267483189813
2013-01-14,1646.5467410596577
2013-01-15,1647.8711131827345
2013-01-16,1643.56020813343
2013-01-17,1651.4775383052654
2013-01-18,1655.0150898765169
2013-01-21,1656.0285364419503
2013-01-22,1660.511540993699
2013-01-23,1659.453712666542
2013-01-24,1661.9630950504077
2013-01-25,1671.0411626806863
2013-01-28,1667.1621315572654
2013-01-29,1676.7270604383161
2013-01-30,1675.3039182935402
2013-01-31,1671.3508752437185
2013-02-01,1683.8906896980927
2013-02-04,1666.1180592029355
