Date,ACWI ex TURKEY
1999-04-05,1053.0887150638687
1999-04-06,1059.5422672547727
1999-04-07,1067.0847405925633
1999-04-08,1079.3409813405904
1999-04-09,1080.6330534719445
1999-04-12,1084.873748794278
1999-04-13,1085.5060258090982
1999-04-14,1079.1212102676232
1999-04-15,1071.8673601256664
1999-04-16,1071.5777619988073
1999-04-19,1062.627726589463
1999-04-20,1061.2040727845433
1999-04-21,1071.5422791212334
1999-04-22,1083.9142008696717
1999-04-23,1086.4959288169248
1999-04-26,1090.4979868885257
1999-04-27,1097.8612237360016
1999-04-28,1092.303419791486
1999-04-29,1085.5334203496277
1999-04-30,1082.8503500021561
1999-05-03,1091.7766177994504
1999-05-04,1084.1832235031554
1999-05-05,1087.883432558761
1999-05-06,1089.0461071398406
1999-05-07,1089.8516977755014
1999-05-10,1090.0497245906772
1999-05-11,1092.2235174521556
1999-05-12,1091.761462242715
1999-05-13,1093.532973414494
1999-05-14,1075.8698782016113
1999-05-17,1066.7140393497482
1999-05-18,1068.3120969681943
1999-05-19,1072.5493082224934
1999-05-20,1072.83480733615
1999-05-21,1067.1458665480325
1999-05-24,1056.634936303114
1999-05-25,1043.616539425042
1999-05-26,1049.4724440329085
1999-05-27,1035.5688241260098
1999-05-28,1044.4914378448211
1999-05-31,1045.069531390333
1999-06-01,1045.5193252753
1999-06-02,1047.4594643863807
1999-06-03,1050.7850981770744
1999-06-04,1064.6001013880443
1999-06-07,1072.467730626197
1999-06-08,1071.4852016976745
1999-06-09,1074.1722879733131
1999-06-10,1068.4025352890703
1999-06-11,1070.1358379467533
1999-06-14,1063.754355079408
1999-06-15,1067.0370799895281
1999-06-16,1080.8833342310977
1999-06-17,1089.049288899647
1999-06-18,1092.1751697844345
1999-06-21,1097.9252387402978
1999-06-22,1092.3441098105045
1999-06-23,1084.655959443452
1999-06-24,1074.8768606615279
1999-06-25,1076.9593313234648
1999-06-28,1083.5018973974063
1999-06-29,1091.6512628191608
1999-06-30,1097.3301371724915
1999-07-01,1110.7329575271344
1999-07-02,1119.106105887076
1999-07-05,1127.2178580398888
1999-07-06,1124.1731557957237
1999-07-07,1122.3165629775037
1999-07-08,1118.4212126667303
1999-07-09,1122.2172093458119
1999-07-12,1120.7395719563444
1999-07-13,1115.2144342154077
1999-07-14,1120.5311092282475
1999-07-15,1132.0856848016183
1999-07-16,1132.665460158954
1999-07-19,1129.3921779295733
1999-07-20,1116.2377879660532
1999-07-21,1114.083556586884
1999-07-22,1101.6465570748965
1999-07-23,1092.4476663225828
1999-07-26,1088.7364418029204
1999-07-27,1096.1624462789568
1999-07-28,1100.9431724588335
1999-07-29,1089.7443957244348
1999-07-30,1091.9844620785525
1999-08-02,1088.634994837823
1999-08-03,1086.3811525661124
1999-08-04,1079.935939683041
1999-08-05,1074.1281649340933
1999-08-06,1066.2533084254815
1999-08-09,1064.1228357058726
1999-08-10,1053.9752595274558
1999-08-11,1060.9472127151068
1999-08-12,1067.832539381371
1999-08-13,1082.820869172793
1999-08-16,1090.3373599697488
1999-08-17,1094.3150150868128
1999-08-18,1092.6143616759537
1999-08-19,1088.39571183473
1999-08-20,1101.3735706751947
1999-08-23,1117.1534965599717
1999-08-24,1116.2390552718646
1999-08-25,1124.9615357070782
1999-08-26,1114.198244999413
1999-08-27,1108.9111350243716
1999-08-30,1100.7262691850842
1999-08-31,1090.865013006444
1999-09-01,1102.2701715471935
1999-09-02,1095.6650678527672
1999-09-03,1114.6949386935241
1999-09-06,1119.7215487421843
1999-09-07,1113.5317233125838
1999-09-08,1110.0228289452627
1999-09-09,1118.1442527952945
1999-09-10,1118.463386162812
1999-09-13,1115.529544281848
1999-09-14,1111.2019505610479
1999-09-15,1101.6441414137457
1999-09-16,1095.4158988984464
1999-09-17,1100.7763332389316
1999-09-20,1104.6309540693494
1999-09-21,1095.1398621715166
1999-09-22,1090.124900883359
1999-09-23,1078.1994327466152
1999-09-24,1069.4481474698375
1999-09-27,1072.479575090458
1999-09-28,1074.3841771307275
1999-09-29,1067.854584694403
1999-09-30,1078.6524101860928
1999-10-01,1080.0200072159967
1999-10-04,1091.572000322563
1999-10-05,1091.2164858213098
1999-10-06,1103.3439433074163
1999-10-07,1106.3340623677302
1999-10-08,1111.7803710801074
1999-10-11,1113.6745031813327
