Date,ACWI FM ex USA
2019-09-11,1135.052552881572
2019-09-12,1140.2944902877116
2019-09-13,1147.2269179781238
2019-09-16,1140.7215968070068
2019-09-17,1140.5906111532322
2019-09-18,1140.4178702276133
2019-09-19,1142.8420924132163
2019-09-20,1143.9295314645176
2019-09-23,1138.5503946228853
2019-09-24,1137.8661022164479
2019-09-25,1129.8533097643146
2019-09-26,1133.38783452929
2019-09-27,1132.7311706036637
2019-09-30,1129.8782950639593
2019-10-01,1124.4696503912817
2019-10-02,1108.3027016259537
2019-10-03,1108.2962297269958
2019-10-04,1113.1920277895404
2019-10-07,1116.591370872342
2019-10-08,1110.310589865474
2019-10-09,1111.339888209914
2019-10-10,1116.7183564603226
2019-10-11,1135.4703929499126
2019-10-14,1134.923279883174
2019-10-15,1143.446020387269
2019-10-16,1147.1069959842166
2019-10-17,1151.1323168614315
2019-10-18,1148.8129946018005
2019-10-21,1154.9239039235829
2019-10-22,1156.7862652208498
2019-10-23,1156.0614194941368
2019-10-24,1161.9919316724804
2019-10-25,1162.7838773046144
2019-10-28,1165.7483913210979
2019-10-29,1168.5059579318345
2019-10-30,1168.2814616489475
2019-10-31,1169.1522205385381
2019-11-01,1176.360690167498
2019-11-04,1185.4464093284396
2019-11-05,1187.1717899471462
2019-11-06,1187.8378214558516
2019-11-07,1190.6043857175393
2019-11-08,1186.2611648584684
2019-11-11,1182.8676929078454
2019-11-12,1185.3507068463832
2019-11-13,1178.903665813865
2019-11-14,1174.425531474128
2019-11-15,1182.9396659265901
2019-11-18,1186.1998195381977
2019-11-19,1187.1713371950266
2019-11-20,1180.3211500088714
2019-11-21,1175.9829345706032
2019-11-22,1177.558857953949
2019-11-25,1184.8319438590356
2019-11-26,1184.1160247551538
2019-11-27,1187.517491061109
2019-11-28,1186.029051888299
2019-11-29,1179.4904745312508
2019-12-02,1176.6186983014484
2019-12-03,1171.5441652614966
2019-12-04,1175.1272973079288
2019-12-05,1178.177499590216
2019-12-06,1185.0688576852535
2019-12-09,1186.6561309889098
2019-12-10,1184.831393217268
2019-12-11,1188.8565611646052
2019-12-12,1195.3808383683129
2019-12-13,1210.680224220466
2019-12-16,1218.1929181870053
2019-12-17,1221.4830071905237
2019-12-18,1220.6393194764012
2019-12-19,1220.7238281850316
2019-12-20,1223.033527302533
2019-12-23,1223.830726911055
2019-12-24,1224.470179622584
2019-12-25,1223.8423756626926
2019-12-26,1226.132212545206
2019-12-27,1233.7469810525258
2019-12-30,1230.9075506883746
2019-12-31,1230.5694302219838
2020-01-01,1230.568988778221
2020-01-02,1239.5574939643986
2020-01-03,1235.5489799399074
2020-01-06,1228.0580824461258
2020-01-07,1230.9416131991145
2020-01-08,1226.5393143695176
2020-01-09,1235.0925457609555
2020-01-10,1238.3229431395487
2020-01-13,1241.146503268335
2020-01-14,1243.684880338352
2020-01-15,1242.9168102759515
2020-01-16,1245.0411966084932
2020-01-17,1250.7820688391755
2020-01-20,1250.0345044568649
2020-01-21,1242.2065256394135
2020-01-22,1244.2073666207539
2020-01-23,1234.818281068097
2020-01-24,1237.0494763739223
2020-01-27,1216.2200670726475
2020-01-28,1217.0327951807417
2020-01-29,1217.9218754175065
2020-01-30,1203.8530889331787
2020-01-31,1197.680470569551
2020-02-03,1194.1009764683472
2020-02-04,1210.2206489680188
2020-02-05,1218.2419443515091
2020-02-06,1228.958054343878
2020-02-07,1222.2587893717766
2020-02-10,1217.7122646145203
2020-02-11,1226.5464126843422
2020-02-12,1233.391355151002
2020-02-13,1229.3950979992162
2020-02-14,1227.7005115739287
2020-02-17,1227.5312570752374
2020-02-18,1218.532210140702
2020-02-19,1223.2939052774893
2020-02-20,1215.2892345241503
2020-02-21,1211.2705550207738
2020-02-24,1181.7565923740535
2020-02-25,1166.036154098967
2020-02-26,1157.308452492568
2020-02-27,1136.0753315720397
2020-02-28,1103.13921947067
2020-03-02,1115.9572008638584
2020-03-03,1126.2633354535753
