Date,AC ASIA PACIFIC ex JAPAN GROWTH
2006-02-14,203.70025716654624
2006-02-15,202.20228855148412
2006-02-16,202.30482041748851
2006-02-17,202.6679991234852
2006-02-20,205.4181074681907
2006-02-21,205.281916728539
2006-02-22,204.12150528664793
2006-02-23,205.86041976311716
2006-02-24,205.3868698832446
2006-02-27,206.8861218047722
2006-02-28,206.50671357997453
2006-03-01,206.39805125403865
2006-03-02,208.0467873476321
2006-03-03,205.9470888015709
2006-03-06,206.16023764490365
2006-03-07,202.11721911332342
2006-03-08,199.7979691342261
2006-03-09,200.50467732878204
2006-03-10,200.64234997802598
2006-03-13,203.48336918502548
2006-03-14,202.84326418988238
2006-03-15,204.96779713009383
2006-03-16,205.7054263427709
2006-03-17,206.0237943789876
2006-03-20,206.93166750614114
2006-03-21,205.56829431884412
2006-03-22,203.8884859661231
2006-03-23,204.20851081391254
2006-03-24,204.45825753384082
2006-03-27,206.89145232207568
2006-03-28,207.7286437164832
2006-03-29,207.3739636317863
2006-03-30,209.6201329481615
2006-03-31,211.24025663499276
2006-04-03,215.01212115432958
2006-04-04,216.196436007313
2006-04-05,218.0396599174437
2006-04-06,221.30256517620808
2006-04-07,221.13777950754954
2006-04-10,219.88872002357573
2006-04-11,220.15647056866237
2006-04-12,217.50034527532046
2006-04-13,217.61203950559238
2006-04-14,218.94097404954388
2006-04-17,220.6449591376784
2006-04-18,223.17187301960735
2006-04-19,226.91912165413035
2006-04-20,226.59572349687255
2006-04-21,227.7830482811793
2006-04-24,227.37083400572075
2006-04-25,225.76892608194132
2006-04-26,229.23506993039106
2006-04-27,228.61610359713754
2006-04-28,226.9619946258102
2006-05-01,228.63572541404434
2006-05-02,229.93543811836545
2006-05-03,231.83913080257994
2006-05-04,231.17262701418062
2006-05-05,232.7038134096539
2006-05-08,237.1037968386161
2006-05-09,236.35748324335282
2006-05-10,236.93538882012962
2006-05-11,237.7060837618556
2006-05-12,235.12148805700065
2006-05-15,227.24646275776337
2006-05-16,225.52002102337354
2006-05-17,228.1390397713496
2006-05-18,221.4646490601431
2006-05-19,219.94614870256618
2006-05-22,213.01957076075382
2006-05-23,213.5227937347274
2006-05-24,213.17143241707637
2006-05-25,210.5845749217147
2006-05-26,214.07393778506292
2006-05-29,215.85420410518486
2006-05-30,215.39677100162487
2006-05-31,211.84496040722158
2006-06-01,210.58663262999724
2006-06-02,213.99202097520566
2006-06-05,213.763204001098
2006-06-06,210.95944880905023
2006-06-07,206.81440645212314
2006-06-08,198.96499412804667
2006-06-09,202.13577483142743
2006-06-12,201.30658518146703
2006-06-13,194.00112584495744
2006-06-14,194.78776692115548
2006-06-15,196.59507504711223
2006-06-16,203.68806660692442
2006-06-19,200.72994879044677
2006-06-20,197.46135819629617
2006-06-21,198.3371075948254
2006-06-22,202.75924699093432
2006-06-23,201.11448668422142
2006-06-26,201.56957790845112
2006-06-27,203.39536002360998
2006-06-28,201.03665229769132
2006-06-29,204.11125357689176
2006-06-30,211.61460795628713
2006-07-03,212.89305882523766
2006-07-04,213.764000400279
2006-07-05,211.30274577744834
2006-07-06,211.5170252257508
2006-07-07,212.87477542924907
2006-07-10,214.1087635912351
2006-07-11,212.85213060689603
2006-07-12,214.1579874110115
2006-07-13,212.01723351021403
2006-07-14,206.82356571612038
2006-07-17,203.76964821056274
2006-07-18,202.91377017125907
2006-07-19,201.980792114814
2006-07-20,208.6157742155143
2006-07-21,207.26328266964592
2006-07-24,205.5045792658629
2006-07-25,208.46588955036546
2006-07-26,208.55324235165486
2006-07-27,212.44528929025037
2006-07-28,211.74464401603703
2006-07-31,212.5900425262377
2006-08-01,211.0480597018488
2006-08-02,210.78426150752458
2006-08-03,211.3545842372634
2006-08-04,211.42148895793872
2006-08-07,210.96680417822054
2006-08-08,213.02120118820423
2006-08-09,213.88342149445367
2006-08-10,213.59034458850923
2006-08-11,213.29189829828826
2006-08-14,213.60071442716855
2006-08-15,213.1607355215965
2006-08-16,216.39192566739587
2006-08-17,219.33988662071374
2006-08-18,219.60557237306315
2006-08-21,218.277870050862
2006-08-22,219.61831719587207
2006-08-23,218.7825550948534
2006-08-24,215.906601789645
2006-08-25,215.81141837381702
2006-08-28,215.36261161580688
2006-08-29,218.38066523471036
2006-08-30,219.0481020242887
2006-08-31,220.48719635249049
2006-09-01,221.51216507083885
2006-09-04,224.66481439749361
2006-09-05,224.87864295643237
2006-09-06,223.37991533484777
2006-09-07,221.4622760257544
2006-09-08,220.90191721267934
2006-09-11,217.177448430419
2006-09-12,215.55743880051156
2006-09-13,217.65127312854045
2006-09-14,219.77188775908758
2006-09-15,219.74302247715244
2006-09-18,222.45873588121293
2006-09-19,222.6647667633341
2006-09-20,221.64614366108222
2006-09-21,223.19437473747564
2006-09-22,221.68931923329475
2006-09-25,221.37350193596637
2006-09-26,220.46967857398204
2006-09-27,223.9447970968552
2006-09-28,224.34728478519628
2006-09-29,224.29619243713935
2006-10-02,225.20377104149276
2006-10-03,225.15330448429106
2006-10-04,222.40827005047143
2006-10-05,225.61227661788632
2006-10-06,225.26754233435778
2006-10-09,223.31627724356053
2006-10-10,225.25444750782873
2006-10-11,225.65572518483043
2006-10-12,226.19637760480924
2006-10-13,229.06820898958625
2006-10-16,231.2095078458702
2006-10-17,230.31345149549554
2006-10-18,230.5068768729923
2006-10-19,229.94598919312244
2006-10-20,231.3516274296903
2006-10-23,230.64324983970457
2006-10-24,230.9225475893916
2006-10-25,232.05479841196254
2006-10-26,234.3722656950464
2006-10-27,234.52367504689485
2006-10-30,234.998322971294
2006-10-31,235.2455745986868
2006-11-01,237.15180316078738
2006-11-02,238.42642671889203
2006-11-03,238.63445594312654
2006-11-06,239.0388575761532
2006-11-07,241.59769687829754
