Date,AC EUROPE ESG LEADERS
2018-12-12,1085.7625725416945
2018-12-13,1083.542819344992
2018-12-14,1072.830722371295
2018-12-17,1063.3799180626906
2018-12-18,1057.3468480249028
2018-12-19,1065.9265370993512
2018-12-20,1051.5453912122882
2018-12-21,1050.0889333378411
2018-12-24,1045.387283617023
2018-12-25,1045.1874851167963
2018-12-26,1043.6276780604028
2018-12-27,1028.0437325077921
2018-12-28,1050.0301370315933
2018-12-31,1054.500065
2019-01-01,1054.500065
2019-01-02,1046.531909
2019-01-03,1039.8657063227602
2019-01-04,1068.4156148431239
2019-01-07,1073.0487648713597
2019-01-08,1079.4968107743146
2019-01-09,1092.9989259861466
2019-01-10,1096.650085653441
2019-01-11,1092.8181052690873
2019-01-14,1086.3576508940816
2019-01-15,1086.8024240387829
2019-01-16,1088.2136714235833
2019-01-17,1088.2918732996388
2019-01-18,1106.7513072574066
2019-01-21,1103.515261532898
2019-01-22,1099.9192981379483
2019-01-23,1102.451889697229
2019-01-24,1102.6682777224833
2019-01-25,1112.5852578370445
2019-01-28,1106.825173829169
2019-01-29,1112.78225816565
2019-01-30,1116.1618861108095
2019-01-31,1119.6923435335698
2019-02-01,1123.252957637828
2019-02-04,1120.0366962467
2019-02-05,1134.171144782938
2019-02-06,1132.646039090719
2019-02-07,1115.7741122569291
2019-02-08,1108.0911844641657
2019-02-11,1112.3421880091016
2019-02-12,1120.2868896698133
2019-02-13,1123.9447795470987
2019-02-14,1119.0761088497436
2019-02-15,1132.5291566956391
2019-02-18,1139.0583513076879
2019-02-19,1139.7758305655486
2019-02-20,1146.335698289237
2019-02-21,1145.9429175546531
2019-02-22,1148.146132932638
2019-02-25,1150.6859077853162
2019-02-26,1156.7887967748102
2019-02-27,1153.1638296308731
2019-02-28,1154.3328240675291
2019-03-01,1158.5544018953171
2019-03-04,1155.2557997441236
2019-03-05,1154.9595115132433
2019-03-06,1154.1958634520781
2019-03-07,1141.324530228233
2019-03-08,1132.70005321359
2019-03-11,1139.6337384890273
2019-03-12,1144.3537224834947
2019-03-13,1154.4050562906368
2019-03-14,1163.5778550705581
2019-03-15,1175.9033985929168
2019-03-18,1179.2734237202778
2019-03-19,1185.0478774891665
2019-03-20,1176.6285021364588
2019-03-21,1178.2629739257397
2019-03-22,1156.7369440779705
2019-03-25,1156.1220683521324
2019-03-26,1159.795351452646
2019-03-27,1157.0087091738374
2019-03-28,1153.237302152755
2019-03-29,1159.9247388251467
2019-04-01,1171.458890116633
2019-04-02,1172.340501611398
2019-04-03,1188.270610932168
2019-04-04,1184.9894301294544
2019-04-05,1186.2344491458844
2019-04-08,1188.0507627150723
2019-04-09,1183.0450741487166
2019-04-10,1184.9045473355293
2019-04-11,1187.7570995820288
2019-04-12,1193.0317771261707
2019-04-15,1195.104650073573
2019-04-16,1197.6913468102587
2019-04-17,1200.6024059471274
2019-04-18,1198.9887192270758
2019-04-19,1198.978660920622
2019-04-22,1198.9948866074287
2019-04-23,1197.99297405717
2019-04-24,1197.3705803124938
2019-04-25,1189.6166922933635
2019-04-26,1194.9802763395587
2019-04-29,1195.9028137061528
2019-04-30,1201.306851868083
2019-05-01,1205.00000601094
2019-05-02,1191.7838722476583
2019-05-03,1196.1257959412637
2019-05-06,1186.9984730543513
2019-05-07,1170.8798106680526
2019-05-08,1174.0655109178886
2019-05-09,1159.2542266139258
2019-05-10,1165.158172766546
2019-05-13,1152.986268469579
2019-05-14,1160.9656527736754
2019-05-15,1164.7518208835431
2019-05-16,1179.09250454792
2019-05-17,1173.6309104652742
2019-05-20,1163.0805006761027
2019-05-21,1172.4845992182911
2019-05-22,1169.7899846166572
2019-05-23,1152.653797839696
2019-05-24,1165.0054745413709
2019-05-27,1166.2061488519814
2019-05-28,1161.57169169832
2019-05-29,1142.2364273283542
2019-05-30,1147.095639656217
2019-05-31,1140.0690392943745
2019-06-03,1149.4002678353986
2019-06-04,1158.6193361367104
2019-06-05,1165.9486655571823
2019-06-06,1169.3874190169654
2019-06-07,1185.6495791903892
2019-06-10,1185.7662364182875
2019-06-11,1194.416222867203
2019-06-12,1193.4623633359226
2019-06-13,1190.5404034343928
2019-06-14,1181.3911573949147
2019-06-17,1180.2942538949712
2019-06-18,1195.4820945465858
2019-06-19,1198.767540492052
2019-06-20,1210.568058681697
2019-06-21,1209.7420896638628
2019-06-24,1214.9426635596217
2019-06-25,1211.8765095629376
2019-06-26,1208.2228964806925
2019-06-27,1207.3212658954124
2019-06-28,1217.6478296548728
2019-07-01,1221.397927489073
2019-07-02,1223.2836789616674
2019-07-03,1231.0836378439378
2019-07-04,1232.9234654571806
2019-07-05,1216.7661156985353
2019-07-08,1214.9727411951317
2019-07-09,1207.5231138512518
2019-07-10,1209.6073121126785
2019-07-11,1208.4052256719376
2019-07-12,1208.157178011616
2019-07-15,1212.1646133757351
2019-07-16,1212.7855864242977
2019-07-17,1209.2673003639882
2019-07-18,1204.1242407770612
2019-07-19,1203.699456664909
2019-07-22,1205.3129265731682
2019-07-23,1208.4986862467467
2019-07-24,1211.0237481744132
2019-07-25,1205.132486607597
2019-07-26,1203.5283375531883
2019-07-29,1205.8345721048634
2019-07-30,1189.0080162137183
2019-07-31,1189.7054137608225
2019-08-01,1188.223261622234
2019-08-02,1163.1613655422075
2019-08-05,1145.9820071195327
2019-08-06,1141.4290049415788
2019-08-07,1147.472627773761
2019-08-08,1164.6613036201175
2019-08-09,1155.3316526368337
2019-08-12,1154.9793168676506
2019-08-13,1158.058987709321
2019-08-14,1134.654617891918
2019-08-15,1128.3049937207809
2019-08-16,1141.7243951981545
2019-08-19,1152.8428521888027
2019-08-20,1145.7026739538558
2019-08-21,1159.2337313886462
2019-08-22,1154.1852986307529
2019-08-23,1148.4183141043661
2019-08-26,1149.390565051235
2019-08-27,1155.423292742862
2019-08-28,1150.916591132085
2019-08-29,1161.5736063440324
2019-08-30,1165.159960853273
2019-09-02,1164.6521602078117
2019-09-03,1161.900537650642
2019-09-04,1179.0114742724536
2019-09-05,1188.846878654878
2019-09-06,1193.2863267958076
2019-09-09,1190.9928589899155
2019-09-10,1190.4540142361886
2019-09-11,1196.1438084613483
2019-09-12,1201.7076665999111
2019-09-13,1212.2236081064013
2019-09-16,1198.2794072620566
2019-09-17,1204.585300690856
2019-09-18,1206.374866477945
2019-09-19,1213.285006342401
