Date,EM ASIA MINIMUM VOLATILITY (USD)
2010-11-25,4383.6482831539615
2010-11-26,4334.260010725222
2010-11-29,4366.909720520739
2010-11-30,4336.550586245486
2010-12-01,4403.844051303381
2010-12-02,4455.113293456921
2010-12-03,4462.494294393369
2010-12-06,4481.2140183684205
2010-12-07,4499.440492086347
2010-12-08,4465.50754545516
2010-12-09,4486.686451554212
2010-12-10,4461.611019001722
2010-12-13,4470.607427727766
2010-12-14,4494.084370871177
2010-12-15,4459.647796559928
2010-12-16,4443.343276801708
2010-12-17,4458.4359786848345
2010-12-20,4431.562041135278
2010-12-21,4460.012375719175
2010-12-22,4467.56077604854
2010-12-23,4478.305252678756
2010-12-24,4478.481000490008
2010-12-27,4495.559250928664
2010-12-28,4496.332260550612
2010-12-29,4527.439053826973
2010-12-30,4560.467385012298
2010-12-31,4573.761071843833
2011-01-03,4613.6759983815555
2011-01-04,4625.468306910045
2011-01-05,4603.770140200466
2011-01-06,4604.28287933518
2011-01-07,4569.389621955029
2011-01-10,4533.932377213538
2011-01-11,4546.109868564635
2011-01-12,4570.019947292585
2011-01-13,4579.46605226888
2011-01-14,4574.528157280305
2011-01-17,4538.266515717149
2011-01-18,4549.897372642551
2011-01-19,4569.988524809966
2011-01-20,4515.984712649738
2011-01-21,4473.528921874585
2011-01-24,4453.204256462044
2011-01-25,4474.258303530634
2011-01-26,4491.2208118444805
2011-01-27,4500.437274463377
2011-01-28,4483.225111007876
2011-01-31,4449.29525161908
2011-02-01,4445.65859779702
2011-02-02,4480.664536168093
2011-02-03,4482.238786468645
2011-02-04,4475.526939487087
2011-02-07,4478.936658190074
2011-02-08,4464.785952807427
2011-02-09,4422.871018384272
2011-02-10,4321.5745396064995
2011-02-11,4272.941235612765
2011-02-14,4330.772971629977
2011-02-15,4323.026876489198
2011-02-16,4336.578763412406
2011-02-17,4352.929284623472
2011-02-18,4405.263001937877
2011-02-21,4411.6774221541
2011-02-22,4325.338687488663
2011-02-23,4310.311738655613
2011-02-24,4252.083516059839
2011-02-25,4288.951089929236
2011-02-28,4310.525192602186
2011-03-01,4368.061895975566
2011-03-02,4346.187536776754
2011-03-03,4403.268514489283
2011-03-04,4465.7046697327205
2011-03-07,4439.9759863923755
2011-03-08,4466.103853762434
2011-03-09,4466.853154163161
2011-03-10,4424.536568197353
2011-03-11,4368.411498374207
2011-03-14,4387.553333979911
2011-03-15,4290.708497840664
2011-03-16,4329.421277545261
2011-03-17,4278.538034178112
2011-03-18,4297.202680447039
2011-03-21,4342.719252982478
2011-03-22,4370.935163822429
2011-03-23,4391.660084693756
2011-03-24,4419.298511620701
2011-03-25,4459.87898306882
2011-03-28,4444.297804018294
2011-03-29,4462.385081465795
2011-03-30,4515.875595446155
2011-03-31,4548.933575243239
2011-04-01,4587.136183041489
2011-04-04,4612.781803792823
2011-04-05,4615.534692669716
2011-04-06,4650.672602089687
2011-04-07,4656.894160032311
2011-04-08,4665.495036349092
2011-04-11,4650.0884898923105
2011-04-12,4594.176130746856
2011-04-13,4632.003870804847
2011-04-14,4637.328820218705
2011-04-15,4624.151891227646
2011-04-18,4623.539665059903
2011-04-19,4601.978182036645
2011-04-20,4696.415029133439
2011-04-21,4737.7823804176705
2011-04-22,4732.236137126466
2011-04-25,4728.990598119671
2011-04-26,4709.886527173747
2011-04-27,4729.379898911244
2011-04-28,4726.169423789501
2011-04-29,4723.397950937928
2011-05-02,4741.6939262350725
2011-05-03,4708.396527097146
2011-05-04,4681.7217148623695
2011-05-05,4671.720615658229
2011-05-06,4655.952005489566
2011-05-09,4670.3688541778665
2011-05-10,4683.977428052622
2011-05-11,4706.872928967546
2011-05-12,4638.037104895065
2011-05-13,4654.5074719181775
2011-05-16,4617.0947299878635
2011-05-17,4616.555117555051
2011-05-18,4635.715765430178
2011-05-19,4627.3567473564735
2011-05-20,4645.002942994009
2011-05-23,4545.314417523972
2011-05-24,4574.5021815884165
2011-05-25,4542.620628390736
2011-05-26,4595.637148335246
2011-05-27,4625.426052845032
2011-05-30,4628.204733619443
2011-05-31,4690.5926602738255
2011-06-01,4715.3845810162975
2011-06-02,4674.5228554382975
2011-06-03,4677.721896158006
2011-06-06,4673.316692665955
2011-06-07,4674.658182543619
2011-06-08,4634.641949808787
2011-06-09,4600.9855568492385
2011-06-10,4568.857003797147
2011-06-13,4556.074307610519
2011-06-14,4590.729930456613
2011-06-15,4597.695368279554
2011-06-16,4519.570509484705
2011-06-17,4515.559067079656
2011-06-20,4487.877318336066
2011-06-21,4538.662379425
2011-06-22,4556.195264778413
2011-06-23,4518.883609378644
2011-06-24,4568.89251946687
2011-06-27,4538.178313576441
2011-06-28,4548.660734025922
2011-06-29,4589.958467671829
2011-06-30,4651.827152502251
2011-07-01,4677.012848338025
2011-07-04,4740.615841144157
2011-07-05,4738.407005111099
2011-07-06,4730.224991586083
2011-07-07,4743.036486924497
2011-07-08,4763.007042146699
2011-07-11,4718.642513159522
2011-07-12,4615.877305058592
2011-07-13,4667.142015770898
2011-07-14,4668.24405113785
2011-07-15,4681.07022256458
2011-07-18,4661.258138980675
2011-07-19,4673.783460383075
2011-07-20,4723.800045379305
2011-07-21,4716.189008076848
2011-07-22,4768.527701493058
2011-07-25,4736.033713930978
2011-07-26,4772.391888439612
2011-07-27,4785.61098243128
2011-07-28,4772.135441295265
2011-07-29,4746.533931347767
2011-08-01,4801.448143242833
2011-08-02,4744.655260036202
2011-08-03,4670.022598701047
2011-08-04,4637.040632625506
2011-08-05,4477.0934987910905
2011-08-08,4336.322693282031
2011-08-09,4202.9738908373
2011-08-10,4275.217033339245
2011-08-11,4289.154090930022
2011-08-12,4281.959257047186
2011-08-15,4357.291275072147
2011-08-16,4389.919789205518
2011-08-17,4404.559605406251
2011-08-18,4381.722888929665
2011-08-19,4260.922987155325
2011-08-22,4239.806733295737
2011-08-23,4308.82219504111
2011-08-24,4253.05123290473
2011-08-25,4250.457914127636
2011-08-26,4248.275976561583
2011-08-29,4306.936144068661
2011-08-30,4336.262169278686
2011-08-31,4405.445614464851
2011-09-01,4416.365081112723
2011-09-02,4408.034280886886
2011-09-05,4317.374016145812
2011-09-06,4274.819959681874
2011-09-07,4355.819880527554
2011-09-08,4356.751930704673
2011-09-09,4327.834246294137
2011-09-12,4253.027602974268
2011-09-13,4204.314530783883
2011-09-14,4129.717486720156
2011-09-15,4174.044464365143
2011-09-16,4232.329333011364
2011-09-19,4134.400262773394
2011-09-20,4140.123761791044
2011-09-21,4138.467694893216
2011-09-22,3955.944135262997
2011-09-23,3862.44422535943
2011-09-26,3767.325378384703
2011-09-27,3914.949006911673
2011-09-28,3936.5214992240003
2011-09-29,3948.870564647626
2011-09-30,3930.3170855861
2011-10-03,3814.845429514474
2011-10-04,3756.2863997180043
2011-10-05,3758.596444751895
2011-10-06,3868.391343896274
2011-10-07,3933.1524536272145
2011-10-10,3948.7133114695825
2011-10-11,4020.065466477385
2011-10-12,4043.6637476765773
2011-10-13,4086.320863771202
2011-10-14,4082.5913516067967
2011-10-17,4160.820509586179
2011-10-18,4065.454512247577
2011-10-19,4105.395660080285
2011-10-20,4023.996908228349
2011-10-21,4021.446735497576
2011-10-24,4133.571922255344
2011-10-25,4182.883344239038
2011-10-26,4197.157262964649
2011-10-27,4268.693401318965
2011-10-28,4321.588187838713
2011-10-31,4293.915159038655
2011-11-01,4227.855921554075
2011-11-02,4236.207719977104
2011-11-03,4187.021728519308
2011-11-04,4283.2607766604515
2011-11-07,4272.277697589793
2011-11-08,4274.431930390584
2011-11-09,4292.09326762692
2011-11-10,4147.075035020364
2011-11-11,4188.120491808109
2011-11-14,4252.975005003307
2011-11-15,4236.757228119422
2011-11-16,4185.277010848499
2011-11-17,4180.971884188721
2011-11-18,4093.637665020286
2011-11-21,4029.2796575710518
2011-11-22,4042.4378966353515
2011-11-23,3973.587084985503
2011-11-24,3996.079393079736
2011-11-25,3947.5277048724965
2011-11-28,4010.052081999327
2011-11-29,4063.8343183334696
2011-11-30,4060.2722041436896
2011-12-01,4189.090992809668
2011-12-02,4208.859784652041
2011-12-05,4208.831081139844
2011-12-06,4166.546353979812
2011-12-07,4212.01996722566
2011-12-08,4203.651923764016
2011-12-09,4126.755214450498
2011-12-12,4143.738263333363
2011-12-13,4109.240567258883
2011-12-14,4099.56715304728
2011-12-15,4037.187150180579
2011-12-16,4075.400732130686
2011-12-19,4009.1414113210717
2011-12-20,4024.067920646381
2011-12-21,4139.333451926291
2011-12-22,4137.385782273398
2011-12-23,4178.187436050176
2011-12-26,4169.745613282907
2011-12-27,4149.024070624737
2011-12-28,4128.68224347249
2011-12-29,4129.686930528142
2011-12-30,4138.708943004243
2012-01-02,4122.19096868265
2012-01-03,4178.42975088009
2012-01-04,4172.660529313869
2012-01-05,4172.26170816322
2012-01-06,4137.278166218911
2012-01-09,4150.603868561798
2012-01-10,4204.90462752348
2012-01-11,4198.926633863957
2012-01-12,4202.399796921424
2012-01-13,4222.682202910387
2012-01-16,4174.696981342369
2012-01-17,4256.94652581822
2012-01-18,4257.471549509253
2012-01-19,4292.531759222812
2012-01-20,4307.893920376195
2012-01-23,4311.635340585612
2012-01-24,4315.578630211569
2012-01-25,4323.878462295951
2012-01-26,4352.438095376075
2012-01-27,4371.604026965565
2012-01-30,4347.337514167429
2012-01-31,4419.9555619905395
2012-02-01,4410.7042466130715
2012-02-02,4475.523902556449
2012-02-03,4488.778648135295
2012-02-06,4487.874100384236
