Date,EM EASTERN EUROPE ex RUSSIA IMI
2009-03-04,343.05005048804685
2009-03-05,332.50974965735224
2009-03-06,340.4591839177445
2009-03-09,340.32004879230436
2009-03-10,351.5066690615148
2009-03-11,358.55155407818154
2009-03-12,360.6010910473513
2009-03-13,367.0982146391636
2009-03-16,375.02322390288845
2009-03-17,362.5669547015507
2009-03-18,358.55841734702403
2009-03-19,367.2697599953235
2009-03-20,374.98472046827754
2009-03-23,385.8310819824459
2009-03-24,387.7655299254063
2009-03-25,403.48012898783645
2009-03-26,403.08237357785623
2009-03-27,386.8188318140701
2009-03-30,366.0826958770795
2009-03-31,372.336432087203
2009-04-01,380.8723398066946
2009-04-02,415.77225202874007
2009-04-03,421.0668612880053
2009-04-06,428.61021870424753
2009-04-07,416.3331932249296
2009-04-08,434.13690803063685
2009-04-09,457.0261390308403
2009-04-10,455.17676649199456
2009-04-13,455.0077399116533
2009-04-14,456.49747206446415
2009-04-15,455.6304797341745
2009-04-16,457.09544662617986
2009-04-17,447.18211585214317
2009-04-20,429.4476064952807
2009-04-21,425.6727420586569
2009-04-22,434.48133232466813
2009-04-23,433.5230178883773
2009-04-24,443.31675634273694
2009-04-27,435.4782351296445
2009-04-28,430.5712137023828
2009-04-29,452.907497084431
2009-04-30,463.06358770191474
2009-05-01,466.3499997726561
2009-05-04,485.4253099269208
2009-05-05,486.8933382572706
2009-05-06,485.87767894053695
2009-05-07,493.2491033262334
2009-05-08,495.6612241480771
2009-05-11,486.57901490599
2009-05-12,493.7671727569541
2009-05-13,474.04489836749906
2009-05-14,470.51057939559496
2009-05-15,475.83269413479036
2009-05-18,489.79398708617174
2009-05-19,502.09868282729394
2009-05-20,515.5670401933327
2009-05-21,497.85985583771395
2009-05-22,494.314855216686
2009-05-25,494.32183097797935
2009-05-26,493.9230674865932
2009-05-27,498.7076700589851
2009-05-28,487.0862663620634
2009-05-29,476.25336157072445
2009-06-01,503.35997126174436
2009-06-02,511.171310685473
2009-06-03,498.3409986666869
2009-06-04,502.8956426422863
2009-06-05,505.7428781583599
2009-06-08,499.96744984134835
2009-06-09,515.0864612154804
2009-06-10,525.3352692156819
2009-06-11,527.6554156386283
2009-06-12,530.2663059576763
2009-06-15,514.6954021216101
2009-06-16,514.1282294253159
2009-06-17,503.30552449673985
2009-06-18,503.7572086757931
2009-06-19,513.1485069314953
2009-06-22,487.8158797496001
2009-06-23,483.89404207011944
2009-06-24,496.6227046296664
2009-06-25,492.6539521703167
2009-06-26,496.66756421645806
2009-06-29,501.32167850863755
2009-06-30,499.0962808596738
2009-07-01,512.1920124551556
2009-07-02,501.9286589324787
2009-07-03,498.22608519591665
2009-07-06,492.2923522160809
2009-07-07,492.240216948453
2009-07-08,487.8605885553759
2009-07-09,494.7186257576177
2009-07-10,488.85105239649374
2009-07-13,494.5135305826113
2009-07-14,518.776237525612
2009-07-15,535.7810135163444
2009-07-16,529.6481268368208
2009-07-17,526.6377450721029
2009-07-20,550.447689067536
