Date,EM ASIA IMI WITH PARTIAL A SHARES
2015-04-30,3561.309896483618
2015-05-28,3592.1417568039483
2015-05-29,3572.7517578044576
2015-06-29,3313.916538834956
2015-06-30,3364.4199197046023
2015-07-30,3156.9933544898568
2015-07-31,3134.549638410206
2015-08-28,2800.641932597721
2015-08-31,2799.4289685843883
2015-09-29,2715.8066813337246
2015-09-30,2775.58083385964
2015-10-29,3044.929838036659
2015-10-30,3018.9425021751204
2015-11-27,3086.418862222836
2015-11-30,3065.651106381847
2015-12-30,2942.3857062240654
2015-12-31,2964.1877107560626
2016-01-28,2643.0613759346684
2016-01-29,2733.9892488868404
2016-02-26,2685.4678005898263
2016-02-29,2686.5540527231287
2016-03-30,2845.3556871657015
2016-03-31,2847.040313338657
2016-04-28,2855.6387614330674
2016-04-29,2804.9063996667182
2016-05-30,2833.0044033917056
2016-05-31,2846.4910730238958
2016-06-29,2888.259843885648
2016-06-30,2927.706350249972
2016-07-28,3091.295323181568
2016-07-29,3041.51332880404
2016-08-30,3172.0224397150814
2016-08-31,3168.616312662905
2016-09-29,3216.5684105517144
2016-09-30,3179.3986393553196
2016-10-28,3223.2488018173976
2016-10-31,3208.046419871281
2018-03-30,3873.2136191802138
2018-04-11,3896.055322186497
2018-04-12,3906.1501398443856
2018-04-13,3893.7675136487974
2018-04-16,3860.2388439362817
2018-04-17,3849.301695896242
2018-04-18,3860.6935245676427
2018-04-19,3904.381474398664
2018-04-20,3880.040697377315
2018-04-23,3865.9419158555284
2018-04-24,3862.724306382073
2018-04-25,3835.9338446721017
2018-04-26,3851.646957701171
2018-04-27,3894.8742978260902
2018-04-30,3944.97911346368
2018-05-01,3977.832381828312
2018-05-02,3963.8708605956704
2018-05-03,3931.5714576378
2018-05-04,3919.618348552545
2018-05-07,3946.645644157132
2018-05-08,3987.4428104362332
2018-05-09,3983.2006081015697
2018-05-10,4003.269721583048
2018-05-11,4009.8209857648853
2018-05-14,4023.5878679162115
2018-05-15,4015.4459252904526
2018-05-16,4044.5456597840257
2018-05-17,4023.4438424250093
2018-05-18,4027.245164411624
2018-05-21,4031.5918456839113
2018-05-22,4026.001031283507
2018-05-23,4031.0024674801184
2018-05-24,4036.1949271645253
2018-05-25,4074.1866775064213
2018-05-28,4108.876851047783
2018-05-29,4092.712998316585
2018-05-30,4018.543614703646
2018-05-31,4038.407064951922
