Date,EM LATIN AMERICA SMALL GROWTH
2000-03-15,303.9023029340066
2000-03-16,302.53168544647986
2000-03-17,305.2237467881554
2000-03-20,306.28903398276304
2000-03-21,306.0229108902138
2000-03-22,310.3713426535039
2000-03-23,307.3920269756948
2000-03-24,304.5617586616678
2000-03-27,301.6102370942687
2000-03-28,302.16723151219674
2000-03-29,305.1443853382426
2000-03-30,303.9600752766945
2000-03-31,306.64584662941894
2000-04-03,304.86168137800036
2000-04-04,301.29461778893386
2000-04-05,297.4159440002488
2000-04-06,300.45148762732305
2000-04-07,302.05269938215713
2000-04-10,299.7492239308197
2000-04-11,296.8332616206988
2000-04-12,296.72537725096043
2000-04-13,292.8777433651178
2000-04-14,285.8768499441149
2000-04-17,283.8877289162814
2000-04-18,290.32382528865867
2000-04-19,290.6097026340518
2000-04-20,292.2085025810688
2000-04-21,292.40845060711587
2000-04-24,291.1377504822556
2000-04-25,297.4527357254638
2000-04-26,297.43972674405154
2000-04-27,300.94006784907293
2000-04-28,304.7445864703097
2000-05-01,306.22434635685573
2000-05-02,303.99854357581444
2000-05-03,305.0940503865349
2000-05-04,305.5370035992203
2000-05-05,306.27937386167383
2000-05-08,301.405895404689
2000-05-09,297.7983143107809
2000-05-10,292.0714210448594
2000-05-11,293.7300239360731
2000-05-12,291.29990775564283
2000-05-15,293.59804053797814
2000-05-16,298.4527974319922
2000-05-17,300.4623516529302
2000-05-18,296.9411066893285
2000-05-19,291.9849917377462
2000-05-22,284.27430594481064
2000-05-23,281.1685489354648
2000-05-24,282.50737163403517
2000-05-25,281.13357915309933
2000-05-26,277.06413289011726
2000-05-29,277.83618124696375
2000-05-30,278.8662892451591
2000-05-31,282.2696527828106
2000-06-01,284.98586480217733
2000-06-02,284.07563607545524
2000-06-05,283.92314345477155
2000-06-06,276.47222412796873
2000-06-07,277.05796299422866
2000-06-08,276.4634115917169
2000-06-09,278.27387820362037
2000-06-12,278.1675954055899
2000-06-13,274.6522833453982
2000-06-14,275.63097716517206
2000-06-15,277.42989769432666
2000-06-16,275.5337893353896
2000-06-19,276.90998638044897
2000-06-20,278.97004337292054
2000-06-21,281.4378099151787
2000-06-22,281.7822988767285
2000-06-23,281.16026801406537
2000-06-26,280.0708508993628
2000-06-27,278.5929120311367
2000-06-28,277.8096137443658
2000-06-29,276.13234346124943
2000-06-30,277.5587458539444
2000-07-03,283.12594020551387
2000-07-04,285.7650471315158
2000-07-05,284.7821764529324
2000-07-06,287.83093708874463
2000-07-07,294.26155511230013
2000-07-10,294.6489073544255
2000-07-11,293.0666510946361
2000-07-12,296.61686956884176
2000-07-13,296.943817112305
2000-07-14,298.1479465537475
2000-07-17,301.4897071296465
2000-07-18,301.859996327308
2000-07-19,302.2086158453166
2000-07-20,303.9197065181919
2000-07-21,305.0160225303882
2000-07-24,305.7383361708642
2000-07-25,301.02840566598644
2000-07-26,298.68509612135756
2000-07-27,300.22752292822366
2000-07-28,301.45796580703615
2000-07-31,303.3581075501127
2000-08-01,299.80392209536313
2000-08-02,303.88924214706884
2000-08-03,308.90050334204216
2000-08-04,309.02130865101833
2000-08-07,307.72509461740333
2000-08-08,311.60967213406394
2000-08-09,311.9698522778442
2000-08-10,308.90416696187276
2000-08-11,311.48081928583963
2000-08-14,312.87694145268216
2000-08-15,310.5319852661244
2000-08-16,309.2709996248048
2000-08-17,312.75930436375023
2000-08-18,316.88101138721765
2000-08-21,317.1534024627945
2000-08-22,320.5473627154504
2000-08-23,322.421222991116
2000-08-24,317.6188533119379
2000-08-25,315.92253733413787
2000-08-28,318.35577202852147
2000-08-29,317.507782695958
2000-08-30,317.3743909217522
2000-08-31,319.4277872176969
2000-09-01,318.42828830816603
2000-09-04,319.09758598286845
2000-09-05,320.974651107817
2000-09-06,325.2586198767325
2000-09-07,328.370606612744
2000-09-08,329.4393453487502
2000-09-11,331.59391890264465
2000-09-12,329.714463950005
2000-09-13,326.726316365443
2000-09-14,328.99172331870426
2000-09-15,329.1900683115221
2000-09-18,326.56473424928384
2000-09-19,328.2402988491613
2000-09-20,328.6366967398067
2000-09-21,327.1905054552721
2000-09-22,316.1225468282229
2000-09-25,321.16730955950584
2000-09-26,315.9869830090443
2000-09-27,313.3480343492982
2000-09-28,313.7871359686813
2000-09-29,314.1713843997593
2000-10-02,313.50027048317196
2000-10-03,314.4536652228829
2000-10-04,316.2528320402328
2000-10-05,320.3588618582473
2000-10-06,318.39851867184956
2000-10-09,317.70516860774285
2000-10-10,316.8297016855288
2000-10-11,313.12345057781994
2000-10-12,316.5788132797413
2000-10-13,313.5846037408067
2000-10-16,318.1905833038391
2000-10-17,313.71798194340505
2000-10-18,309.79203045186125
2000-10-19,316.3639350772138
2000-10-20,313.9696561736732
2000-10-23,311.65368545079804
2000-10-24,310.5362006861829
2000-10-25,307.7678900497884
2000-10-26,308.66975302232106
2000-10-27,308.9564670642829
2000-10-30,310.37803502858486
2000-10-31,311.6308124056522
2000-11-01,307.69303549749833
2000-11-02,306.15076199479284
2000-11-03,302.945431769317
2000-11-06,303.24699044877127
2000-11-07,301.5889359452981
2000-11-08,302.06820307699405
2000-11-09,299.7536697394583
2000-11-10,298.98960034717106
2000-11-13,299.4455053226954
2000-11-14,299.6214964693869
2000-11-15,298.448233587641
2000-11-16,300.9909201469254
2000-11-17,299.85355854729033
2000-11-20,305.714093862065
2000-11-21,310.68955069725047
2000-11-22,309.6698080910516
2000-11-23,308.4078678595456
2000-11-24,309.5346460777823
2000-11-27,304.99516051449956
2000-11-28,300.52905103932653
2000-11-29,299.2161101113505
2000-11-30,293.624739841331
2000-12-01,293.27085992559324
2000-12-04,290.149605624408
2000-12-05,294.81089727598356
2000-12-06,294.7838716276463
2000-12-07,292.4998273014985
2000-12-08,295.33582408500934
2000-12-11,297.3213238875746
2000-12-12,297.221104273666
2000-12-13,299.93118969881897
2000-12-14,296.8544766377704
2000-12-15,293.4143213281965
2000-12-18,294.4149277342193
2000-12-19,297.18849553097556
2000-12-20,289.74833828993883
2000-12-21,286.2376636181992
2000-12-22,283.4598314464792
2000-12-25,283.47803428345213
2000-12-26,283.14165010265407
2000-12-27,283.78700861797176
2000-12-28,285.70415432419435
2000-12-29,282.0870330398454
2001-01-01,282.0953312780773
2001-01-02,279.30872674246643
2001-01-03,284.01733641349324
2001-01-04,287.4791491396436
2001-01-05,284.2542054095027
2001-01-08,284.4337860870757
2001-01-09,289.9419205595
2001-01-10,290.0909815514469
2001-01-11,287.26689324113306
2001-01-12,289.2133640353776
2001-01-15,292.94182185742187
2001-01-16,291.6657807773844
2001-01-17,297.84337670199574
2001-01-18,295.061017968672
2001-01-19,300.3604012106815
2001-01-22,300.0552745177154
2001-01-23,301.7224798123567
2001-01-24,307.77535586461164
2001-01-25,307.1469773773526
2001-01-26,307.48918292769537
2001-01-29,309.19635894236785
2001-01-30,307.7126590462853
2001-01-31,306.1161577581467
2001-02-01,301.2740480465531
2001-02-02,303.12546865834196
2001-02-05,300.23604318778314
2001-02-06,304.5156853460004
2001-02-07,301.798671206747
2001-02-08,309.41387874859146
2001-02-09,307.1411998994924
2001-02-12,306.3686669581261
2001-02-13,309.4612759691727
