Date,EM EMEA VALUE WEIGHTED
1997-10-23,1227.5119916342012
1997-10-24,1229.5535878151047
1997-10-27,1163.52884985673
1997-10-28,1063.7924335530736
1997-10-29,1113.5180886454002
1997-10-30,1080.0678791551354
1997-10-31,1108.6301140778285
1997-11-03,1135.8989839646904
1997-11-04,1141.584394574373
1997-11-05,1151.9894289351873
1997-11-06,1145.9556551243284
1997-11-07,1116.3696530961881
1997-11-10,1117.1708097677986
1997-11-11,1115.0491468587354
1997-11-12,1087.2204612044527
1997-11-13,1072.5012112503255
1997-11-14,1060.8471173015482
1997-11-17,1075.7431791120546
1997-11-18,1079.1892446656288
1997-11-19,1071.9382283049736
1997-11-20,1079.281520357632
1997-11-21,1086.296142743543
1997-11-24,1076.8680755336686
1997-11-25,1071.946501186886
1997-11-26,1069.5352122952652
1997-11-27,1074.4448605443915
1997-11-28,1066.073046134811
1997-12-01,1047.840005007333
1997-12-02,1063.5706131426118
1997-12-03,1078.6914243484418
1997-12-04,1105.0586368595004
1997-12-05,1093.7761068553511
1997-12-08,1113.8752454784008
1997-12-09,1105.4321224014107
1997-12-10,1076.4376091978638
1997-12-11,1041.6337482310846
1997-12-12,1042.2220469262923
1997-12-15,1086.8094649156712
1997-12-16,1098.7852177670948
1997-12-17,1115.2877614621793
1997-12-18,1112.1548823627168
1997-12-19,1071.9919301253813
1997-12-22,1086.4136374271352
1997-12-23,1094.3463166213612
1997-12-24,1097.3079730912204
1997-12-25,1097.3079730912204
1997-12-26,1107.449565236852
1997-12-29,1121.6432360917606
1997-12-30,1136.5061687729399
1997-12-31,1138.0879831730108
1998-01-01,1138.0879831730108
1998-01-02,1136.3174320643914
1998-01-05,1152.5201404172153
1998-01-06,1133.8863154715207
1998-01-07,1128.4074380852526
1998-01-08,1093.2705890766038
1998-01-09,1073.4773863959015
1998-01-12,966.3135821493238
1998-01-13,1009.3320411537503
1998-01-14,1013.4715462507767
1998-01-15,994.6433487132252
1998-01-16,1010.3477159372607
1998-01-19,1024.0908737797126
1998-01-20,1027.352351869633
1998-01-21,1013.8602549795065
1998-01-22,999.3658780013984
1998-01-23,985.7533844761705
1998-01-26,980.499854907055
1998-01-27,987.363521833831
1998-01-28,983.499234485903
1998-01-29,982.0235092109407
1998-01-30,1003.3154680434624
1998-02-02,1039.4570946965166
1998-02-03,1021.2954267129652
1998-02-04,1004.9875858645116
1998-02-05,1036.4969372609905
1998-02-06,1052.2779997041002
1998-02-09,1059.8608349296553
1998-02-10,1053.2610152316172
1998-02-11,1067.4309910867266
1998-02-12,1044.9544133777192
1998-02-13,1040.569935512938
1998-02-16,1044.2484836609897
1998-02-17,1056.7405255420729
1998-02-18,1049.1772486519476
1998-02-19,1049.299355069405
1998-02-20,1049.821760642663
1998-02-23,1061.0854767609578
1998-02-24,1058.0473956372093
1998-02-25,1064.8141101811266
1998-02-26,1074.4587503337934
1998-02-27,1081.8598894865108
1998-03-02,1108.4130171782197
1998-03-03,1103.5800439377906
1998-03-04,1114.6065570206401
1998-03-05,1089.9554991758894
1998-03-06,1107.2702625531972
1998-03-09,1120.0942032309435
1998-03-10,1142.3515931127163
1998-03-11,1156.3380318972545
1998-03-12,1157.050855739289
1998-03-13,1157.7305447714434
1998-03-16,1160.4784542620837
1998-03-17,1151.00698587688
1998-03-18,1133.8241733937812
1998-03-19,1150.6572611878814
1998-03-20,1155.2590646175547
1998-03-23,1160.9635935719582
1998-03-24,1165.9147282795293
1998-03-25,1169.3880260950248
1998-03-26,1165.3138460145346
1998-03-27,1181.3415852352243
1998-03-30,1175.5570015274893
1998-03-31,1167.373238667648
1998-04-01,1168.3705888014072
1998-04-02,1178.3854955139705
1998-04-03,1172.066839651134
1998-04-06,1187.6595459916782
1998-04-07,1189.3589092182947
1998-04-08,1184.7707078209437
1998-04-09,1180.3645801383711
1998-04-10,1181.8432518840907
1998-04-13,1187.281247745713
1998-04-14,1201.2122273613177
1998-04-15,1232.7086843302804
1998-04-16,1244.8913188229797
1998-04-17,1240.4619039658132
1998-04-20,1256.1177138068613
1998-04-21,1262.810989106101
1998-04-22,1272.8181356512384
1998-04-23,1270.327292709256
1998-04-24,1262.2182900681116
1998-04-27,1236.735651297585
1998-04-28,1223.1387816468362
1998-04-29,1232.9987142374603
1998-04-30,1256.5432085477014
1998-05-01,1259.3592626798982
1998-05-04,1265.0535444792997
1998-05-05,1259.3641718400936
1998-05-06,1251.867029417122
1998-05-07,1230.6795718793321
1998-05-08,1231.6303899873321
1998-05-11,1234.433563252506
1998-05-12,1204.418762408028
1998-05-13,1185.699876373762
1998-05-14,1164.3150826225742
1998-05-15,1161.646417785189
1998-05-18,1119.452448658406
1998-05-19,1135.1568255481557
1998-05-20,1134.4208587013022
1998-05-21,1143.4409356102535
1998-05-22,1133.0993787019734
1998-05-25,1101.2142644701999
1998-05-26,1084.7265050633164
1998-05-27,1017.3626640034244
1998-05-28,1029.372934951097
1998-05-29,1034.32978190955
1998-06-01,976.9780773885731
1998-06-02,1031.0196492599364
1998-06-03,1065.0062388664842
1998-06-04,1057.8287815284336
1998-06-05,1051.715810058362
1998-06-08,1046.023515439026
1998-06-09,1025.9031437467036
1998-06-10,984.4609516825005
1998-06-11,959.0336838577889
1998-06-12,943.3864042380357
1998-06-15,886.2401587671465
