Date,EM EUROPE & MIDDLE EAST
2001-09-14,67.99515580087382
2001-09-17,66.57795476209513
2001-09-18,66.79968860955147
2001-09-19,67.00517841147091
2001-09-20,64.38590493358471
2001-09-21,62.62274768457705
2001-09-24,63.33252767919675
2001-09-25,62.14469959635586
2001-09-26,61.921774613514735
2001-09-27,61.58813179951748
2001-09-28,63.250718635867216
2001-10-01,62.86660107559625
2001-10-02,63.37815752055186
2001-10-03,62.588765987305806
2001-10-04,63.9894675808482
2001-10-05,63.5032657505781
2001-10-08,63.56760357684367
2001-10-09,63.99216499802683
2001-10-10,66.45156468923139
2001-10-11,70.47861349453521
2001-10-12,69.66009815063545
2001-10-15,68.54192420382458
2001-10-16,69.92286346666556
2001-10-17,70.15336219733722
2001-10-18,69.80705605453325
2001-10-19,69.49727592810507
2001-10-22,71.48074969463539
2001-10-23,72.61800504144449
2001-10-24,72.66812576162295
2001-10-25,71.87744057236453
2001-10-26,73.5096132022847
2001-10-29,72.68726969876825
2001-10-30,71.94719529126843
2001-10-31,72.55593430502772
2001-11-01,72.33852875907601
2001-11-02,72.7861081227717
2001-11-05,75.57044523227924
2001-11-06,75.87113365530409
2001-11-07,75.30777596581721
2001-11-08,77.86745402619945
2001-11-09,78.27341771304864
2001-11-12,78.14456115718637
2001-11-13,82.38285733134023
2001-11-14,81.80762215598357
2001-11-15,81.14213417136274
2001-11-16,80.47216567364521
2001-11-19,83.74007454923344
2001-11-20,82.53605204436633
2001-11-21,82.02722276140736
2001-11-22,83.40009316428723
2001-11-23,82.95197740576045
2001-11-26,83.76863235728857
2001-11-27,83.21916039161718
2001-11-28,81.4622886041158
2001-11-29,81.29025414207197
2001-11-30,81.32088328945348
2001-12-03,80.68302761081307
2001-12-04,82.37626484768231
2001-12-05,84.2540466349677
2001-12-06,85.42218847392549
2001-12-07,84.79695239389746
2001-12-10,85.05010839856288
2001-12-11,85.32629587481212
2001-12-12,85.27349312527588
2001-12-13,83.17188250071385
2001-12-14,81.92282058199379
2001-12-17,83.52426879802262
2001-12-18,84.50640179917313
2001-12-19,84.76354437285669
2001-12-20,83.87522189125679
2001-12-21,84.86498630379003
2001-12-24,86.65287850661484
2001-12-25,86.69381294726706
2001-12-26,87.40895712882926
2001-12-27,87.69419867801453
2001-12-28,88.92828854611963
2001-12-31,88.24757452678826
2002-01-01,88.52683567044222
2002-01-02,88.28162355524196
2002-01-03,91.46145287228427
2002-01-04,93.95857143292943
2002-01-07,96.01838591820501
2002-01-08,96.70467145367795
2002-01-09,96.57504300202719
2002-01-10,95.21588932967435
2002-01-11,95.69065490529054
2002-01-14,93.62479151140734
2002-01-15,92.26281285906498
2002-01-16,90.9380200995633
2002-01-17,92.52992116710266
2002-01-18,92.734261054858
2002-01-21,92.41599563812325
2002-01-22,93.80703874074663
2002-01-23,92.82548281143082
2002-01-24,92.96237741750865
2002-01-25,93.17178962560062
2002-01-28,93.26987886171757
2002-01-29,93.8937932464291
2002-01-30,91.7948646323856
2002-01-31,94.9633447034767
2002-02-01,94.60726180177704
2002-02-04,92.86213268012283
2002-02-05,90.84140843785336
2002-02-06,90.57954948687126
2002-02-07,89.2576117798764
2002-02-08,88.29437230381771
2002-02-11,87.50261672120241
2002-02-12,88.1163199219433
2002-02-13,89.1406522007611
2002-02-14,88.95827547568655
2002-02-15,87.61863790994454
2002-02-18,86.52374472504118
2002-02-19,85.10093481406464
2002-02-20,84.70798245383664
2002-02-21,84.67365908765503
2002-02-22,84.6571760214233
2002-02-25,85.94693191323277
