Date,EM ASIA WITH PARTIAL A SHARES
2013-10-31,2417.5093760210016
2013-11-28,2408.420860900704
2013-11-29,2419.6904932359434
2013-12-30,2349.0046566996657
2013-12-31,2360.766874593284
2014-01-30,2282.6690527181668
2014-01-31,2297.5776033249663
2014-02-27,2329.6166271676398
2014-02-28,2314.5719422706093
2014-03-28,2337.24700272578
2014-03-31,2349.2661489192956
2014-04-29,2361.398170909756
2014-04-30,2337.944318671872
2014-05-29,2490.126037835754
2014-05-30,2472.397372622469
2014-06-27,2522.525498775305
2014-06-30,2533.09358210952
2014-07-30,2707.6305688971743
2014-07-31,2682.8123987331282
2014-08-28,2757.031200210425
2014-08-29,2754.497809035763
2014-09-29,2712.352619632458
2014-09-30,2708.9791667072204
2014-10-30,2726.2614554636834
2014-10-31,2772.0961219762753
2014-11-27,2793.2657109534784
2014-11-28,2794.231850171961
2014-12-30,2801.1272128861274
2014-12-31,2832.6008160460815
2015-01-29,3113.7058325825606
2015-01-30,3106.550912780733
2015-02-26,3208.3244229283077
2015-02-27,3200.531003466651
2015-03-30,3318.9847379872
2015-03-31,3366.1128045067267
2015-04-29,3521.940941156643
2015-04-30,3469.9679121551417
2015-05-28,3477.9318198670217
2015-05-29,3455.7945158668904
2015-06-29,3207.654339759296
2015-06-30,3257.057532024365
2015-07-30,3061.3354809745897
2015-07-31,3041.122656638296
2015-08-28,2715.9439831025984
2015-08-31,2717.4034682569495
2015-09-29,2622.6748488041762
2015-09-30,2685.493289946923
2015-10-29,2951.646442738409
2015-10-30,2927.447944703005
2015-11-27,2985.399483596782
2015-11-30,2963.048393010591
2015-12-30,2836.227569140675
2015-12-31,2857.778830351265
2016-01-28,2550.010318987144
2016-01-29,2639.905917839183
2016-02-26,2596.092368648825
2016-02-29,2596.107969040422
2016-03-30,2758.660899684334
2016-03-31,2759.537372535217
2016-04-28,2763.229679054291
2016-04-29,2712.652023785599
2016-05-30,2747.317422010123
2016-05-31,2759.6286414227384
2016-06-29,2800.263767557047
2016-06-30,2841.6439787610793
2016-07-28,3009.044116550069
2016-07-29,2957.814848118714
2016-08-30,3097.692409836227
2016-08-31,3092.4671147539534
2016-09-29,3142.9226394041684
2016-09-30,3104.1375360165184
2016-10-28,3151.239848743385
2016-10-31,3137.287396121156
2018-03-30,3836.310214320016
2018-04-11,3855.305824950862
2018-04-12,3866.4854744168974
2018-04-13,3850.694288936765
2018-04-16,3816.146849971748
2018-04-17,3805.1115300788783
2018-04-18,3819.761394386815
2018-04-19,3864.9085143272923
2018-04-20,3837.824165321108
2018-04-23,3823.9076214674365
2018-04-24,3822.681511386756
2018-04-25,3795.112003971144
2018-04-26,3812.920243555504
2018-04-27,3857.9615659402803
2018-04-30,3907.332410779382
2018-05-01,3940.216503134204
2018-05-02,3923.85744237836
2018-05-03,3890.9591408034357
2018-05-04,3879.1550608497573
2018-05-07,3907.2639876279436
2018-05-08,3953.4942285240645
2018-05-09,3948.600599268517
2018-05-10,3970.757978395137
2018-05-11,3977.0881522451373
2018-05-14,3993.1191605532763
2018-05-15,3982.8255693307337
2018-05-16,4013.8743555503015
2018-05-17,3989.584384188057
2018-05-18,3991.922057315018
2018-05-21,3997.063315327653
2018-05-22,3990.624657648475
2018-05-23,3995.161351637769
2018-05-24,3999.940150464737
2018-05-25,4038.110645318472
2018-05-28,4068.7236794364158
2018-05-29,4053.5979682607626
2018-05-30,3975.041016881113
2018-05-31,3994.5999248545745
