Date,ZHONG HUA WITH PARTIAL A SHARES
2012-02-28,1945.42290204311
2012-02-29,1961.4762982942698
2012-03-29,1853.4297558139822
2012-03-30,1848.9590501044593
2012-04-27,1879.3769715851915
2012-04-30,1911.3142488293338
2012-05-30,1842.2980386737904
2012-05-31,1838.1514488446783
2012-06-28,1837.7854535349531
2012-06-29,1839.3526597338396
2012-07-30,1922.4077284343437
2012-07-31,1932.7715398041712
2012-08-30,1871.34536947282
2012-08-31,1851.7920357180046
2012-09-27,1927.395702775861
2012-09-28,1940.6174431507557
2012-10-30,1984.2374782242582
2012-10-31,2007.4219839698933
2012-11-29,2037.4377569470314
2012-11-30,2044.0275039071894
2012-12-28,2083.9516962336165
2012-12-31,2094.656356517982
2013-01-30,2141.9166188604568
2013-01-31,2130.5015871618634
2013-02-27,2101.741107760348
2013-02-28,2150.672258781531
2013-03-28,2110.3995756860004
2013-03-29,2110.2282647071047
2013-04-29,2085.1712373665846
2013-04-30,2088.2575481571757
2013-05-30,2097.6796721722803
2013-05-31,2105.6015567149925
2013-06-27,1921.2023895089294
2013-06-28,1958.8546068435128
2013-07-30,2002.7988197735885
2013-07-31,1993.735487202574
2013-08-29,2018.8867638714244
2013-08-30,2033.2650806653128
2013-09-27,2114.138177451159
2013-09-30,2087.695435520713
2013-10-30,2106.1759804626786
2013-10-31,2127.5840913380434
2013-11-28,2191.331343246287
2013-11-29,2200.988186184283
2013-12-30,2110.5887714428036
2013-12-31,2126.786704752044
2014-01-30,2026.4723673015035
2014-01-31,2038.2448578285255
2014-02-27,2070.0953445094465
2014-02-28,2052.299658216722
2014-03-28,2006.8753769583334
2014-03-31,2016.206497542634
2014-04-29,2020.6923156295147
2014-04-30,1989.7251192654062
2014-05-29,2112.784380857755
2014-05-30,2115.038585589082
2014-06-27,2162.794476399192
2014-06-30,2158.080488624917
2014-07-30,2370.5330467556623
2014-07-31,2375.2568970856714
2014-08-28,2406.662523450107
2014-08-29,2409.7223185554885
2014-09-29,2366.6956479813707
2014-09-30,2351.0696736485825
2014-10-30,2439.842889365412
2014-10-31,2490.173406581532
2014-11-27,2531.9138882814505
2014-11-28,2539.543165676636
2014-12-30,2581.1828154559653
2014-12-31,2614.7145048150137
2015-01-29,2885.803462592562
2015-01-30,2887.9563396786402
2015-02-26,2975.2511029658217
2015-02-27,2965.2804396368165
2015-03-30,3139.9184563449558
2015-03-31,3175.5392576534055
2015-04-29,3541.4865426549422
2015-04-30,3499.8183952295512
2015-05-28,3519.139546160638
2015-05-29,3490.8306592717713
2015-06-29,3203.7469355090807
2015-06-30,3259.279132421874
2015-07-30,3028.5152705586133
2015-07-31,3010.0564821409284
2015-08-28,2619.0142695867767
2015-08-31,2605.6414738169706
2015-09-29,2507.25600538648
2015-09-30,2562.8668916321967
2015-10-29,2860.967714211846
2015-10-30,2824.4915293360427
2015-11-27,2859.1161305113287
2015-11-30,2860.051943668999
2015-12-30,2742.7402128450876
2015-12-31,2758.1165730913103
2016-01-28,2339.8299088643166
2016-01-29,2425.7906352255814
2016-02-26,2391.313960171333
2016-02-29,2376.3905658660333
2016-03-30,2527.5719054709393
2016-03-31,2523.006525748203
2016-04-28,2567.6338690446782
2016-04-29,2513.479350001203
2016-05-30,2544.916598478367
2016-05-31,2568.5311784608225
2016-06-29,2553.5530679081266
2016-06-30,2598.987743685033
2016-07-28,2756.885960745788
2016-07-29,2694.536469347065
2016-08-30,2867.7905456741078
2016-08-31,2857.8137240877554
2016-09-29,2953.8561353340447
2016-09-30,2907.5531578950336
2016-10-28,2950.5798138791265
2016-10-31,2931.3650619863843
2018-03-30,3691.01361674635
2018-04-11,3741.019069467072
2018-04-12,3747.888148488961
2018-04-13,3716.8792583541685
2018-04-16,3660.605724138215
2018-04-17,3646.387690790713
2018-04-18,3663.361060636009
2018-04-19,3705.132399131166
2018-04-20,3684.4446510566618
2018-04-23,3667.1042946002203
2018-04-24,3705.2944028797647
2018-04-25,3677.6163308273435
2018-04-26,3678.0163013087677
2018-04-27,3723.444749211158
2018-04-30,3783.0028416604127
2018-05-01,3817.287897297345
2018-05-02,3816.106388994218
2018-05-03,3781.5105816296327
2018-05-04,3778.8220836769156
2018-05-07,3813.7203076047635
2018-05-08,3883.167908084908
2018-05-09,3892.0789352518896
2018-05-10,3918.007754426962
2018-05-11,3918.3523796783784
2018-05-14,3964.4828877428677
2018-05-15,3958.2615182904433
2018-05-16,3986.0780427647837
2018-05-17,3969.9592355300606
2018-05-18,3977.9844972720857
2018-05-21,3999.4662546817253
2018-05-22,3989.246585981061
2018-05-23,3971.6288816089923
2018-05-24,3977.1924754579427
2018-05-25,3995.2506335579947
2018-05-28,4027.3263538415135
2018-05-29,4009.5113813553276
2018-05-30,3946.566899258667
2018-05-31,3977.0817221205084
