Date,EM FAR EAST SMALL VALUE
2012-05-21,1142.9533259210075
2012-05-22,1165.1630726794942
2012-05-23,1146.552215213367
2012-05-24,1141.6508564090445
2012-05-25,1139.925471165166
2012-05-28,1144.340085763106
2012-05-29,1168.3002686312354
2012-05-30,1154.8170216914702
2012-05-31,1156.3081797844684
2012-06-01,1139.8205973352108
2012-06-04,1100.2363720878911
2012-06-05,1111.5889690556164
2012-06-06,1127.0547700189675
2012-06-07,1134.4329014142456
2012-06-08,1126.9747757869584
2012-06-11,1149.0224889687295
2012-06-12,1147.1212946632704
2012-06-13,1150.1114113857489
2012-06-14,1147.2206227137997
2012-06-15,1152.6897232357367
2012-06-18,1169.7462362172662
2012-06-19,1170.5192909225502
2012-06-20,1180.7998335949146
2012-06-21,1175.9638324124016
2012-06-22,1167.2726286576114
2012-06-25,1160.9888626640097
2012-06-26,1159.6244087918215
2012-06-27,1163.8455085043997
2012-06-28,1159.99506340772
2012-06-29,1176.6705164532088
2012-07-02,1182.4689416763063
2012-07-03,1194.4079464929523
2012-07-04,1202.4607369765454
2012-07-05,1203.314096286195
2012-07-06,1201.6235658317385
2012-07-09,1188.868585042348
2012-07-10,1186.3500282791026
2012-07-11,1188.5029108330432
2012-07-12,1171.9340856366373
2012-07-13,1171.6764314890843
2012-07-16,1171.5556026380186
2012-07-17,1175.9118935622055
2012-07-18,1166.9193906536566
2012-07-19,1175.0048039804694
2012-07-20,1174.2657617747805
2012-07-23,1152.070480952206
2012-07-24,1146.1655648024678
2012-07-25,1136.6645435838514
2012-07-26,1138.1245678412197
2012-07-27,1153.9790029589199
2012-07-30,1153.1720438806
2012-07-31,1164.9140978607818
2012-08-01,1172.0330602977579
2012-08-02,1168.0801079762489
2012-08-03,1164.3701078151264
2012-08-06,1175.5688609170527
2012-08-07,1178.046764119609
2012-08-08,1181.845589343529
2012-08-09,1196.618413345711
2012-08-10,1194.556183820209
2012-08-13,1191.7896033354664
2012-08-14,1195.9002802731954
2012-08-15,1192.1470684950502
2012-08-16,1196.5316768488199
2012-08-17,1200.5196101744705
2012-08-20,1199.256029928765
2012-08-21,1204.4212399288904
2012-08-22,1201.0215141563963
2012-08-23,1212.1528460155894
2012-08-24,1206.3866219146937
2012-08-27,1204.5537418923861
2012-08-28,1196.8693839886134
2012-08-29,1197.5559802825173
2012-08-30,1189.6137420941927
2012-08-31,1184.341362498721
2012-09-03,1195.2773889390912
2012-09-04,1193.4530822139686
2012-09-05,1181.8219384120403
2012-09-06,1182.773744678866
2012-09-07,1201.4187724105082
2012-09-10,1208.7498748174787
2012-09-11,1206.7985446418172
2012-09-12,1219.266313203801
2012-09-13,1219.712606826173
2012-09-14,1246.8956312360501
2012-09-17,1249.4555036904212
2012-09-18,1246.1387237929243
2012-09-19,1258.2082594719634
2012-09-20,1247.9615982459304
2012-09-21,1258.7458256875111
2012-09-24,1255.0940601649406
2012-09-25,1251.894650461997
2012-09-26,1236.133366833645
2012-09-27,1244.9667941288942
2012-09-28,1254.9892344122331
2012-10-01,1257.1771453249446
2012-10-02,1258.2484417003686
2012-10-03,1256.112714069273
2012-10-04,1256.849082738895
2012-10-05,1263.357426627771
2012-10-08,1253.549244807177
2012-10-09,1251.230940997443
2012-10-10,1247.10563999147
2012-10-11,1242.0296674776018
2012-10-12,1246.852427799551
2012-10-15,1242.8786234806323
2012-10-16,1251.7327756328912
2012-10-17,1259.686260207968
2012-10-18,1258.9719491606209
2012-10-19,1254.0405128715774
2012-10-22,1257.7010897912642
2012-10-23,1257.7333550018366
2012-10-24,1265.4434018469626
2012-10-25,1253.4894343132098
2012-10-26,1228.5009797276991
2012-10-29,1217.6531386252955
2012-10-30,1227.4228289604564
2012-10-31,1236.773697777144
2012-11-01,1245.6465919483378
2012-11-02,1249.702181213838
2012-11-05,1247.102912681927
2012-11-06,1255.4654780321791
2012-11-07,1265.4954994189281
2012-11-08,1255.9359423213916
2012-11-09,1261.901627379844
2012-11-12,1258.8327665976065
2012-11-13,1244.216246424985
2012-11-14,1246.8378687916363
2012-11-15,1239.204529681722
2012-11-16,1233.923995218015
2012-11-19,1239.6529815941738
2012-11-20,1241.3206038370588
2012-11-21,1232.7816671379314
2012-11-22,1234.5300480642509
2012-11-23,1247.3730477397785
2012-11-26,1255.1559352143981
2012-11-27,1255.1095477367182
2012-11-28,1249.9910321005266
2012-11-29,1260.6994518474892
2012-11-30,1265.9252603861014
2012-12-03,1266.4783447412283
2012-12-04,1270.1648089429234
2012-12-05,1279.8490638895535
2012-12-06,1281.0353221002263
2012-12-07,1284.2749264211216
2012-12-10,1285.4318223821447
2012-12-11,1282.320274919895
2012-12-12,1292.4509552340394
2012-12-13,1298.6849770420079
2012-12-14,1301.4507879844425
2012-12-17,1298.6869179857342
2012-12-18,1301.6094933645243
2012-12-19,1307.222027159916
2012-12-20,1304.8106886508722
2012-12-21,1298.5325183760576
2012-12-24,1302.7073379358299
2012-12-25,1306.7848427603462
2012-12-26,1309.8233396934158
2012-12-27,1316.481196265967
2012-12-28,1325.1505084250603
2012-12-31,1328.4035528409327
2013-01-01,1328.4035528409327
2013-01-02,1350.4373303293655
2013-01-03,1363.7194277867732
2013-01-04,1367.968085376625
2013-01-07,1383.649925842437
2013-01-08,1376.6787715301432
2013-01-09,1387.8740310732205
2013-01-10,1389.4354043030564
2013-01-11,1389.813058491601
2013-01-14,1398.2737865273932
2013-01-15,1392.4385121183432
2013-01-16,1387.9238692286685
2013-01-17,1375.0885030629004
2013-01-18,1391.6092646883424
2013-01-21,1393.9615690548826
2013-01-22,1396.9190282820225
2013-01-23,1392.9120913406211
2013-01-24,1385.3174602853728
2013-01-25,1372.1704438310255
2013-01-28,1364.1414445944522
2013-01-29,1372.1880628877516
2013-01-30,1377.428265675792
2013-01-31,1369.5043698455752
2013-02-01,1370.1439993890106
2013-02-04,1378.4858264463878
2013-02-05,1368.6564094920288
2013-02-06,1374.854753124253
2013-02-07,1368.786651367645
2013-02-08,1371.0516607914815
2013-02-11,1370.7174620462727
2013-02-12,1370.4169203879558
2013-02-13,1378.638098508271
2013-02-14,1386.584348622178
2013-02-15,1394.327756260499
2013-02-18,1394.9470932802533
2013-02-19,1391.2221446471167
2013-02-20,1404.6223702210843
2013-02-21,1389.01044329129
2013-02-22,1390.6413331202214
2013-02-25,1391.93277184642
2013-02-26,1378.8116706046078
2013-02-27,1389.3701045036362
2013-02-28,1407.6281125543487
2013-03-01,1411.1267635765535
2013-03-04,1394.3071934924255
2013-03-05,1407.5393789518905
2013-03-06,1421.3525980232787
2013-03-07,1419.4098419788284
2013-03-08,1423.2161227976283
2013-03-11,1417.382642898932
2013-03-12,1409.5049243955684
2013-03-13,1402.364957767669
2013-03-14,1404.7578453069775
2013-03-15,1401.5825692416938
2013-03-18,1379.1434841657772
2013-03-19,1387.035339243311
2013-03-20,1389.3042745252994
2013-03-21,1390.8003225947457
2013-03-22,1385.2093022783326
2013-03-25,1398.8783109051305
2013-03-26,1402.2597542207786
2013-03-27,1405.487084243103
2013-03-28,1401.540013743352
2013-03-29,1405.9483606299423
2013-04-01,1403.063979857143
2013-04-02,1394.1882056369525
2013-04-03,1390.2066983779548
2013-04-04,1386.7691894793911
2013-04-05,1370.1159695742078
2013-04-08,1352.1693020326932
2013-04-09,1357.3392982540968
2013-04-10,1373.3476305828563
2013-04-11,1386.1266357633467
2013-04-12,1384.6414128121473
2013-04-15,1383.6115654090434
2013-04-16,1389.0272120751627
2013-04-17,1394.127432243109
2013-04-18,1395.0587056962795
2013-04-19,1410.598545629776
2013-04-22,1419.0526129145785
2013-04-23,1413.6141620736325
2013-04-24,1427.8493363744685
2013-04-25,1430.3670429906308
2013-04-26,1432.871176443515
2013-04-29,1434.553339920494
2013-04-30,1446.1041385759465
2013-05-01,1446.8776885769062
2013-05-02,1442.0461335070595
2013-05-03,1446.5711971703433
2013-05-06,1461.1388791772565
2013-05-07,1470.06224167763
2013-05-08,1479.8133641791671
2013-05-09,1485.2018515276245
2013-05-10,1473.4675144494145
2013-05-13,1465.5126031012783
2013-05-14,1469.1090757869179
2013-05-15,1474.642334188654
2013-05-16,1476.0114052910658
2013-05-17,1479.9520252490017
2013-05-20,1487.3612185589955
2013-05-21,1496.6228909740385
2013-05-22,1497.3755608244642
2013-05-23,1467.6167188697586
2013-05-24,1471.4942322436584
2013-05-27,1478.699431873584
2013-05-28,1491.2479386083353
2013-05-29,1492.7389031403254
2013-05-30,1485.5224256742183
2013-05-31,1479.2256730589895
2013-06-03,1461.1179695936805
2013-06-04,1458.7481363565582
2013-06-05,1452.7835725543346
2013-06-06,1441.2279057764745
2013-06-07,1431.93985007911
2013-06-10,1433.9930810013736
2013-06-11,1412.2923573256537
2013-06-12,1409.2751877513103
2013-06-13,1385.8596513024445
2013-06-14,1392.1890544848154
2013-06-17,1396.3944518466008
2013-06-18,1397.9073614811227
2013-06-19,1392.6609418080493
2013-06-20,1360.5932987475298
2013-06-21,1340.542747699093
2013-06-24,1307.696225455748
2013-06-25,1289.8663256902514
2013-06-26,1315.7905475840762
2013-06-27,1331.8438742104372
2013-06-28,1345.632049684778
2013-07-01,1355.8473717515287
2013-07-02,1355.4879629539141
2013-07-03,1329.251183796764
2013-07-04,1333.1373314597195
2013-07-05,1339.0286031548667
2013-07-08,1316.8395896637621
2013-07-09,1323.320603089157
2013-07-10,1319.643703268831
2013-07-11,1348.8578120393984
2013-07-12,1355.063883734781
2013-07-15,1366.5267596577917
2013-07-16,1373.7542764393143
2013-07-17,1376.978861884618
2013-07-18,1373.9606939999367
2013-07-19,1369.3937995432625
2013-07-22,1377.7896938561107
2013-07-23,1392.5134575298707
2013-07-24,1395.1087300053734
2013-07-25,1390.519986983802
2013-07-26,1390.7671910769993
2013-07-29,1374.4529836955771
2013-07-30,1378.5564208136907
2013-07-31,1366.3823195447542
2013-08-01,1373.324516269882
2013-08-02,1375.1826135747458
2013-08-05,1387.5648087044224
2013-08-06,1384.2246969715673
2013-08-07,1373.9249676940312
2013-08-08,1381.1208574213665
2013-08-09,1382.4797454453071
2013-08-12,1387.495285561066
2013-08-13,1398.8696830026122
2013-08-14,1397.40561222212
2013-08-15,1395.705480749636
2013-08-16,1394.0674711949198
2013-08-19,1384.9217277721111
2013-08-20,1354.4163217071425
2013-08-21,1350.3439064367365
2013-08-22,1336.8605236492172
2013-08-23,1344.5103128414682
2013-08-26,1349.69830703947
2013-08-27,1323.5015425588324
2013-08-28,1310.673351510012
2013-08-29,1329.4117597650063
2013-08-30,1341.6015123729328
2013-09-02,1351.2929232969514
2013-09-03,1363.3109632216222
2013-09-04,1363.5423344358453
2013-09-05,1366.1055820503184
2013-09-06,1366.1400138491824
2013-09-09,1376.220676534977
2013-09-10,1384.7228651440503
2013-09-11,1389.7701499353573
2013-09-12,1397.7952515998243
2013-09-13,1390.520388791463
2013-09-16,1401.1215294306305
2013-09-17,1401.2781806066498
2013-09-18,1402.9137831841438
2013-09-19,1418.8597854554046
2013-09-20,1416.4933107998693
2013-09-23,1416.0970554956502
2013-09-24,1412.0535925021243
2013-09-25,1412.7609098336043
2013-09-26,1410.9563807678242
2013-09-27,1416.3133174715033
2013-09-30,1407.2551231958269
2013-10-01,1410.696975571774
2013-10-02,1412.0940960196788
2013-10-03,1421.9337322763788
2013-10-04,1424.9195198643126
2013-10-07,1420.6557736635891
2013-10-08,1427.7197821938187
2013-10-09,1424.5646208800006
2013-10-10,1423.8454951279487
2013-10-11,1434.7795241390095
2013-10-14,1427.401737512628
2013-10-15,1437.2197310398715
2013-10-16,1435.5870319968233
2013-10-17,1444.3499259038208
2013-10-18,1454.0493907271139
2013-10-21,1453.5216194095274
2013-10-22,1455.224927583713
2013-10-23,1449.8783974075593
2013-10-24,1455.8406179560332
2013-10-25,1449.4364667631107
2013-10-28,1450.0408850644528
2013-10-29,1447.3997722844651
2013-10-30,1454.2044191164289
2013-10-31,1450.5979952829587
2013-11-01,1445.6948339053706
2013-11-04,1440.940415147224
2013-11-05,1438.1869032795375
2013-11-06,1439.087525909214
2013-11-07,1432.4448761328338
2013-11-08,1418.924916317262
2013-11-11,1403.5907141235646
2013-11-12,1400.227180913556
2013-11-13,1387.9199462573463
2013-11-14,1400.639057853175
2013-11-15,1409.8390018621196
2013-11-18,1417.6804151877732
2013-11-19,1425.3808539252796
2013-11-20,1423.258094022208
2013-11-21,1409.7302140811398
2013-11-22,1413.9224432975855
2013-11-25,1416.595692778492
2013-11-26,1413.2092934551845
2013-11-27,1421.965390623183
2013-11-28,1425.1625508259378
2013-11-29,1434.5157084168782
2013-12-02,1440.5301565360994
2013-12-03,1434.5144325163762
2013-12-04,1434.7352796803484
2013-12-05,1432.287060199972
2013-12-06,1428.2574993922867
2013-12-09,1429.0873099655407
2013-12-10,1428.029563483604
2013-12-11,1419.8661571942912
2013-12-12,1415.2049101909838
2013-12-13,1417.2566390478814
2013-12-16,1408.4256164811854
2013-12-17,1409.6632608604677
2013-12-18,1412.4484786239784
2013-12-19,1401.4107195437928
2013-12-20,1399.0030954995725
2013-12-23,1401.324540109182
2013-12-24,1408.1290956977225
2013-12-25,1409.1768754811233
2013-12-26,1410.4384701107153
2013-12-27,1420.3025342617666
2013-12-30,1428.4740125488845
2013-12-31,1435.502058290679
2014-01-01,1435.502058290679
2014-01-02,1433.2354328488623
2014-01-03,1426.3285127375004
2014-01-06,1414.9275846427106
2014-01-07,1421.5403639640897
2014-01-08,1431.5928570590002
2014-01-09,1427.6126654929233
2014-01-10,1429.6274083016351
2014-01-13,1437.8004644367938
2014-01-14,1433.798254789382
2014-01-15,1436.3132495672874
2014-01-16,1439.397646651761
2014-01-17,1440.3300288539513
2014-01-20,1435.1620858059189
2014-01-21,1437.0129499127643
2014-01-22,1435.999695825236
2014-01-23,1431.1405707389738
2014-01-24,1420.0869564643394
2014-01-27,1392.889818651806
2014-01-28,1395.72321084708
2014-01-29,1409.1951198233137
2014-01-30,1406.606718996607
2014-01-31,1407.0472510352108
2014-02-03,1402.2236999641293
2014-02-04,1392.5073089966775
2014-02-05,1390.2843138980438
2014-02-06,1401.1203366467496
2014-02-07,1415.2335489007264
2014-02-10,1420.8384222645532
2014-02-11,1428.9474788245739
2014-02-12,1442.8387306955879
2014-02-13,1437.5104520847392
2014-02-14,1442.2307810516108
2014-02-17,1451.4446466472689
2014-02-18,1449.3909889855108
2014-02-19,1455.2489731690268
2014-02-20,1446.4149746698008
2014-02-21,1453.0662199655605
2014-02-24,1447.427036014907
2014-02-25,1446.7481740106382
2014-02-26,1454.095053599716
2014-02-27,1456.9693749476905
2014-02-28,1461.5090497757037
2014-03-03,1457.7730745242955
2014-03-04,1458.4369686356122
2014-03-05,1470.5287368812817
2014-03-06,1483.5948016342247
2014-03-07,1483.0822536178262
2014-03-10,1472.6922636692996
2014-03-11,1481.7551661658233
2014-03-12,1468.2652156726965
2014-03-13,1473.9634703530091
2014-03-14,1464.3692251398832
2014-03-17,1469.977738303508
2014-03-18,1475.385014684127
2014-03-19,1475.9761900888534
2014-03-20,1459.6162642369645
2014-03-21,1463.643779598838
2014-03-24,1465.5493407406532
2014-03-25,1461.3800857239125
2014-03-26,1469.3062197537413
2014-03-27,1463.2860143005169
2014-03-28,1468.425353940817
2014-03-31,1479.873409275831
2014-04-01,1490.5712461560786
2014-04-02,1502.3261291869603
2014-04-03,1500.7236985532468
2014-04-04,1502.8618476315207
2014-04-07,1497.4614480033847
2014-04-08,1498.447113108539
2014-04-09,1511.094287966546
2014-04-10,1513.4550065266897
2014-04-11,1504.2598099985987
2014-04-14,1494.6529060721937
2014-04-15,1496.2237817065898
2014-04-16,1504.7771729777219
2014-04-17,1508.3737148314553
2014-04-18,1508.9058617238293
2014-04-21,1507.5891623588366
2014-04-22,1508.1603422664252
2014-04-23,1504.257360103536
2014-04-24,1499.6278577548478
2014-04-25,1478.883791101466
2014-04-28,1475.3654314739622
2014-04-29,1482.331114936227
2014-04-30,1475.9679432561913
2014-05-01,1475.9587682470053
2014-05-02,1482.9651625975978
2014-05-05,1486.0028667330312
2014-05-06,1486.3644767412839
2014-05-07,1479.993934510475
2014-05-08,1476.703518415177
2014-05-09,1474.688418722293
2014-05-12,1474.2182800259668
2014-05-13,1477.8939340418904
2014-05-14,1484.7204568098796
2014-05-15,1485.9453450198616
2014-05-16,1479.9565059880256
2014-05-19,1480.8805440470685
2014-05-20,1473.8526656945974
2014-05-21,1474.1631149420514
2014-05-22,1485.87579014804
2014-05-23,1490.5908035260964
2014-05-26,1495.4043856509836
2014-05-27,1493.4975465910893
2014-05-28,1502.9470323943142
2014-05-29,1503.1721785085904
2014-05-30,1502.0646798536031
2014-06-02,1498.8536293172724
2014-06-03,1499.2735305051722
2014-06-04,1498.4272156152606
2014-06-05,1503.1817678744026
2014-06-06,1505.0453110741219
2014-06-09,1511.8136729190746
2014-06-10,1515.4902003756306
2014-06-11,1524.77237277384
2014-06-12,1527.5917389872225
2014-06-13,1526.9266506732286
2014-06-16,1523.8571192775546
2014-06-17,1518.139277594251
2014-06-18,1514.1475653512896
2014-06-19,1519.7807531218016
2014-06-20,1516.3959603473668
2014-06-23,1503.3498187558832
2014-06-24,1507.8543065197505
2014-06-25,1503.1121132429294
