Date,QATAR DOMESTIC SMALL CAP
2002-09-26,307.9120634964102
2002-09-27,308.18766470785715
2002-09-30,302.9474330601379
2002-10-01,304.0859283141346
2002-10-02,304.0788381879407
2002-10-03,304.1442253208849
2002-10-04,305.7839192035353
2002-10-07,304.42368131311054
2002-10-08,305.0415701401578
2002-10-09,302.6692883104512
2002-10-10,303.600628777856
2002-10-11,303.4004457704451
2002-10-14,301.42797625918564
2002-10-15,301.9930224788112
2002-10-16,300.8526427334549
2002-10-17,303.8999958425346
2002-10-18,304.1262056964407
2002-10-21,303.5337834794954
2002-10-22,302.4650657186605
2002-10-23,302.5832016046437
2002-10-24,300.8472464863488
2002-10-25,299.85795527063397
2002-10-28,298.53026795242977
2002-10-29,297.70099078754225
2002-10-30,298.8116067370407
2002-10-31,296.7968937191518
2002-11-01,294.97319179777213
2002-11-04,296.0750875840927
2002-11-05,294.49179834567514
2002-11-06,295.42195894407973
2002-11-07,293.23752332260847
2002-11-08,291.77629459173306
2002-11-11,291.09786346664845
2002-11-12,291.2851851291108
2002-11-13,291.7464295086082
2002-11-14,293.01015564090835
2002-11-15,292.35514038984815
2002-11-18,291.0968664217835
2002-11-19,290.12931904485765
2002-11-20,296.0930380924981
2002-11-21,296.8506168637145
2002-11-22,297.2528614867576
2002-11-25,296.96248344731293
2002-11-26,296.7925454833166
2002-11-27,296.982137023976
2002-11-28,295.24182179395825
2002-11-29,295.2768531460251
2002-12-02,296.40564689596386
2002-12-03,296.7142107612489
2002-12-04,297.74397214970236
2002-12-05,297.58030298306164
2002-12-06,295.4102313222565
2002-12-09,295.29085126409205
2002-12-10,295.9627543664648
2002-12-11,297.0026369495964
2002-12-12,296.11699048305763
2002-12-13,294.3631052513889
2002-12-16,293.74804854124477
2002-12-17,290.68629434579145
2002-12-18,291.9134052971925
2002-12-19,292.8580017146409
2002-12-20,292.4382546806646
2002-12-23,288.89697193213067
2002-12-24,288.450701649653
2002-12-25,289.775652962524
2002-12-26,289.0287437628623
2002-12-27,287.0747105248963
2002-12-30,296.90601959233715
2002-12-31,294.44020042418975
2003-01-01,294.44020042418975
2003-01-02,297.9076262927945
2003-01-03,296.6390186465669
2003-01-06,294.86816922013475
2003-01-07,298.2228447125427
2003-01-08,300.69393312554195
2003-01-09,298.85991719155203
2003-01-10,297.39050469544566
2003-01-13,298.5968027235447
2003-01-14,299.6778158300146
2003-01-15,299.78434692483165
2003-01-16,300.1987388038973
2003-01-17,297.89658308962
2003-01-20,298.9996713699181
2003-01-21,299.0706616562866
2003-01-22,300.14447813552374
2003-01-23,298.2096479913319
2003-01-24,296.6571584862031
2003-01-27,296.42108446037065
2003-01-28,303.34095255660833
2003-01-29,305.2286866809586
2003-01-30,309.79457241519356
2003-01-31,310.3710774018957
2003-02-03,307.79201476404063
2003-02-04,305.20498989630096
2003-02-05,306.90248147560084
2003-02-06,308.2360536436447
2003-02-07,308.5609242574239
2003-02-10,310.0247127915699
2003-02-11,311.717808917252
2003-02-12,311.06703279030165
2003-02-13,308.34990942114723
2003-02-14,309.4150658481999
2003-02-17,304.755778408046
2003-02-18,304.39487590643733
2003-02-19,292.4739300171856
2003-02-20,281.07342465801395
2003-02-21,281.30742501155197
2003-02-24,279.9132404120611
2003-02-25,280.1235505415951
2003-02-26,279.0518228717493
2003-02-27,280.2303821870877
2003-02-28,279.3860013000857
2003-03-03,278.98135357618895
2003-03-04,277.438901093967
2003-03-05,277.0086508437086
2003-03-06,280.2231798514455
2003-03-07,278.6928469033511
2003-03-10,280.45575058706083
2003-03-11,280.6937088637096
2003-03-12,281.8288578658403
2003-03-13,285.3450109343053
2003-03-14,288.5658974139835
2003-03-17,287.92938384756144
2003-03-18,289.13604515887323
2003-03-19,289.04147107377156
2003-03-20,288.29283528808486
2003-03-21,290.3459511232142
2003-03-24,290.11522764261724
