Date,BRAZIL SMALL CAP
1999-06-25,101.38076478659163
1999-06-28,102.99620419931271
1999-06-29,104.56424284981564
1999-06-30,108.16575770419496
1999-07-01,107.98325275537208
1999-07-02,109.80757337434801
1999-07-05,110.93306709146172
1999-07-06,109.96817963734553
1999-07-07,111.67215558475634
1999-07-08,109.51571159565127
1999-07-09,109.6516324608979
1999-07-12,105.76675283637562
1999-07-13,105.90304588102697
1999-07-14,105.69996056665217
1999-07-15,105.95975242812047
1999-07-16,107.67699916103669
1999-07-19,110.00621324047911
1999-07-20,104.34424023593184
1999-07-21,105.22162260300146
1999-07-22,106.53083725958867
1999-07-23,104.85185532638101
1999-07-26,102.34275652315921
1999-07-27,103.14125767858773
1999-07-28,104.64885036259462
1999-07-29,103.22866007215958
1999-07-30,102.96750202095168
1999-08-02,100.46830771289333
1999-08-03,100.24944269190355
1999-08-04,97.89560431750303
1999-08-05,95.92249080275162
1999-08-06,95.80447286274783
1999-08-09,95.11462571569386
1999-08-10,94.3539798735729
1999-08-11,96.93419119640107
1999-08-12,97.10714436594624
1999-08-13,98.28966705123499
1999-08-16,97.76456166907575
1999-08-17,96.75498317005314
1999-08-18,94.03808549529249
1999-08-19,92.19300628724176
1999-08-20,95.49045652668465
1999-08-23,97.02448772767643
1999-08-24,95.6827415501734
1999-08-25,98.53804079056573
1999-08-26,97.35906660437888
1999-08-27,96.43106886012549
1999-08-30,96.96627216710877
1999-08-31,96.22484200379998
1999-09-01,97.54583980273199
1999-09-02,97.91628977991306
1999-09-03,99.59268617396314
1999-09-06,100.72605844005724
1999-09-07,100.51313599160308
1999-09-08,101.2412381586528
1999-09-09,102.90115286747492
1999-09-10,104.89343579427084
1999-09-13,105.05666911265826
1999-09-14,105.12919694581768
1999-09-15,104.50762829089656
1999-09-16,104.43712191869308
1999-09-17,106.19678229219926
1999-09-20,107.51282327218932
1999-09-21,106.02276578560493
1999-09-22,105.89646539093667
1999-09-23,107.17052202315178
1999-09-24,107.44281449250398
1999-09-27,107.22080699027728
1999-09-28,106.0317875075137
1999-09-29,105.19438674260518
1999-09-30,103.60223887394935
1999-10-01,103.05537310648978
1999-10-04,103.4048946973602
1999-10-05,102.37624530289801
1999-10-06,104.26595614316474
1999-10-07,104.85719384094176
1999-10-08,105.23970473336618
1999-10-11,105.79275588608265
1999-10-12,104.91024571255257
1999-10-13,103.58921570577446
1999-10-14,103.57587050880736
1999-10-15,101.97058047252878
1999-10-18,101.07065440563116
1999-10-19,102.03507714785525
1999-10-20,103.81532098154425
1999-10-21,103.51076938756142
1999-10-22,107.4008118576001
