Date,WORLD ex EMU HIGH DIVIDEND YIELD
2007-02-07,1695.00080069697
2007-02-08,1683.218965501081
2007-02-09,1684.935961961683
2007-02-12,1684.5710894278575
2007-02-13,1685.5271113695148
2007-02-14,1687.2280156983234
2007-02-15,1684.9160986974398
2007-02-16,1684.8874823561705
2007-02-19,1685.11557701774
2007-02-20,1683.9812806246248
2007-02-21,1677.1593839453128
2007-02-22,1680.8234280464228
2007-02-23,1676.7580018089875
2007-02-26,1684.4967976984256
2007-02-27,1635.3485573632513
2007-02-28,1625.1832199232808
2007-03-01,1623.5105942440296
2007-03-02,1610.9630031032173
2007-03-05,1595.3506524103757
2007-03-06,1616.7917010791393
2007-03-07,1615.7979650001419
2007-03-08,1632.3500346694711
2007-03-09,1638.2186335581514
2007-03-12,1632.92900283591
2007-03-13,1608.6461844462065
2007-03-14,1589.9395619036925
2007-03-15,1607.8541897164478
2007-03-16,1598.0987428631934
2007-03-19,1616.0871239045762
2007-03-20,1630.591118154973
2007-03-21,1649.4461337411838
2007-03-22,1655.0756314424636
2007-03-23,1662.4679289884166
2007-03-26,1658.8296233212238
2007-03-27,1651.3934554340572
2007-03-28,1639.4295363132344
2007-03-29,1654.1208980973738
2007-03-30,1652.9261110423931
2007-04-02,1651.6288884690516
2007-04-03,1665.1758683684423
2007-04-04,1666.4164072574301
2007-04-05,1663.7013631976888
2007-04-06,1663.5937799594767
2007-04-09,1668.8778230082855
2007-04-10,1671.058909682137
2007-04-11,1668.7135348113911
2007-04-12,1665.532974145917
2007-04-13,1674.0060787363805
2007-04-16,1689.3045490619445
2007-04-17,1689.973814860397
2007-04-18,1690.4926255375285
2007-04-19,1681.9808173171214
2007-04-20,1699.1768383619744
2007-04-23,1696.726821977119
2007-04-24,1683.2895584805233
2007-04-25,1693.4850717993877
2007-04-26,1697.2597500051336
2007-04-27,1689.351898251068
2007-04-30,1688.0503516321364
2007-05-01,1694.3183785151753
2007-05-02,1701.8288489110232
2007-05-03,1712.9646172605496
2007-05-04,1719.0995030948372
2007-05-07,1721.5121252040424
2007-05-08,1721.4556556746636
2007-05-09,1722.304619917309
2007-05-10,1708.5900754717527
2007-05-11,1716.421299588249
2007-05-14,1717.1104081335932
2007-05-15,1713.8766300630416
2007-05-16,1723.290773549874
2007-05-17,1732.519149895385
2007-05-18,1742.563642329446
2007-05-21,1744.8178809148483
2007-05-22,1742.0419145561827
2007-05-23,1744.3050223032271
2007-05-24,1736.649982418465
2007-05-25,1734.5956191005228
2007-05-28,1735.1105901809601
2007-05-29,1735.2374019523927
2007-05-30,1742.956495341347
