Date,EAFE EQUAL WEIGHTED
1998-08-03,942.71948316
1998-08-04,940.98340393
1998-08-05,934.14868157
1998-08-06,924.40414486
1998-08-07,922.665466
1998-08-10,908.03645437
1998-08-11,883.36906836
1998-08-12,891.01978732
1998-08-13,882.47960878
1998-08-14,879.78188451
1998-08-17,870.80456013
1998-08-18,883.6515432
1998-08-19,898.77163839
1998-08-20,899.65883799
1998-08-21,872.53045165
1998-08-24,869.26361134
1998-08-25,876.0307482
1998-08-26,859.56709999
1998-08-27,835.685777
1998-08-28,824.49794474
1998-08-31,831.98653154
1998-09-01,837.56310782
1998-09-02,851.67706636
1998-09-03,855.87443346
1998-09-04,870.69460108
1998-09-07,929.65373623
1998-09-08,905.55570141
1998-09-09,900.12397784
1998-09-10,889.59692622
1998-09-11,876.40311472
1998-09-14,894.75557462
1998-09-15,894.88132912
1998-09-16,898.67708337
1998-09-17,883.24953736
1998-09-18,877.62603855
1998-09-21,850.68144571
1998-09-22,856.02616767
1998-09-23,855.36891758
1998-09-24,870.56020897
1998-09-25,860.47217425
1998-09-28,866.31841128
1998-09-29,867.99715422
1998-09-30,821.87384285
1998-10-01,805.36241321
1998-10-02,801.85040196
1998-10-05,791.78440348
1998-10-06,806.37899137
1998-10-07,849.27352996
1998-10-08,839.61374354
1998-10-09,847.60150781
1998-10-12,872.59218831
1998-10-13,865.66841944
1998-10-14,867.66731654
1998-10-15,877.89099182
1998-10-16,903.30344836
1998-10-19,912.64901354
1998-10-20,917.84605899
1998-10-21,925.45969674
1998-10-22,928.30534256
1998-10-23,922.64969283
1998-10-26,918.07717758
1998-10-27,924.58385632
1998-10-28,917.55282706
1998-10-29,929.57624853
1998-10-30,936.51544731
1998-11-02,965.09797326
1998-11-03,960.05836165
1998-11-04,979.53825503
1998-11-05,971.67344992
1998-11-06,964.19054086
1998-11-09,942.53636446
1998-11-10,928.73106475
1998-11-11,947.02376936
1998-11-12,927.36877126
1998-11-13,937.39371737
1998-11-16,959.39440811
1998-11-17,952.14615159
1998-11-18,957.11781617
1998-11-19,968.03823049
1998-11-20,977.8827444
1998-11-23,980.2797234
1998-11-24,990.20006305
1998-11-25,984.06970276
1998-11-26,991.18204501
1998-11-27,988.13181767
1998-11-30,976.94868059
1998-12-01,965.51986376
1998-12-02,971.38570286
1998-12-03,971.14408322
1998-12-04,970.4310514
1998-12-07,969.66410281
1998-12-08,971.35089136
1998-12-09,980.40832258
1998-12-10,983.97268104
1998-12-11,973.52876847
1998-12-14,967.56312254
1998-12-15,961.843845
1998-12-16,966.07053387
1998-12-17,969.62614122
1998-12-18,974.72758874
1998-12-21,979.35923399
1998-12-22,971.68310714
1998-12-23,980.84487182
1998-12-24,977.42173896
1998-12-25,980.63449554
1998-12-28,984.49024823
1998-12-29,991.78506941
1998-12-30,993.87948575
1998-12-31,1000.0
1999-01-01,1000.0001350047025
1999-01-04,1007.74091233297
1999-01-05,1008.6288150950527
1999-01-06,1020.9419784072945
1999-01-07,1022.4356538094304
1999-01-08,1017.7428434187467
1999-01-11,1022.1020089095915
1999-01-12,1007.7193552365121
1999-01-13,986.9189168012718
1999-01-14,991.1275490944613
1999-01-15,989.4360165680572
1999-01-18,996.4883677889443
1999-01-19,996.4233968902865
1999-01-20,1001.2046562342094
1999-01-21,1000.679129273754
1999-01-22,982.9547635017016
1999-01-25,983.0896742123749
1999-01-26,989.8837463389461
1999-01-27,990.2225359823507
1999-01-28,985.4009439003164
1999-01-29,989.875286911278
1999-02-01,996.2704457691095
1999-02-02,1005.7297334294079
1999-02-03,999.3342554982722
1999-02-04,997.2740802520171
1999-02-05,993.0408395999225
1999-02-08,988.9681860878514
1999-02-09,980.3841862872615
1999-02-10,974.8041227138044
1999-02-11,981.3673417999703
1999-02-12,984.9441830942308
1999-02-15,982.369042717521
1999-02-16,977.3287842443789
1999-02-17,970.977047405804
1999-02-18,966.2211640112529
1999-02-19,961.6761270642955
1999-02-22,966.2547909381268
1999-02-23,966.05055574169
1999-02-24,964.495748438964
1999-02-25,971.5641942417826
1999-02-26,969.9905743257559
1999-03-01,963.2434826960354
1999-03-02,956.5325289789552
1999-03-03,955.87733112265
1999-03-04,949.0602725746442
1999-03-05,972.8065144156643
1999-03-08,972.6983898864293
1999-03-09,979.2301967009558
1999-03-10,993.5541162062077
1999-03-11,996.9035814189826
1999-03-12,1009.1055748984779
1999-03-15,1018.1193697221047
1999-03-16,1028.457216374923
1999-03-17,1030.1742991020865
1999-03-18,1018.990938999027
1999-03-19,1035.268440210424
1999-03-22,1030.320748770118
1999-03-23,1023.9605204436788
1999-03-24,1014.5074808608945
1999-03-25,1026.7702087173072
1999-03-26,1015.9024617055892
1999-03-29,1020.1410803502848
1999-03-30,1016.8183328934513
1999-03-31,1030.9765572772794
1999-04-01,1035.2964041560117
1999-04-02,1030.992952794574
1999-04-05,1026.5322872279246
1999-04-06,1040.4995762704789
1999-04-07,1048.0292571351376
1999-04-08,1059.3297624742668
1999-04-09,1061.468896804117
1999-04-12,1061.0322664028279
1999-04-13,1071.2751347066676
1999-04-14,1083.67772488945
1999-04-15,1082.002635503629
1999-04-16,1096.3272035255504
1999-04-19,1105.2174964589246
1999-04-20,1092.682461979214
1999-04-21,1083.366830673907
1999-04-22,1088.4251544946615
1999-04-23,1095.761529192504
1999-04-26,1099.0722201021144
1999-04-27,1107.9273587693756
1999-04-28,1107.9871771373714
1999-04-29,1107.5414415970602
1999-04-30,1110.0737762505555
1999-05-03,1111.2093378385907
1999-05-04,1114.590538427949
1999-05-05,1113.753008823982
1999-05-06,1134.7350012169425
1999-05-07,1129.6898027152142
1999-05-10,1131.0059041938869
1999-05-11,1122.515668230654
1999-05-12,1119.9313474570074
1999-05-13,1116.1868728302754
1999-05-14,1110.7497211801135
1999-05-17,1087.845457456224
1999-05-18,1091.2963522760845
1999-05-19,1082.867561689408
1999-05-20,1084.936259552169
1999-05-21,1083.6465929846088
1999-05-24,1086.287057815114
1999-05-25,1079.9198194978712
1999-05-26,1074.3811127815295
1999-05-27,1070.65660785351
1999-05-28,1068.6188767519404
1999-05-31,1069.1164912888426
1999-06-01,1078.9892370863065
1999-06-02,1076.9850483737316
1999-06-03,1074.851936857587
1999-06-04,1075.1570731419188
1999-06-07,1085.8272858764483
1999-06-08,1099.9296151101476
1999-06-09,1106.2481229348653
1999-06-10,1114.937306058908
1999-06-11,1125.8649051486725
1999-06-14,1113.1303041076121
1999-06-15,1112.562979705161
1999-06-16,1110.7024082914866
1999-06-17,1119.5235064179344
1999-06-18,1121.7341807911373
1999-06-21,1124.6881450111723
1999-06-22,1124.119428069875
1999-06-23,1115.639387029342
1999-06-24,1113.6468886176767
1999-06-25,1117.604800789972
1999-06-28,1116.4060707217536
1999-06-29,1117.1807424897793
1999-06-30,1110.3571961921157
1999-07-01,1122.0700478843635
1999-07-02,1126.7338125227445
1999-07-05,1134.1235705645383
1999-07-06,1134.0074802612799
1999-07-07,1127.881702992819
1999-07-08,1124.0743998053674
1999-07-09,1126.5439870823075
1999-07-12,1127.2040345738208
1999-07-13,1123.3654518706344
1999-07-14,1129.017427011232
1999-07-15,1138.9594748399866
1999-07-16,1129.337547671258
1999-07-19,1135.0188471830381
1999-07-20,1141.0416653364075
1999-07-21,1140.3121270952436
1999-07-22,1130.8949904900971
1999-07-23,1122.443668849285
1999-07-26,1124.79040628616
1999-07-27,1122.7696187360773
1999-07-28,1126.9522340929082
1999-07-29,1133.4831633306428
1999-07-30,1145.5755396428199
1999-08-02,1139.527324010534
1999-08-03,1142.3478085041663
1999-08-04,1146.5481309036368
1999-08-05,1134.107753583767
1999-08-06,1127.1987842291967
1999-08-09,1123.49201468769
1999-08-10,1121.698188913971
1999-08-11,1117.813839160414
1999-08-12,1130.79375685625
1999-08-13,1131.1433177949698
1999-08-16,1146.7564039338492
1999-08-17,1143.3449563380752
1999-08-18,1148.9826876282887
1999-08-19,1151.6023446651184
1999-08-20,1164.9531181733396
1999-08-23,1172.3217898653716
1999-08-24,1165.650070005418
1999-08-25,1161.8442454572864
1999-08-26,1155.3732613053535
1999-08-27,1155.1896486291428
1999-08-30,1161.0614167737688
1999-08-31,1152.3842343305669
1999-09-01,1170.368169183434
1999-09-02,1169.8147762536892
1999-09-03,1168.8319558527783
1999-09-06,1174.859872862465
1999-09-07,1169.4339694982298
1999-09-08,1166.5372186193833
1999-09-09,1179.9147713896368
1999-09-10,1175.7668544227922
1999-09-13,1179.449164456895
1999-09-14,1175.974855685035
1999-09-15,1171.778584954968
1999-09-16,1158.4261612591145
1999-09-17,1153.3430908457397
1999-09-20,1158.2654529026145
1999-09-21,1166.6528687327357
1999-09-22,1153.213511023614
1999-09-23,1152.457993385151
1999-09-24,1135.726819237679
1999-09-27,1132.4759156459452
1999-09-28,1141.429866608337
1999-09-29,1139.062665579687
1999-09-30,1154.7234238944222
1999-10-01,1162.405110182565
1999-10-04,1163.6410306048522
1999-10-05,1161.7352634408462
1999-10-06,1162.6117479055308
1999-10-07,1170.7103432706174
1999-10-08,1164.1063559328816
1999-10-11,1165.9738098497573
1999-10-12,1166.4024340524645
1999-10-13,1151.5156149807503
1999-10-14,1152.6054831987824
1999-10-15,1148.6410625565852
1999-10-18,1131.2106792067634
1999-10-19,1134.6269446216022
1999-10-20,1140.1383563823917
1999-10-21,1135.5180679612504
1999-10-22,1136.0230058574775
1999-10-25,1140.399786740612
1999-10-26,1138.2815605951632
1999-10-27,1129.4496013968762
1999-10-28,1131.0245160143654
1999-10-29,1149.832040970973
1999-11-01,1149.6757024621074
1999-11-02,1153.428256697631
1999-11-03,1152.210632489972
1999-11-04,1158.651922998527
1999-11-05,1149.9983482645566
1999-11-08,1142.1495041083997
1999-11-09,1145.1795574289247
1999-11-10,1153.7608276582357
1999-11-11,1146.6237614183544
1999-11-12,1141.5205354625866
1999-11-15,1139.366963081186
1999-11-16,1138.942163379378
1999-11-17,1157.8873289333674
1999-11-18,1161.3625784233277
1999-11-19,1159.4416274349378
1999-11-22,1160.7984769994885
1999-11-23,1162.660046926146
1999-11-24,1147.7337968160316
1999-11-25,1149.2933709939418
1999-11-26,1156.0344123659575
1999-11-29,1156.8547868451465
1999-11-30,1145.8174866077068
1999-12-01,1152.7458600196808
1999-12-02,1157.1725609520308
1999-12-03,1164.7073977769066
1999-12-06,1172.4507616197657
1999-12-07,1175.8736585055917
1999-12-08,1171.7165376272549
1999-12-09,1170.3094130417578
1999-12-10,1172.2870142629658
1999-12-13,1165.7756552106684
1999-12-14,1161.9086380328154
1999-12-15,1156.2219246183768
1999-12-16,1168.5336152444204
1999-12-17,1166.6372104187094
1999-12-20,1169.1397055306704
1999-12-21,1167.6015813617746
1999-12-22,1179.5850901632973
1999-12-23,1188.9891488377602
1999-12-24,1191.3397909105797
1999-12-27,1190.8882003501178
1999-12-28,1186.5536354451806
1999-12-29,1187.4082304625276
1999-12-30,1192.1578483199694
1999-12-31,1192.1578483199694
2000-01-03,1206.520209125723
2000-01-04,1189.1823414891778
2000-01-05,1170.971624524264
2000-01-06,1162.831366259368
2000-01-07,1174.831341557961
2000-01-10,1186.350537151337
2000-01-11,1192.8385124914294
2000-01-12,1183.3494088385858
2000-01-13,1192.9830873182104
2000-01-14,1197.810468880672
2000-01-17,1208.2342371972336
2000-01-18,1196.851011379921
2000-01-19,1186.0143939097866
2000-01-20,1187.964587610567
2000-01-21,1181.9191147577528
2000-01-24,1179.4177071124382
2000-01-25,1166.3173383517235
2000-01-26,1168.7992737825252
2000-01-27,1166.156450590531
2000-01-28,1156.4447798044005
2000-01-31,1145.9513434624876
2000-02-01,1139.6048221976762
2000-02-02,1144.023322601625
2000-02-03,1158.0043316535175
2000-02-04,1156.2462295795228
2000-02-07,1151.769567790964
2000-02-08,1159.047073046485
2000-02-09,1163.0515507757775
2000-02-10,1156.9214327895434
2000-02-11,1154.1242715827384
2000-02-14,1142.6363516057474
2000-02-15,1134.6777228458195
2000-02-16,1140.7239062331644
2000-02-17,1145.3457866036845
2000-02-18,1138.453750608606
2000-02-21,1123.0021637894542
2000-02-22,1128.2042294754679
2000-02-23,1138.4226782748497
2000-02-24,1136.275196571568
2000-02-25,1139.5114847922018
2000-02-28,1129.7291588353285
2000-02-29,1131.8503493472112
2000-03-01,1152.1631688162956
2000-03-02,1156.6107354468893
2000-03-03,1156.7578965716123
2000-03-06,1157.9927382926994
2000-03-07,1157.8439199467139
2000-03-08,1148.699628950513
2000-03-09,1159.4252801505652
2000-03-10,1163.0853591904895
2000-03-13,1155.6529919643922
2000-03-14,1155.3205715167358
2000-03-15,1150.5458088215923
2000-03-16,1171.0780561363038
2000-03-17,1175.584533227715
2000-03-20,1175.975277390767
2000-03-21,1176.8909363973385
2000-03-22,1172.3387503256606
2000-03-23,1175.0290364665093
2000-03-24,1189.6784231857694
2000-03-27,1201.908149354994
2000-03-28,1209.0542492970217
2000-03-29,1208.040009584075
2000-03-30,1194.717015182159
2000-03-31,1208.3573831418041
2000-04-03,1207.0590459578445
2000-04-04,1208.4580700566023
2000-04-05,1208.3746553812605
2000-04-06,1210.3234293335233
2000-04-07,1211.274906632516
2000-04-10,1209.1979631196134
2000-04-11,1199.4929584053946
2000-04-12,1210.0170561250507
2000-04-13,1206.8505586638055
2000-04-14,1202.6128717771192
2000-04-17,1162.6053182529238
2000-04-18,1172.8786181078497
2000-04-19,1176.906329728029
2000-04-20,1177.2415729706927
2000-04-21,1166.6697157744788
2000-04-24,1182.1507738397004
2000-04-25,1181.1785260378094
2000-04-26,1178.0103553741671
2000-04-27,1161.9629879434112
2000-04-28,1161.0963583620864
2000-05-01,1159.523270782347
2000-05-02,1173.6530832444992
2000-05-03,1161.7875930400717
2000-05-04,1164.8905428371265
2000-05-05,1165.901864759952
2000-05-08,1165.0576183029102
2000-05-09,1162.9983159337787
2000-05-10,1162.7799635263036
2000-05-11,1157.5142247036642
2000-05-12,1173.6241705558177
2000-05-15,1178.0346709700796
2000-05-16,1179.7961541261582
2000-05-17,1164.0562545458959
2000-05-18,1166.2183537756828
2000-05-19,1163.7333180352737
2000-05-22,1157.0361313307073
2000-05-23,1164.634906854578
2000-05-24,1151.6695549224933
2000-05-25,1158.8655094566516
2000-05-26,1162.926303049598
2000-05-29,1168.8076251476698
2000-05-30,1174.7528958328935
2000-05-31,1163.063465920572
2000-06-01,1175.2641798621835
2000-06-02,1195.306104283568
2000-06-05,1207.24973539511
2000-06-06,1225.7504715527875
2000-06-07,1226.6152864230653
2000-06-08,1225.2885726378279
2000-06-09,1222.2788025677228
2000-06-12,1229.2055007566626
2000-06-13,1229.4409280750021
2000-06-14,1228.5926704462684
2000-06-15,1218.0037679627344
2000-06-16,1226.2245192768862
2000-06-19,1227.9245226262556
2000-06-20,1234.1955140848036
2000-06-21,1227.8295899489422
2000-06-22,1223.9756394559552
2000-06-23,1221.6766270898288
2000-06-26,1217.1724384358733
2000-06-27,1229.408103461983
2000-06-28,1236.3022311637467
2000-06-29,1240.3807712861963
2000-06-30,1253.2993375300014
2000-07-03,1262.4996929488782
2000-07-04,1259.997185539499
2000-07-05,1256.034787990564
2000-07-06,1252.4639019118476
2000-07-07,1254.8243540588662
2000-07-10,1264.5069443974176
2000-07-11,1264.841272026034
2000-07-12,1260.9363117536782
2000-07-13,1244.044548429628
2000-07-14,1250.884398178286
2000-07-17,1248.145999847766
2000-07-18,1236.282048843716
2000-07-19,1229.9879771637925
2000-07-20,1234.5277735945817
2000-07-21,1232.3631054310613
2000-07-24,1226.26989516632
2000-07-25,1229.184946100627
2000-07-26,1229.3714308234485
2000-07-27,1216.8437731796578
2000-07-28,1199.9190008263283
2000-07-31,1197.0941031619166
