Date,MSCI USA Small Cap Momentum Index
2014-02-05,3166.7792687594265
2014-02-06,3183.317554781682
2014-02-07,3232.381620800516
2014-02-10,3232.057173148903
2014-02-11,3255.136071957426
2014-02-12,3299.2963056018334
2014-02-13,3323.890602452809
2014-02-14,3316.795564105584
2014-02-17,3312.801612140049
2014-02-18,3344.389411154491
2014-02-19,3311.4969099067703
2014-02-20,3364.8771903743936
2014-02-21,3369.520469889364
2014-02-24,3402.9542218095316
2014-02-25,3401.6450878826618
2014-02-26,3436.143492610193
2014-02-27,3444.671174695004
2014-02-28,3391.550961142583
2014-03-03,3374.5846008627336
2014-03-04,3479.1055350531615
2014-03-05,3472.230439908413
2014-03-06,3433.3157186190238
2014-03-07,3424.02760310386
2014-03-10,3398.302428827837
2014-03-11,3361.597151963248
2014-03-12,3370.217175200905
2014-03-13,3308.9758739775157
2014-03-14,3317.072694903162
2014-03-17,3345.8820850307848
2014-03-18,3400.1528804595787
2014-03-19,3372.4337987817316
2014-03-20,3410.411664546094
2014-03-21,3371.625009597958
2014-03-24,3315.1106085830106
2014-03-25,3308.7797942098705
2014-03-26,3246.221097207439
2014-03-27,3244.8517477073833
2014-03-28,3236.506583978613
2014-03-31,3295.419578880032
2014-04-01,3348.1415161334767
2014-04-02,3360.1840107558164
2014-04-03,3325.2478957028015
2014-04-04,3237.575246072451
2014-04-07,3153.730573994482
2014-04-08,3164.6723588215023
2014-04-09,3230.233064432724
2014-04-10,3104.447900516702
2014-04-11,3050.0821967739
2014-04-14,3072.2851455442287
2014-04-15,3087.3499501468214
2014-04-16,3149.1635108766936
2014-04-17,3161.030051067956
2014-04-18,3161.030051067956
2014-04-21,3183.0804264437534
2014-04-22,3227.9169525349216
2014-04-23,3191.030799136034
2014-04-24,3182.1283923770666
2014-04-25,3109.203228832826
2014-04-28,3078.4179557764974
2014-04-29,3110.9155803709637
2014-04-30,3122.0781315626623
2014-05-01,3136.834528005976
2014-05-02,3146.447540017038
2014-05-05,3145.2078188595065
2014-05-06,3077.307081187664
2014-05-07,3066.6819049771957
2014-05-08,3047.5187672887905
2014-05-09,3083.835359791344
2014-05-12,3159.869574477902
2014-05-13,3142.4365341009293
2014-05-14,3096.782521564653
2014-05-15,3064.662819687428
2014-05-16,3078.36653161701
2014-05-19,3111.28385107612
2014-05-20,3070.907289326482
2014-05-21,3097.464828632501
2014-05-22,3130.9927988750705
2014-05-23,3175.672203239295
2014-05-26,3171.019714936561
2014-05-27,3224.597127174074
2014-05-28,3212.2306931194253
2014-05-29,3224.0775881648033
2014-05-30,3191.765976620928
2014-06-02,3202.785041134971
2014-06-03,3200.993328864434
2014-06-04,3226.237685644246
2014-06-05,3259.8066311350963
2014-06-06,3276.7140163448976
2014-06-09,3301.0522401575154
2014-06-10,3305.505323867999
2014-06-11,3303.6684181676014
2014-06-12,3275.1372875113047
2014-06-13,3292.977128135768
2014-06-16,3297.91632457686
2014-06-17,3332.7157131305585
2014-06-18,3347.100334083337
2014-06-19,3337.748795663851
2014-06-20,3366.8558591120714
2014-06-23,3355.077427584644
2014-06-24,3315.9822327276597
2014-06-25,3341.103400290195
2014-06-26,3350.651096940667
2014-06-27,3352.072657303387
2014-06-30,3359.141839093793
2014-07-01,3393.370022398579
2014-07-02,3387.952121200205
2014-07-03,3418.7043869677027
2014-07-04,3423.9875418817005
2014-07-07,3371.233363640746
2014-07-08,3326.4906198889735
2014-07-09,3337.624223522701
2014-07-10,3327.4828434599744
2014-07-11,3326.0656282387927
2014-07-14,3338.218370278896
2014-07-15,3320.8484613916157
2014-07-16,3324.3921060835696
2014-07-17,3281.478727528774
