Date,EUROPE ex UK ESG LEADERS
2008-07-28,779.8691099846546
2008-07-29,782.0542441586198
2008-07-30,791.197639426093
2008-07-31,791.791187882687
2008-08-01,781.108203151442
2008-08-04,775.8516656009297
2008-08-05,793.7873546000301
2008-08-06,800.7293165324768
2008-08-07,796.8452802845928
2008-08-08,802.7487044636679
2008-08-11,813.6984503070998
2008-08-12,811.3828760754038
2008-08-13,794.7682798691101
2008-08-14,795.4116811569108
2008-08-15,800.5586308577308
2008-08-18,799.7804303147917
2008-08-19,780.1568590429388
2008-08-20,781.6823227953371
2008-08-21,773.127136494167
2008-08-22,787.5165430261612
2008-08-25,780.1650179986967
2008-08-26,783.937088992571
2008-08-27,783.8028963994961
2008-08-28,794.8033801959141
2008-08-29,797.4865976571933
2008-09-01,796.164259915233
2008-09-02,807.5514912065601
2008-09-03,797.4501012166722
2008-09-04,777.2488828187651
2008-09-05,758.4806085246751
2008-09-08,779.5162709406025
2008-09-09,771.5966703973926
2008-09-10,767.7038295892079
2008-09-11,761.5679483974244
2008-09-12,774.0886495231299
2008-09-15,750.0243543728886
2008-09-16,735.7714358740054
2008-09-17,718.6703288106255
2008-09-18,715.9657308041252
2008-09-19,767.4032808475291
2008-09-22,750.3614694150822
2008-09-23,740.0057441746444
2008-09-24,735.6701229224226
2008-09-25,751.4253968419185
2008-09-26,735.9972244110957
2008-09-29,695.8801348723138
2008-09-30,702.0772772137282
2008-10-01,709.5356357988591
2008-10-02,697.0283559320569
2008-10-03,716.5979079980643
2008-10-06,664.2652549239534
2008-10-07,661.594575900292
2008-10-08,625.4039877768417
2008-10-09,611.115398095016
2008-10-10,570.9077163079281
2008-10-13,627.3887516050921
2008-10-14,643.7029467993858
2008-10-15,605.0406262891591
2008-10-16,574.5722752737936
2008-10-17,595.812499077294
2008-10-20,613.247625238895
2008-10-21,611.2490098331033
2008-10-22,580.163014619631
2008-10-23,578.6232565210416
2008-10-24,554.5405314046812
2008-10-27,535.4559397887035
2008-10-28,532.6612671982099
2008-10-29,574.9996456493801
2008-10-30,583.3476826083715
2008-10-31,600.1749572109215
2008-11-03,611.272041596093
2008-11-04,640.601034046655
2008-11-05,625.985695435516
2008-11-06,591.1445995060024
2008-11-07,603.5204357263655
2008-11-10,609.7440531422297
2008-11-11,582.937531068963
2008-11-12,566.8963716484969
2008-11-13,568.6074634232465
2008-11-14,574.1577098752851
2008-11-17,555.3350599949772
2008-11-18,556.6664483823955
2008-11-19,534.8614177737121
2008-11-20,518.4065555741718
2008-11-21,504.5521026740993
2008-11-24,547.321006958975
2008-11-25,551.4839896521452
2008-11-26,548.1417344727668
2008-11-27,561.0012340068669
2008-11-28,565.387021876814
2008-12-01,536.6537800609992
2008-12-02,547.7679457231068
2008-12-03,552.0100415733034
2008-12-04,550.018990490257
2008-12-05,526.168498382314
2008-12-08,562.8863082750482
2008-12-09,569.3779140357401
2008-12-10,570.2795886289313
2008-12-11,566.5025945129562
2008-12-12,553.9201526543228
2008-12-15,549.8257051464536
2008-12-16,555.1834756711426
2008-12-17,557.1515660694874
2008-12-18,559.4444300236744
2008-12-19,557.3530387142695
2008-12-22,550.1690502047578
2008-12-23,549.4219381053314
2008-12-24,548.8737826863504
2008-12-25,548.8737826863504
2008-12-26,548.6802726682241
2008-12-29,553.4325018716905
2008-12-30,564.0349764577425
2008-12-31,564.3448043197087
2009-01-01,564.3448043197087
