Date,FAR EAST ESG LEADERS
2017-08-16,1459.6259874449238
2017-08-17,1462.4408997805106
2017-08-18,1457.8477822521447
2017-08-21,1447.490442097276
2017-08-22,1446.4707031772018
2017-08-23,1448.7911775707105
2017-08-24,1440.157938209178
2017-08-25,1437.8234558277147
2017-08-28,1431.1329539715368
2017-08-29,1425.7804963604042
2017-08-30,1431.231036224036
2017-08-31,1443.5684696506867
2017-09-01,1445.1795302474163
2017-09-04,1436.5737730630717
2017-09-05,1436.9574425084484
2017-09-06,1435.466999648931
2017-09-07,1436.0516585505068
2017-09-08,1438.794613813477
2017-09-11,1449.5012684263245
2017-09-12,1451.300156023465
2017-09-13,1454.0796643559604
2017-09-14,1453.6784448630988
2017-09-15,1442.8333044848441
2017-09-18,1440.1721303243003
2017-09-19,1458.3482798588666
2017-09-20,1457.1945673754535
2017-09-21,1455.1364104189995
2017-09-22,1451.713584044178
2017-09-25,1469.31414267337
2017-09-26,1474.9278514858463
2017-09-27,1477.9767005437905
2017-09-28,1477.912837941357
2017-09-29,1475.7140800509007
2017-10-02,1483.7071795758625
2017-10-03,1491.6537905662174
2017-10-04,1491.93543921382
2017-10-05,1497.2931439162303
2017-10-06,1494.7255546047793
2017-10-09,1495.9758785385618
2017-10-10,1499.7951319481463
2017-10-11,1492.3135592723374
2017-10-12,1493.8699553560948
2017-10-13,1507.9216900144602
2017-10-16,1524.6952188845441
2017-10-17,1527.90809334266
2017-10-18,1520.7153903878625
2017-10-19,1521.4937043772338
2017-10-20,1520.4730965524668
2017-10-23,1533.970087623207
2017-10-24,1536.419821605878
2017-10-25,1529.1997033621444
2017-10-26,1542.1826728076144
2017-10-27,1571.4810355709778
2017-10-30,1573.6372583804734
2017-10-31,1562.8727557250816
2017-11-01,1584.8328687847738
2017-11-02,1587.2124050608443
2017-11-03,1589.8841715796102
2017-11-06,1597.9873347205137
2017-11-07,1622.5854292773329
2017-11-08,1632.1904772651849
2017-11-09,1623.703266963877
2017-11-10,1613.1716415166036
2017-11-13,1591.5252154507743
2017-11-14,1577.6777304572868
2017-11-15,1549.4093472024433
2017-11-16,1569.4856411088208
2017-11-17,1577.6443560608413
2017-11-20,1573.0799858278456
2017-11-21,1587.1270957998522
2017-11-22,1593.5285145250534
2017-11-23,1589.965119743718
2017-11-24,1577.3570053822048
2017-11-27,1580.3519357796806
2017-11-28,1580.7341605440288
2017-11-29,1584.2625577701062
2017-11-30,1579.0093824456549
2017-12-01,1580.2568223523115
2017-12-04,1575.1303461510795
2017-12-05,1577.7429006046166
2017-12-06,1566.1553989904764
2017-12-07,1578.084463183394
2017-12-08,1590.0576495927844
2017-12-11,1592.3637246687445
2017-12-12,1597.3853412399799
2017-12-13,1599.7021052921255
2017-12-14,1599.1070306639417
2017-12-15,1585.6985714010038
2017-12-18,1604.192473044931
2017-12-19,1594.060934938649
2017-12-20,1583.4732672207965
2017-12-21,1584.1836411407771
2017-12-22,1594.0319602359011
2017-12-25,1597.7553336767176
2017-12-26,1591.8852486057913
2017-12-27,1590.338715884019
