Date,PORTUGAL SMALL VALUE
2012-04-10,331.88186673214386
2012-04-11,334.53568953255865
2012-04-12,330.9157465502484
2012-04-13,326.83135477783367
2012-04-16,321.83854642118973
2012-04-17,325.9494375911097
2012-04-18,324.544532691166
2012-04-19,321.4510630584753
2012-04-20,320.60180678164465
2012-04-23,315.9584711632425
2012-04-24,316.1996547621052
2012-04-25,318.9075760365858
2012-04-26,318.00519644000866
2012-04-27,318.2984250707073
2012-04-30,318.3750272247662
2012-05-01,318.37502722476614
2012-05-02,317.40060387082957
2012-05-03,316.4322255738816
2012-05-04,314.0245425867295
2012-05-07,318.54302133222166
2012-05-08,317.49658195601904
2012-05-09,316.0753231506766
2012-05-10,316.4323423767493
2012-05-11,316.8704101899262
2012-05-14,312.03097955330725
2012-05-15,308.492420681577
2012-05-16,303.0877859232897
2012-05-17,297.428744670569
2012-05-18,294.5860289976743
2012-05-21,293.52671628120146
2012-05-22,297.9096861683308
2012-05-23,294.68772736191573
2012-05-24,295.82184185331386
2012-05-25,304.6174026782062
2012-05-28,303.8487650998118
2012-05-29,299.79253863400356
2012-05-30,296.71258327121285
2012-05-31,296.7509858246308
2012-06-01,293.6233886696939
2012-06-04,293.5497153062409
2012-06-05,292.7863108807391
2012-06-06,289.79690407165606
2012-06-07,289.8185054990455
2012-06-08,292.9260003273888
2012-06-11,294.5338521418721
2012-06-12,292.4878001609624
2012-06-13,290.90901478134793
2012-06-14,292.72208114986614
2012-06-15,302.57481641630017
2012-06-18,306.72238103520306
2012-06-19,308.64811998468406
2012-06-20,313.2223152568691
2012-06-21,314.29855047459046
2012-06-22,313.87658297192735
2012-06-25,310.3732266277902
2012-06-26,307.2860242591716
2012-06-27,310.62285754814417
2012-06-28,309.29333116495263
2012-06-29,316.16173129423106
2012-07-02,318.70599259488233
2012-07-03,321.36099309814495
2012-07-04,320.69305593033204
2012-07-05,320.25357376601545
2012-07-06,311.4224725274365
2012-07-09,312.1463549372407
2012-07-10,312.7409590309503
2012-07-11,310.42478880328264
2012-07-12,314.6111743464807
2012-07-13,315.6552294310736
2012-07-16,314.4755613990089
2012-07-17,315.5073527542516
2012-07-18,319.59263380674145
2012-07-19,320.98756497666164
2012-07-20,316.5604442680816
2012-07-23,309.49928978493733
2012-07-24,307.9575713533849
2012-07-25,308.6991340435327
2012-07-26,313.833668839213
2012-07-27,314.3297594683959
2012-07-30,314.8953253091313
2012-07-31,314.48264846906943
2012-08-01,313.4503634251709
2012-08-02,308.42720442465185
2012-08-03,312.04327505109677
2012-08-06,312.86869120348234
2012-08-07,319.1994574139658
2012-08-08,319.37514458211393
2012-08-09,319.3459224347217
2012-08-10,322.4954485990196
2012-08-13,317.8424899068606
2012-08-14,318.6768023787281
2012-08-15,319.7981940254998
2012-08-16,321.8302965757566
2012-08-17,326.644648352875
2012-08-20,333.52280804063344
2012-08-21,331.21566764515046
2012-08-22,334.70296326727197
2012-08-23,328.69232144755154
2012-08-24,330.46198912942344
2012-08-27,334.69291798131945
2012-08-28,333.18285347701493
2012-08-29,330.81563973679164
2012-08-30,328.37393540209973
2012-08-31,334.0815127232352
2012-09-03,334.7166861516604
2012-09-04,333.47014060736814
2012-09-05,334.57149808640156
2012-09-06,340.9706193905343
2012-09-07,349.0893400179542
2012-09-10,352.4215295628752
2012-09-11,370.15003436761737
2012-09-12,377.3360492402432
2012-09-13,368.37529076672274
2012-09-14,365.73873144725945
2012-09-17,357.84511642869325
2012-09-18,352.6349662163764
2012-09-19,353.93988458525604
2012-09-20,356.33946872016264
2012-09-21,362.77345258871327
2012-09-24,369.3833480887718
2012-09-25,362.06039269747157
2012-09-26,351.937074187628
2012-09-27,355.35467465563687
2012-09-28,353.79799246566427
2012-10-01,361.2218950370829
2012-10-02,360.2178030551599
2012-10-03,360.0152202476606
2012-10-04,365.52104666097847
2012-10-05,376.06719300702173
2012-10-08,372.21445262724984
2012-10-09,375.7525200589118
2012-10-10,372.3396542632225
2012-10-11,373.6557324053504
2012-10-12,376.54884099245794
2012-10-15,378.60698878674145
2012-10-16,382.463527098292
2012-10-17,383.26982181750793
2012-10-18,390.97369223815696
2012-10-19,390.3781336899796
2012-10-22,390.51023552872414
2012-10-23,385.5344388333238
2012-10-24,384.664753844083
2012-10-25,386.4989281675665
2012-10-26,383.8676374005934
2012-10-29,380.77870528553143
2012-10-30,383.73586475973116
2012-10-31,382.7081366037624
