DATE,PPIACOE
2018-10,180.550653
2018-11,178.6628985
2018-12,175.4539106
2019-01,173.8257377
2019-02,175.0593198
2019-03,178.8386177
2019-04,180.4303187
2019-05,180.9130864
2019-06,176.1033937
2019-07,180.3234501
2019-08,181.2721813
2019-09,181.9348923
2019-10,178.0367548
2019-11,180.5971504
2019-12,177.2512693
2020-01,179.8411839
2020-02,178.8019271
2020-03,175.2904866
2020-04,169.6542894
2020-05,169.802827
2020-06,170.1521758
2020-07,163.2549484
2020-08,162.5941423
2020-09,166.7661861
2020-10,168.7129733
2020-11,165.9691999
2020-12,163.9411284
2021-01,168.7680264
2021-02,174.1503349
2021-03,183.087797
2021-04,181.1305071
2021-05,184.434968
2021-06,193.1971641
2021-07,195.4231288
2021-08,197.809322
2021-09,203.5743284
2021-10,208.1587604
2021-11,215.5462036
2021-12,213.2337869
2022-01,219.8118088
2022-02,225.1069138
2022-03,234.3946633
2022-04,251.7889342
2022-05,254.6370329
2022-06,267.696055
2022-07,266.8829641
2022-08,267.8052658
2022-09,273.8403353
2022-10,268.1446636
2022-11,254.9229875
2022-12,241.0702935
2023-01,239.6638423
2023-02,243.9813243
2023-03,236.4440765
2023-04,232.7065217
2023-05,238.0983668
2023-06,232.4725275
2023-07,230.3402904
2023-08,237.7341083
2023-09,244.6466364
2023-10,241.4761544
2023-11,231.8078475
2023-12,225.8624119
2024-01,231.4601566
2024-02,235.9128343
2024-03,236.4377722
