DATE,IQ12260E
2006-09,174.1940569
2006-10,162.6869177
2006-11,154.7394616
2006-12,166.0983557
2007-01,169.1798738
2007-02,166.8178382
2007-03,173.1718259
2007-04,167.4231332
2007-05,175.8715528
2007-06,172.2633136
2007-07,166.7274451
2007-08,170.2954329
2007-09,163.6542654
2007-10,172.9333702
2007-11,180.41939
2007-12,192.0153393
2008-01,189.6772455
2008-02,205.1096332
2008-03,204.2391648
2008-04,214.8638232
2008-05,203.3419023
2008-06,196.5328931
2008-07,199.4996472
2008-08,223.123594
2008-09,207.3716355
2008-10,229.6956316
2008-11,220.5766504
2008-12,190.3872405
2009-01,222.899094
2009-02,237.7981362
2009-03,248.3975567
2009-04,243.5064935
2009-05,220.232196
2009-06,231.4550642
2009-07,231.178654
2009-08,227.3930612
2009-09,226.7259057
2009-10,235.9200271
2009-11,242.9638522
2009-12,273.723137
2010-01,284.6431146
2010-02,285.5783309
2010-03,282.7147716
2010-04,292.0613442
2010-05,323.8742016
2010-06,342.1202506
2010-07,329.0993955
2010-08,327.2984887
2010-09,312.1094037
2010-10,319.8502951
2010-11,359.6962258
2010-12,360.46424
2011-01,353.9919796
2011-02,343.2900747
2011-03,338.010294
2011-04,335.3349976
2011-05,359.0706733
2011-06,363.0792536
2011-07,369.8915763
2011-08,382.6183535
2011-09,456.8369395
2011-10,439.592744
2011-11,432.4685944
2011-12,468.4344408
2012-01,439.1327664
2012-02,434.5385134
2012-03,455.3772311
2012-04,441.227606
2012-05,465.706891
2012-06,437.6381434
2012-07,452.862363
2012-08,442.04166
2012-09,442.8282514
2012-10,470.906004
2012-11,467.8708686
2012-12,454.573032
2013-01,432.9358068
2013-02,445.5998165
2013-03,443.1179775
2013-04,422.0078979
2013-05,400.5235602
2013-06,380.0922367
2013-07,352.0554133
2013-08,341.5428918
2013-09,348.7255264
2013-10,345.5936443
2013-11,337.8656475
2013-12,323.6809638
2014-01,316.3703704
2014-02,315.3701289
2014-03,330.333164
2014-04,336.0490267
2014-05,332.4780059
2014-06,318.4075968
2014-07,344.7348768
2014-08,345.1711027
2014-09,350.6493506
2014-10,337.9888268
2014-11,324.8110629
2014-12,346.582927
2015-01,375.0221435
2015-02,393.6768777
2015-03,390.7457406
2015-04,378.3372156
2015-05,378.8430053
2015-06,371.52591
2015-07,370.7834603
2015-08,340.8969091
2015-09,354.3271815
2015-10,362.5249049
2015-11,368.7748532
2015-12,342.8492495
2016-01,352.5664697
2016-02,366.8568274
2016-03,382.8797191
2016-04,376.4531072
2016-05,404.3107319
2016-06,386.8745468
2016-07,424.6060172
2016-08,425.0852324
2016-09,416.8001424
2016-10,407.2249589
2016-11,427.3964833
2016-12,387.6042456
2017-01,377.8024829
2017-02,398.0033905
2017-03,406.1506824
2017-04,402.2028453
2017-05,387.50445
2017-06,392.2530891
2017-07,361.4070692
2017-08,372.2885488
2017-09,396.5969694
2017-10,381.6964286
2017-11,374.34863
2017-12,367.2433871
2018-01,370.3733505
2018-02,379.1663254
2018-03,376.0551948
2018-04,386.0361107
2018-05,392.4592973
2018-06,388.3703006
2018-07,374.2525201
2018-08,367.6267679
2018-09,360.6952332
2018-10,370.631839
2018-11,378.3449616
2018-12,378.7534916
2019-01,392.0027938
2019-02,404.2534493
2019-03,402.3868899
2019-04,403.4461209
2019-05,402.0988429
2019-06,409.5305082
2019-07,439.7124888
2019-08,472.8364728
2019-09,491.7010546
2019-10,469.1169879
2019-11,472.9104274
2019-12,459.6063062
2020-01,484.0281538
2020-02,499.3182438
2020-03,522.1496006
2020-04,515.9136638
2020-05,537.048708
2020-06,533.9503426
2020-07,525.9685332
2020-08,590.9623431
2020-09,583.4683955
2020-10,572.765519
2020-11,561.7676599
2020-12,520.3597711
2021-01,554.7589617
2021-02,528.9010171
2021-03,512.5606744
2021-04,508.0631754
2021-05,519.6818107
2021-06,560.0945307
2021-07,534.6426163
2021-08,536.8644068
2021-09,549.105986
2021-10,534.8857341
2021-11,556.2151147
2021-12,553.1896095
2022-01,565.108812
2022-02,563.7027798
2022-03,609.483458
2022-04,643.9214198
2022-05,613.1767776
2022-06,620.8806954
2022-07,603.8031758
2022-08,616.9895678
2022-09,612.593274
2022-10,602.4279211
2022-11,559.8178824
2022-12,584.4083006
2023-01,595.9661079
2023-02,633.1824184
2023-03,590.8756439
2023-04,636.3224638
2023-05,660.9724047
2023-06,629.8534799
2023-07,610.3448276
2023-08,629.9474121
2023-09,637.0937264
2023-10,605.1286904
2023-11,638.8888889
2023-12,641.3849214
2024-01,661.4463381
2024-02,657.0741186
2024-03,694.0042628
