Date,SOUTH AFRICA IMI VALUE
2000-05-26,236.64923343147825
2000-05-29,240.43558357576524
2000-05-30,243.62494403160912
2000-05-31,248.17523293851067
2000-06-01,247.0636992788464
2000-06-02,248.7670744245857
2000-06-05,251.19130650382914
2000-06-06,249.9134187794449
2000-06-07,250.22440609363107
2000-06-08,248.4660015176426
2000-06-09,252.4752409792604
2000-06-12,254.17096625735394
2000-06-13,253.1312927476255
2000-06-14,254.47760252471684
2000-06-15,255.91276833274836
2000-06-16,257.0245191725248
2000-06-19,254.35799019461462
2000-06-20,254.65763509061497
2000-06-21,253.8914067707226
2000-06-22,255.52186659478707
2000-06-23,256.03654995408135
2000-06-26,258.1563267149016
2000-06-27,258.77189903847733
2000-06-28,258.75219898947967
2000-06-29,256.6700664082904
2000-06-30,258.39885653974056
2000-07-03,260.95275456732656
2000-07-04,263.4881050562478
2000-07-05,262.029089708744
2000-07-06,258.46034511375933
2000-07-07,259.74047771058144
2000-07-10,261.30184067879287
2000-07-11,262.0554792091659
2000-07-12,266.6145804556679
2000-07-13,268.8016893087554
2000-07-14,270.0825027168059
2000-07-17,270.0578208433896
2000-07-18,269.2424455011626
2000-07-19,270.6112409437391
2000-07-20,269.6932661256566
2000-07-21,266.51451643896206
2000-07-24,264.80227699055473
2000-07-25,262.0216046009093
2000-07-26,260.95568166676713
2000-07-27,261.41722634547665
2000-07-28,262.3047329788683
2000-07-31,261.388608945293
2000-08-01,262.7380639355523
2000-08-02,266.7603610379869
2000-08-03,268.9365251633256
2000-08-04,271.98592832042675
2000-08-07,272.1238185827928
2000-08-08,275.31321413629837
2000-08-09,275.28711140021426
2000-08-10,279.6799927128887
2000-08-11,284.24058370524756
2000-08-14,289.358204953987
2000-08-15,285.7533432575181
2000-08-16,287.02252531453956
2000-08-17,288.0653513251698
2000-08-18,290.8828687387385
2000-08-21,293.1503915478524
2000-08-22,297.7907095974856
2000-08-23,299.4081847102999
2000-08-24,296.59444913369964
2000-08-25,295.56285267344293
2000-08-28,296.1319543086177
2000-08-29,299.1335856151029
2000-08-30,299.51392847239634
