Date,KOKUSAI INDEX (WORLD ex JP) IMI GROWTH
2018-05-01,2257.8019156244964
2018-05-02,2262.865018621081
2018-05-03,2259.597155341012
2018-05-04,2289.1693883170065
2018-05-07,2305.789644001579
2018-05-08,2317.5014424277847
2018-05-09,2336.245724105338
2018-05-10,2347.4317031785563
2018-05-11,2341.7327483092727
2018-05-14,2339.946334603601
2018-05-15,2341.2394992783056
2018-05-16,2365.156361824713
2018-05-17,2368.2154423091915
2018-05-18,2370.9826617311974
2018-05-21,2389.0851776875843
2018-05-22,2377.6902871696757
2018-05-23,2389.2424983259807
2018-05-24,2385.1321264855947
2018-05-25,2396.3875740555604
2018-05-28,2400.1088346755564
2018-05-29,2388.9151823078478
2018-05-30,2401.8793849233875
2018-05-31,2381.628827232087
2018-06-01,2407.085427053489
2018-06-04,2417.0515982472057
2018-06-05,2427.3490868112954
2018-06-06,2424.590523108034
2018-06-07,2407.410405812412
2018-06-08,2420.948460859952
2018-06-11,2421.184670689338
2018-06-12,2431.9167056306337
2018-06-13,2430.4704876357077
2018-06-14,2463.6822845366514
2018-06-15,2461.360882223613
2018-06-18,2458.4129623351705
2018-06-19,2448.3706080768666
2018-06-20,2457.3408032736666
2018-06-21,2434.442410801815
2018-06-22,2431.4688378946557
2018-06-25,2378.876871688335
2018-06-26,2390.3563255041486
2018-06-27,2385.361973309688
2018-06-28,2393.6634660611817
2018-06-29,2388.643769851777
2018-07-02,2401.8819208444575
2018-07-03,2389.138751947582
2018-07-04,2388.330217137533
2018-07-05,2396.392634392686
2018-07-06,2408.5415589861923
2018-07-09,2429.2592221094005
2018-07-10,2442.648853121611
2018-07-11,2425.6778840635393
2018-07-12,2458.811110739607
2018-07-13,2467.2699395181826
2018-07-16,2454.608961489953
2018-07-17,2469.782056889406
2018-07-18,2484.725514256001
2018-07-19,2482.1548929622872
2018-07-20,2466.618546537564
2018-07-23,2464.2298048871585
2018-07-24,2471.189570178796
2018-07-25,2495.0003708513927
2018-07-26,2489.055494275103
2018-07-27,2470.935923085184
2018-07-30,2435.8933372412853
2018-07-31,2447.7436917656723
2018-08-01,2456.195904629729
2018-08-02,2478.2041684019937
2018-08-03,2487.1635348806494
2018-08-06,2502.716779316589
2018-08-07,2504.0026708270047
2018-08-08,2500.8612270780745
2018-08-09,2509.8197654198843
2018-08-10,2515.228241099688
2018-08-13,2511.1577053275114
2018-08-14,2532.3650037735124
2018-08-15,2514.3581600430675
2018-08-16,2514.114533665912
2018-08-17,2515.445368795711
2018-08-20,2520.398174874546
2018-08-21,2513.6701347337053
2018-08-22,2505.3178356311446
2018-08-23,2507.074819113578
